date,location,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-12-27,Romania,Pfizer/BioNTech,https://datelazi.ro/,965,965,0
2020-12-28,Romania,Pfizer/BioNTech,https://datelazi.ro/,2066,2066,0
2020-12-29,Romania,Pfizer/BioNTech,https://datelazi.ro/,2778,2778,0
2020-12-30,Romania,Pfizer/BioNTech,https://datelazi.ro/,5666,5666,0
2020-12-31,Romania,Pfizer/BioNTech,https://datelazi.ro/,10289,10289,0
2021-01-01,Romania,Pfizer/BioNTech,https://datelazi.ro/,11656,11656,0
2021-01-02,Romania,Pfizer/BioNTech,https://datelazi.ro/,13242,13242,0
2021-01-03,Romania,Pfizer/BioNTech,https://datelazi.ro/,13596,13596,0
2021-01-04,Romania,Pfizer/BioNTech,https://datelazi.ro/,25508,25508,0
2021-01-05,Romania,Pfizer/BioNTech,https://datelazi.ro/,41609,41609,0
2021-01-06,Romania,Pfizer/BioNTech,https://datelazi.ro/,58554,58554,0
2021-01-07,Romania,Pfizer/BioNTech,https://datelazi.ro/,76400,76400,0
2021-01-08,Romania,Pfizer/BioNTech,https://datelazi.ro/,92706,92706,0
2021-01-09,Romania,Pfizer/BioNTech,https://datelazi.ro/,102301,102301,0
2021-01-10,Romania,Pfizer/BioNTech,https://datelazi.ro/,108294,108294,0
2021-01-11,Romania,Pfizer/BioNTech,https://datelazi.ro/,125190,125190,0
2021-01-12,Romania,Pfizer/BioNTech,https://datelazi.ro/,140447,140447,0
2021-01-13,Romania,Pfizer/BioNTech,https://datelazi.ro/,154268,154268,0
2021-01-14,Romania,Pfizer/BioNTech,https://datelazi.ro/,154268,154268,0
2021-01-15,Romania,Pfizer/BioNTech,https://datelazi.ro/,183669,183669,0
2021-01-16,Romania,Pfizer/BioNTech,https://datelazi.ro/,196090,196090,0
2021-01-17,Romania,Pfizer/BioNTech,https://datelazi.ro/,204185,203310,875
2021-01-18,Romania,Pfizer/BioNTech,https://datelazi.ro/,235239,233289,1950
2021-01-19,Romania,Pfizer/BioNTech,https://datelazi.ro/,270046,267425,2621
2021-01-20,Romania,Pfizer/BioNTech,https://datelazi.ro/,308384,302571,5813
2021-01-21,Romania,Pfizer/BioNTech,https://datelazi.ro/,348096,338253,9843
2021-01-22,Romania,Pfizer/BioNTech,https://datelazi.ro/,385936,374682,11254
2021-01-23,Romania,Pfizer/BioNTech,https://datelazi.ro/,418885,406007,12878
2021-01-24,Romania,Pfizer/BioNTech,https://datelazi.ro/,446285,433130,13155
2021-01-25,Romania,Pfizer/BioNTech,https://datelazi.ro/,484631,459568,25063
2021-01-26,Romania,Pfizer/BioNTech,https://datelazi.ro/,528378,487712,40666
2021-01-27,Romania,Pfizer/BioNTech,https://datelazi.ro/,570704,513430,57274
2021-01-28,Romania,Pfizer/BioNTech,https://datelazi.ro/,609396,534347,75049
2021-01-29,Romania,Pfizer/BioNTech,https://datelazi.ro/,647000,554925,92075
2021-01-30,Romania,Pfizer/BioNTech,https://datelazi.ro/,672396,571092,101304
2021-01-31,Romania,Pfizer/BioNTech,https://datelazi.ro/,691415,585219,106196
2021-02-01,Romania,Pfizer/BioNTech,https://datelazi.ro/,721184,598136,123048
2021-02-02,Romania,Pfizer/BioNTech,https://datelazi.ro/,748732,610384,138348
2021-02-03,Romania,Pfizer/BioNTech,https://datelazi.ro/,772202,620177,152025
2021-02-04,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,794795,629280,165515
2021-02-05,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,821552,638887,182665
2021-02-06,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,840812,647691,193121
2021-02-07,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,856322,656178,200144
2021-02-08,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,891348,661063,230285
2021-02-09,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,930155,666943,263212
2021-02-10,Romania,"Moderna, Pfizer/BioNTech",https://datelazi.ro/,970967,671449,299518
