location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Saint Lucia,2021-02-16,Oxford/AstraZeneca,0,0,0,https://www.loopslu.com/content/slmda-excited-vaccination-rollout-begin
Saint Lucia,2021-03-04,Oxford/AstraZeneca,2094,2094,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saint Lucia,2021-03-12,Oxford/AstraZeneca,17389,17389,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/3943336199119769
Saint Lucia,2021-03-19,Oxford/AstraZeneca,20247,20247,0,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3960352537418135/
Saint Lucia,2021-03-28,Oxford/AstraZeneca,21494,,,https://www.covid19response.lc/
Saint Lucia,2021-03-30,Oxford/AstraZeneca,22011,,,https://www.covid19response.lc/
Saint Lucia,2021-03-31,Oxford/AstraZeneca,22357,,,https://www.covid19response.lc/
Saint Lucia,2021-04-01,Oxford/AstraZeneca,22554,,,https://www.covid19response.lc/
Saint Lucia,2021-04-07,Oxford/AstraZeneca,22839,,,https://www.covid19response.lc/
Saint Lucia,2021-04-08,Oxford/AstraZeneca,22935,,,https://www.covid19response.lc/
Saint Lucia,2021-04-09,Oxford/AstraZeneca,23150,,,https://www.covid19response.lc/
Saint Lucia,2021-04-10,Oxford/AstraZeneca,23257,,,https://www.covid19response.lc/
Saint Lucia,2021-04-14,Oxford/AstraZeneca,23345,,,https://www.covid19response.lc/
Saint Lucia,2021-04-16,Oxford/AstraZeneca,23575,,,https://www.covid19response.lc/
Saint Lucia,2021-04-17,Oxford/AstraZeneca,23664,,,https://www.covid19response.lc/
Saint Lucia,2021-04-19,Oxford/AstraZeneca,23688,,,https://www.covid19response.lc/
Saint Lucia,2021-04-21,Oxford/AstraZeneca,23829,,,https://www.covid19response.lc/
Saint Lucia,2021-04-23,Oxford/AstraZeneca,23861,,,https://www.covid19response.lc/
Saint Lucia,2021-04-24,Oxford/AstraZeneca,23941,,,https://www.covid19response.lc/
Saint Lucia,2021-04-27,Oxford/AstraZeneca,24014,,,https://www.covid19response.lc/
Saint Lucia,2021-04-28,Oxford/AstraZeneca,24123,,,https://www.covid19response.lc/
Saint Lucia,2021-04-29,Oxford/AstraZeneca,24230,,,https://www.covid19response.lc/
Saint Lucia,2021-04-30,Oxford/AstraZeneca,24266,,,https://www.covid19response.lc/
Saint Lucia,2021-05-01,Oxford/AstraZeneca,24426,,,https://www.covid19response.lc/
Saint Lucia,2021-05-19,Oxford/AstraZeneca,44206,26905,17301,https://www.covid19response.lc/
Saint Lucia,2021-05-20,Oxford/AstraZeneca,44362,26975,17387,https://www.covid19response.lc/
Saint Lucia,2021-05-21,Oxford/AstraZeneca,44868,27165,17703,https://www.covid19response.lc/
Saint Lucia,2021-05-22,Oxford/AstraZeneca,45297,27395,17902,https://www.covid19response.lc/
Saint Lucia,2021-05-25,Oxford/AstraZeneca,45476,27507,17969,https://www.covid19response.lc/
Saint Lucia,2021-05-26,Oxford/AstraZeneca,45739,27588,18151,https://www.covid19response.lc/
Saint Lucia,2021-05-27,Oxford/AstraZeneca,45986,27709,18277,https://www.covid19response.lc/
Saint Lucia,2021-05-29,Oxford/AstraZeneca,46571,27995,18576,https://www.covid19response.lc/
Saint Lucia,2021-05-30,Oxford/AstraZeneca,46771,28118,18653,https://www.covid19response.lc/
Saint Lucia,2021-06-01,Oxford/AstraZeneca,47124,28262,18862,https://www.covid19response.lc/
Saint Lucia,2021-06-02,Oxford/AstraZeneca,47542,28477,19065,https://www.covid19response.lc/
Saint Lucia,2021-06-03,Oxford/AstraZeneca,47828,28587,19241,https://www.covid19response.lc/
Saint Lucia,2021-06-07,Oxford/AstraZeneca,48257,28724,19533,https://www.covid19response.lc/
Saint Lucia,2021-06-08,Oxford/AstraZeneca,48666,28914,19752,https://www.covid19response.lc/
Saint Lucia,2021-06-09,Oxford/AstraZeneca,49065,29023,20042,https://www.covid19response.lc/
Saint Lucia,2021-06-10,Oxford/AstraZeneca,49369,29147,20222,https://www.covid19response.lc/
Saint Lucia,2021-06-11,Oxford/AstraZeneca,49735,29366,20369,https://www.covid19response.lc/
Saint Lucia,2021-06-12,Oxford/AstraZeneca,50132,29580,20552,https://www.covid19response.lc/
Saint Lucia,2021-06-14,Oxford/AstraZeneca,50244,29655,20589,https://www.covid19response.lc/
Saint Lucia,2021-06-16,Oxford/AstraZeneca,50706,29798,20908,https://www.covid19response.lc/
Saint Lucia,2021-06-17,Oxford/AstraZeneca,50869,29874,20995,https://www.covid19response.lc/
Saint Lucia,2021-06-18,Oxford/AstraZeneca,51061,30024,21037,https://www.covid19response.lc/
Saint Lucia,2021-06-19,Oxford/AstraZeneca,51178,30063,21115,https://www.covid19response.lc/
Saint Lucia,2021-06-22,Oxford/AstraZeneca,51337,30123,21214,https://www.covid19response.lc/
Saint Lucia,2021-06-23,Oxford/AstraZeneca,51563,30270,21293,https://www.covid19response.lc/
Saint Lucia,2021-06-25,Oxford/AstraZeneca,52030,30462,21568,https://www.covid19response.lc/
Saint Lucia,2021-06-27,Oxford/AstraZeneca,52355,30623,21732,https://www.covid19response.lc/
