location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Bulgaria,2021-01-05,18,24,0.04,0.0
Bulgaria,2021-01-05,25,49,0.18,0.0
Bulgaria,2021-01-05,50,59,0.46,0.0
Bulgaria,2021-01-05,60,69,0.39,0.0
Bulgaria,2021-01-05,70,79,0.12,0.0
Bulgaria,2021-01-05,80,,0.04,0.0
Bulgaria,2021-01-12,18,24,0.05,0.0
Bulgaria,2021-01-12,25,49,0.24,0.0
Bulgaria,2021-01-12,50,59,0.62,0.0
Bulgaria,2021-01-12,60,69,0.53,0.0
Bulgaria,2021-01-12,70,79,0.17,0.0
Bulgaria,2021-01-12,80,,0.06,0.0
Bulgaria,2021-01-19,18,24,0.06,0.01
Bulgaria,2021-01-19,25,49,0.29,0.06
Bulgaria,2021-01-19,50,59,0.72,0.17
Bulgaria,2021-01-19,60,69,0.63,0.13
Bulgaria,2021-01-19,70,79,0.2,0.04
Bulgaria,2021-01-19,80,,0.07,0.01
Bulgaria,2021-01-26,18,24,0.07,0.04
Bulgaria,2021-01-26,25,49,0.37,0.17
Bulgaria,2021-01-26,50,59,0.91,0.45
Bulgaria,2021-01-26,60,69,0.82,0.38
Bulgaria,2021-01-26,70,79,0.29,0.12
Bulgaria,2021-01-26,80,,0.12,0.04
Bulgaria,2021-02-02,18,24,0.1,0.05
Bulgaria,2021-02-02,25,49,0.51,0.23
Bulgaria,2021-02-02,50,59,1.29,0.59
Bulgaria,2021-02-02,60,69,1.13,0.51
Bulgaria,2021-02-02,70,79,0.42,0.16
Bulgaria,2021-02-02,80,,0.31,0.05
Bulgaria,2021-02-09,18,24,0.13,0.06
Bulgaria,2021-02-09,25,49,0.75,0.27
Bulgaria,2021-02-09,50,59,1.8,0.69
Bulgaria,2021-02-09,60,69,1.47,0.61
Bulgaria,2021-02-09,70,79,0.52,0.2
Bulgaria,2021-02-09,80,,0.41,0.06
Bulgaria,2021-02-16,18,24,0.32,0.07
Bulgaria,2021-02-16,25,49,1.37,0.35
Bulgaria,2021-02-16,50,59,2.88,0.88
Bulgaria,2021-02-16,60,69,2.29,0.79
Bulgaria,2021-02-16,70,79,0.95,0.28
Bulgaria,2021-02-16,80,,0.71,0.12
Bulgaria,2021-02-23,18,24,0.71,0.09
Bulgaria,2021-02-23,25,49,2.28,0.48
Bulgaria,2021-02-23,50,59,4.57,1.21
Bulgaria,2021-02-23,60,69,4.52,1.07
Bulgaria,2021-02-23,70,79,3.4,0.4
Bulgaria,2021-02-23,80,,2.07,0.28
Bulgaria,2021-03-02,18,24,0.96,0.11
Bulgaria,2021-03-02,25,49,2.86,0.66
Bulgaria,2021-03-02,50,59,5.73,1.66
Bulgaria,2021-03-02,60,69,6.38,1.4
Bulgaria,2021-03-02,70,79,5.64,0.5
Bulgaria,2021-03-02,80,,3.29,0.39
Bulgaria,2021-03-09,18,24,1.15,0.14
Bulgaria,2021-03-09,25,49,3.28,0.78
Bulgaria,2021-03-09,50,59,6.5,1.92
Bulgaria,2021-03-09,60,69,7.53,1.61
Bulgaria,2021-03-09,70,79,7.04,0.59
Bulgaria,2021-03-09,80,,4.14,0.45
Bulgaria,2021-03-16,18,24,1.26,0.2
Bulgaria,2021-03-16,25,49,3.56,0.96
Bulgaria,2021-03-16,50,59,6.92,2.25
Bulgaria,2021-03-16,60,69,7.9,1.95
Bulgaria,2021-03-16,70,79,7.31,0.82
Bulgaria,2021-03-16,80,,4.31,0.56
Bulgaria,2021-03-23,18,24,1.58,0.29
Bulgaria,2021-03-23,25,49,4.25,1.18
Bulgaria,2021-03-23,50,59,7.93,2.66
Bulgaria,2021-03-23,60,69,9.11,2.42
Bulgaria,2021-03-23,70,79,8.6,1.15
Bulgaria,2021-03-23,80,,5.08,0.69
Bulgaria,2021-03-30,18,24,1.94,0.36
Bulgaria,2021-03-30,25,49,5.0,1.37
Bulgaria,2021-03-30,50,59,9.0,2.97
Bulgaria,2021-03-30,60,69,10.38,2.71
Bulgaria,2021-03-30,70,79,10.0,1.38
Bulgaria,2021-03-30,80,,5.99,0.83
Bulgaria,2021-04-06,18,24,2.23,0.43
Bulgaria,2021-04-06,25,49,5.6,1.58
Bulgaria,2021-04-06,50,59,9.94,3.29
Bulgaria,2021-04-06,60,69,11.9,2.98
Bulgaria,2021-04-06,70,79,11.91,1.56
Bulgaria,2021-04-06,80,,7.24,0.93
Bulgaria,2021-04-13,18,24,2.48,0.52
Bulgaria,2021-04-13,25,49,6.16,1.83
Bulgaria,2021-04-13,50,59,10.8,3.68
Bulgaria,2021-04-13,60,69,13.25,3.31
Bulgaria,2021-04-13,70,79,13.56,1.78
Bulgaria,2021-04-13,80,,8.3,1.08
Bulgaria,2021-04-20,18,24,2.76,0.71
Bulgaria,2021-04-20,25,49,6.78,2.37
Bulgaria,2021-04-20,50,59,11.67,4.49
Bulgaria,2021-04-20,60,69,14.49,4.11
Bulgaria,2021-04-20,70,79,15.02,2.47
Bulgaria,2021-04-20,80,,9.21,1.5
Bulgaria,2021-04-27,18,24,3.14,0.95
Bulgaria,2021-04-27,25,49,7.43,3.02
Bulgaria,2021-04-27,50,59,12.56,5.54
Bulgaria,2021-04-27,60,69,15.68,5.43
Bulgaria,2021-04-27,70,79,16.33,3.93
Bulgaria,2021-04-27,80,,10.07,2.38
Bulgaria,2021-05-04,18,24,3.58,1.3
Bulgaria,2021-05-04,25,49,7.98,3.8
Bulgaria,2021-05-04,50,59,13.23,6.95
Bulgaria,2021-05-04,60,69,16.53,7.56
Bulgaria,2021-05-04,70,79,17.22,6.39
Bulgaria,2021-05-04,80,,10.62,3.8
Bulgaria,2021-05-11,18,24,4.04,1.83
Bulgaria,2021-05-11,25,49,8.69,5.07
Bulgaria,2021-05-11,50,59,14.19,9.14
Bulgaria,2021-05-11,60,69,17.87,10.89
Bulgaria,2021-05-11,70,79,18.85,10.57
Bulgaria,2021-05-11,80,,11.7,6.39
Bulgaria,2021-05-18,18,24,4.48,2.36
Bulgaria,2021-05-18,25,49,9.37,6.09
Bulgaria,2021-05-18,50,59,15.14,10.72
Bulgaria,2021-05-18,60,69,19.31,13.15
Bulgaria,2021-05-18,70,79,20.64,13.36
Bulgaria,2021-05-18,80,,12.92,8.1
Bulgaria,2021-05-25,18,24,4.82,2.88
Bulgaria,2021-05-25,25,49,9.86,6.86
Bulgaria,2021-05-25,50,59,15.83,11.73
Bulgaria,2021-05-25,60,69,20.35,14.42
Bulgaria,2021-05-25,70,79,21.89,14.71
Bulgaria,2021-05-25,80,,13.82,8.96
Bulgaria,2021-06-01,18,24,5.21,3.51
Bulgaria,2021-06-01,25,49,10.37,7.85
Bulgaria,2021-06-01,50,59,16.5,13.04
Bulgaria,2021-06-01,60,69,21.25,16.26
Bulgaria,2021-06-01,70,79,22.99,16.94
Bulgaria,2021-06-01,80,,14.6,10.37
Bulgaria,2021-06-08,18,24,5.62,4.13
Bulgaria,2021-06-08,25,49,10.88,8.86
Bulgaria,2021-06-08,50,59,17.16,14.42
Bulgaria,2021-06-08,60,69,22.12,18.23
Bulgaria,2021-06-08,70,79,24.01,19.39
Bulgaria,2021-06-08,80,,15.33,12.05
