date,age_group_min,age_group_max,total_vaccinations,location
2021-02-15,15,17,150.0,Chile
2021-02-15,40,49,176017.0,Chile
2021-02-15,50,59,138827.0,Chile
2021-02-15,60,69,297438.0,Chile
2021-02-15,90,,62209.0,Chile
2021-02-15,70,72,243782.0,Chile
2021-02-15,73,74,154099.0,Chile
2021-02-15,75,77,200266.0,Chile
2021-02-15,18,39,454202.0,Chile
2021-02-15,81,84,148764.0,Chile
2021-02-15,85,86,52680.0,Chile
2021-02-15,87,89,57755.0,Chile
2021-02-15,78,80,161083.0,Chile
2021-02-16,75,77,206487.0,Chile
2021-02-16,78,80,165643.0,Chile
2021-02-16,18,39,488794.0,Chile
2021-02-16,70,72,259396.0,Chile
2021-02-16,81,84,152746.0,Chile
2021-02-16,60,69,413621.0,Chile
2021-02-16,85,86,54044.0,Chile
2021-02-16,50,59,156750.0,Chile
2021-02-16,40,49,194859.0,Chile
2021-02-16,87,89,59375.0,Chile
2021-02-16,73,74,159483.0,Chile
2021-02-16,90,,64358.0,Chile
2021-02-16,15,17,168.0,Chile
2021-02-21,73,74,170205.0,Chile
2021-02-21,21,30,264279.0,Chile
2021-02-21,15,20,15767.0,Chile
2021-02-21,75,77,219760.0,Chile
2021-02-21,61,70,770485.0,Chile
2021-02-21,78,79,120862.0,Chile
2021-02-21,51,60,205178.0,Chile
2021-02-21,31,40,306282.0,Chile
2021-02-21,80,,406700.0,Chile
2021-02-21,71,72,187309.0,Chile
2021-02-21,41,50,224280.0,Chile
2021-02-22,61,70,812704.0,Chile
2021-02-22,41,50,230755.0,Chile
2021-02-22,21,30,267745.0,Chile
2021-02-22,80,,413614.0,Chile
2021-02-22,71,72,191108.0,Chile
2021-02-22,78,79,122935.0,Chile
2021-02-22,31,40,311129.0,Chile
2021-02-22,15,20,16105.0,Chile
2021-02-22,51,60,230806.0,Chile
2021-02-22,75,77,223737.0,Chile
2021-02-22,73,74,173501.0,Chile
2021-02-23,71,72,193956.0,Chile
2021-02-23,73,74,175964.0,Chile
2021-02-23,78,79,124700.0,Chile
2021-02-23,75,77,226814.0,Chile
2021-02-23,41,50,244574.0,Chile
2021-02-23,51,60,261764.0,Chile
2021-02-23,15,20,16326.0,Chile
2021-02-23,31,40,316667.0,Chile
2021-02-23,21,30,271413.0,Chile
2021-02-23,80,,419959.0,Chile
2021-02-23,61,70,840389.0,Chile
2021-02-24,71,72,196212.0,Chile
2021-02-24,21,30,274969.0,Chile
2021-02-24,75,77,229297.0,Chile
2021-02-24,41,50,276629.0,Chile
2021-02-24,15,20,16621.0,Chile
2021-02-24,78,79,126148.0,Chile
2021-02-24,80,,425508.0,Chile
2021-02-24,31,40,322477.0,Chile
2021-02-24,51,60,272858.0,Chile
2021-02-24,61,70,860966.0,Chile
2021-02-24,73,74,177903.0,Chile
2021-02-25,80,,426947.0,Chile
2021-02-25,51,60,275748.0,Chile
2021-02-25,78,79,126558.0,Chile
2021-02-25,61,70,867671.0,Chile
2021-02-25,15,20,16709.0,Chile
2021-02-25,75,77,230079.0,Chile
2021-02-25,41,50,286064.0,Chile
2021-02-25,31,40,326304.0,Chile
2021-02-25,71,72,196957.0,Chile
2021-02-25,21,30,276337.0,Chile
2021-02-25,73,74,178558.0,Chile
2021-02-26,73,74,181618.0,Chile
2021-02-26,71,72,200482.0,Chile
2021-02-26,80,,434708.0,Chile
2021-02-26,75,77,233903.0,Chile
2021-02-26,61,70,898171.0,Chile
2021-02-26,15,20,17307.0,Chile
2021-02-26,41,50,318475.0,Chile
2021-02-26,78,79,128685.0,Chile
2021-02-26,51,60,293480.0,Chile
2021-02-26,31,40,350393.0,Chile
2021-02-26,21,30,287805.0,Chile
