location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Croatia,2021-01-01,18,24,0.0,0.0
Croatia,2021-01-01,25,49,0.03,0.0
Croatia,2021-01-01,50,59,0.04,0.0
Croatia,2021-01-01,60,69,0.03,0.0
Croatia,2021-01-01,70,79,0.09,0.0
Croatia,2021-01-01,80,,0.39,0.0
Croatia,2021-01-08,18,24,0.16,0.0
Croatia,2021-01-08,25,49,0.73,0.0
Croatia,2021-01-08,50,59,1.05,0.0
Croatia,2021-01-08,60,69,0.73,0.0
Croatia,2021-01-08,70,79,0.96,0.0
Croatia,2021-01-08,80,,3.22,0.0
Croatia,2021-01-15,18,24,0.27,0.0
Croatia,2021-01-15,25,49,1.19,0.0
Croatia,2021-01-15,50,59,1.79,0.0
Croatia,2021-01-15,60,69,1.26,0.0
Croatia,2021-01-15,70,79,1.51,0.02
Croatia,2021-01-15,80,,4.24,0.09
Croatia,2021-01-22,18,24,0.35,0.04
Croatia,2021-01-22,25,49,1.49,0.21
Croatia,2021-01-22,50,59,2.28,0.31
Croatia,2021-01-22,60,69,1.66,0.22
Croatia,2021-01-22,70,79,1.94,0.41
Croatia,2021-01-22,80,,5.02,1.72
Croatia,2021-01-29,18,24,0.36,0.12
Croatia,2021-01-29,25,49,1.52,0.59
Croatia,2021-01-29,50,59,2.33,0.88
Croatia,2021-01-29,60,69,1.71,0.61
Croatia,2021-01-29,70,79,2.01,0.79
Croatia,2021-01-29,80,,5.15,2.82
Croatia,2021-02-05,18,24,0.37,0.22
Croatia,2021-02-05,25,49,1.57,0.99
Croatia,2021-02-05,50,59,2.42,1.49
Croatia,2021-02-05,60,69,1.8,1.04
Croatia,2021-02-05,70,79,2.13,1.2
Croatia,2021-02-05,80,,5.29,3.67
Croatia,2021-02-12,18,24,0.42,0.31
Croatia,2021-02-12,25,49,1.76,1.37
Croatia,2021-02-12,50,59,2.78,2.09
Croatia,2021-02-12,60,69,2.36,1.51
Croatia,2021-02-12,70,79,3.03,1.68
Croatia,2021-02-12,80,,6.34,4.51
Croatia,2021-02-19,18,24,0.55,0.34
Croatia,2021-02-19,25,49,2.15,1.48
Croatia,2021-02-19,50,59,3.52,2.27
Croatia,2021-02-19,60,69,3.48,1.66
Croatia,2021-02-19,70,79,5.38,1.9
Croatia,2021-02-19,80,,11.28,4.85
Croatia,2021-02-26,18,24,0.65,0.35
Croatia,2021-02-26,25,49,2.48,1.52
Croatia,2021-02-26,50,59,4.22,2.33
Croatia,2021-02-26,60,69,5.22,1.74
Croatia,2021-02-26,70,79,10.43,2.01
Croatia,2021-02-26,80,,21.41,4.99
Croatia,2021-03-05,18,24,0.72,0.37
Croatia,2021-03-05,25,49,2.73,1.6
Croatia,2021-03-05,50,59,4.83,2.46
Croatia,2021-03-05,60,69,7.07,1.88
Croatia,2021-03-05,70,79,16.22,2.2
Croatia,2021-03-05,80,,27.52,5.3
Croatia,2021-03-12,18,24,0.93,0.44
Croatia,2021-03-12,25,49,3.01,1.79
Croatia,2021-03-12,50,59,5.52,2.78
Croatia,2021-03-12,60,69,9.29,2.21
Croatia,2021-03-12,70,79,22.11,2.74
Croatia,2021-03-12,80,,31.71,6.46
Croatia,2021-03-19,18,24,1.03,0.49
Croatia,2021-03-19,25,49,3.32,1.97
Croatia,2021-03-19,50,59,6.37,3.09
Croatia,2021-03-19,60,69,12.03,2.69
Croatia,2021-03-19,70,79,27.89,3.75
Croatia,2021-03-19,80,,34.34,8.16
Croatia,2021-03-26,18,24,1.15,0.52
Croatia,2021-03-26,25,49,3.68,2.06
Croatia,2021-03-26,50,59,7.33,3.27
Croatia,2021-03-26,60,69,15.1,3.01
Croatia,2021-03-26,70,79,33.2,4.44
Croatia,2021-03-26,80,,36.6,9.25
Croatia,2021-04-02,18,24,1.32,0.55
Croatia,2021-04-02,25,49,4.03,2.17
Croatia,2021-04-02,50,59,8.35,3.47
Croatia,2021-04-02,60,69,18.56,3.43
Croatia,2021-04-02,70,79,38.26,5.58
Croatia,2021-04-02,80,,38.69,10.9
Croatia,2021-04-09,18,24,1.44,0.59
Croatia,2021-04-09,25,49,4.5,2.28
Croatia,2021-04-09,50,59,9.79,3.68
Croatia,2021-04-09,60,69,22.42,3.95
Croatia,2021-04-09,70,79,42.07,7.05
Croatia,2021-04-09,80,,40.08,12.48
Croatia,2021-04-16,18,24,1.72,0.66
Croatia,2021-04-16,25,49,5.42,2.5
Croatia,2021-04-16,50,59,12.11,4.19
Croatia,2021-04-16,60,69,27.83,5.32
Croatia,2021-04-16,70,79,46.24,10.58
Croatia,2021-04-16,80,,41.81,16.07
Croatia,2021-04-23,18,24,2.29,0.73
Croatia,2021-04-23,25,49,6.34,2.7
Croatia,2021-04-23,50,59,14.27,4.69
Croatia,2021-04-23,60,69,32.3,6.85
Croatia,2021-04-23,70,79,50.41,13.81
Croatia,2021-04-23,80,,43.58,18.54
Croatia,2021-04-30,18,24,2.72,0.82
Croatia,2021-04-30,25,49,7.96,2.97
Croatia,2021-04-30,50,59,17.52,5.34
Croatia,2021-04-30,60,69,36.81,8.83
Croatia,2021-04-30,70,79,53.77,17.52
Croatia,2021-04-30,80,,45.18,21.32
Croatia,2021-05-07,18,24,4.0,1.08
