location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Cyprus,2021-01-01,18,24,0.0,0.0
Cyprus,2021-01-01,25,49,0.01,0.0
Cyprus,2021-01-01,50,59,0.03,0.0
Cyprus,2021-01-01,60,69,0.03,0.0
Cyprus,2021-01-01,70,79,0.04,0.0
Cyprus,2021-01-01,80,,0.66,0.0
Cyprus,2021-01-08,18,24,0.06,0.0
Cyprus,2021-01-08,25,49,0.33,0.0
Cyprus,2021-01-08,50,59,1.4,0.0
Cyprus,2021-01-08,60,69,0.92,0.0
Cyprus,2021-01-08,70,79,0.94,0.0
Cyprus,2021-01-08,80,,5.83,0.0
Cyprus,2021-01-15,18,24,0.08,0.0
Cyprus,2021-01-15,25,49,0.52,0.01
Cyprus,2021-01-15,50,59,1.69,0.01
Cyprus,2021-01-15,60,69,1.21,0.03
Cyprus,2021-01-15,70,79,1.14,0.04
Cyprus,2021-01-15,80,,14.69,0.58
Cyprus,2021-01-22,18,24,0.09,0.03
Cyprus,2021-01-22,25,49,0.59,0.11
Cyprus,2021-01-22,50,59,1.93,0.58
Cyprus,2021-01-22,60,69,1.39,0.42
Cyprus,2021-01-22,70,79,1.38,0.52
Cyprus,2021-01-22,80,,26.81,2.6
Cyprus,2021-01-29,18,24,0.1,0.04
Cyprus,2021-01-29,25,49,0.61,0.23
Cyprus,2021-01-29,50,59,2.04,1.23
Cyprus,2021-01-29,60,69,1.47,0.81
Cyprus,2021-01-29,70,79,1.56,0.84
Cyprus,2021-01-29,80,,38.8,5.21
Cyprus,2021-02-05,18,24,0.12,0.06
Cyprus,2021-02-05,25,49,0.68,0.41
Cyprus,2021-02-05,50,59,2.16,1.52
Cyprus,2021-02-05,60,69,1.57,1.09
Cyprus,2021-02-05,70,79,1.84,1.03
Cyprus,2021-02-05,80,,47.09,13.92
Cyprus,2021-02-12,18,24,0.14,0.07
Cyprus,2021-02-12,25,49,0.81,0.47
Cyprus,2021-02-12,50,59,2.5,1.74
Cyprus,2021-02-12,60,69,1.91,1.26
Cyprus,2021-02-12,70,79,3.15,1.25
Cyprus,2021-02-12,80,,60.94,25.32
Cyprus,2021-02-19,18,24,0.32,0.09
Cyprus,2021-02-19,25,49,1.05,0.52
Cyprus,2021-02-19,50,59,2.81,1.82
Cyprus,2021-02-19,60,69,2.25,1.34
Cyprus,2021-02-19,70,79,10.51,1.4
Cyprus,2021-02-19,80,,70.58,37.15
Cyprus,2021-02-26,18,24,0.42,0.11
Cyprus,2021-02-26,25,49,1.17,0.6
Cyprus,2021-02-26,50,59,2.97,1.94
Cyprus,2021-02-26,60,69,2.47,1.45
Cyprus,2021-02-26,70,79,31.88,1.69
Cyprus,2021-02-26,80,,74.12,45.92
Cyprus,2021-03-05,18,24,0.47,0.12
