location,date,age_group_min,age_group_max,total_vaccinations
Czechia,2020-12-29,18,24,49
Czechia,2020-12-29,25,49,682
Czechia,2020-12-29,50,59,249
Czechia,2020-12-29,60,69,178
Czechia,2020-12-29,70,79,67
Czechia,2020-12-29,80,,25
Czechia,2021-01-05,18,24,1458
Czechia,2021-01-05,25,49,26035
Czechia,2021-01-05,50,59,10860
Czechia,2021-01-05,60,69,6454
Czechia,2021-01-05,70,79,2480
Czechia,2021-01-05,80,,2428
Czechia,2021-01-12,18,24,3591
Czechia,2021-01-12,25,49,55443
Czechia,2021-01-12,50,59,24837
Czechia,2021-01-12,60,69,15696
Czechia,2021-01-12,70,79,8268
Czechia,2021-01-12,80,,14162
Czechia,2021-01-19,18,24,4963
Czechia,2021-01-19,25,49,76904
Czechia,2021-01-19,50,59,36134
Czechia,2021-01-19,60,69,23536
Czechia,2021-01-19,70,79,13720
Czechia,2021-01-19,80,,52782
Czechia,2021-01-26,18,24,6388
Czechia,2021-01-26,25,49,98517
Czechia,2021-01-26,50,59,46330
Czechia,2021-01-26,60,69,29977
Czechia,2021-01-26,70,79,17001
Czechia,2021-01-26,80,,81059
Czechia,2021-02-02,18,24,8431
Czechia,2021-02-02,25,49,127054
Czechia,2021-02-02,50,59,59877
Czechia,2021-02-02,60,69,38934
Czechia,2021-02-02,70,79,22414
Czechia,2021-02-02,80,,104326
Czechia,2021-02-09,18,24,10090
Czechia,2021-02-09,25,49,149463
Czechia,2021-02-09,50,59,71899
Czechia,2021-02-09,60,69,47718
Czechia,2021-02-09,70,79,29404
Czechia,2021-02-09,80,,154008
Czechia,2021-02-16,18,24,11525
Czechia,2021-02-16,25,49,165598
Czechia,2021-02-16,50,59,80689
Czechia,2021-02-16,60,69,54406
Czechia,2021-02-16,70,79,35675
Czechia,2021-02-16,80,,210335
Czechia,2021-02-23,18,24,13162
Czechia,2021-02-23,25,49,184339
Czechia,2021-02-23,50,59,90446
Czechia,2021-02-23,60,69,61979
Czechia,2021-02-23,70,79,43048
Czechia,2021-02-23,80,,272016
Czechia,2021-03-02,18,24,15179
Czechia,2021-03-02,25,49,216997
Czechia,2021-03-02,50,59,114486
Czechia,2021-03-02,60,69,83060
Czechia,2021-03-02,70,79,93951
Czechia,2021-03-02,80,,326366
Czechia,2021-03-09,18,24,18334
Czechia,2021-03-09,25,49,255064
Czechia,2021-03-09,50,59,139710
Czechia,2021-03-09,60,69,102221
Czechia,2021-03-09,70,79,213390
Czechia,2021-03-09,80,,376621
Czechia,2021-03-16,18,24,21832
Czechia,2021-03-16,25,49,292250
Czechia,2021-03-16,50,59,163295
Czechia,2021-03-16,60,69,120204
Czechia,2021-03-16,70,79,334925
Czechia,2021-03-16,80,,429788
Czechia,2021-03-23,18,24,24734
Czechia,2021-03-23,25,49,328247
Czechia,2021-03-23,50,59,186106
Czechia,2021-03-23,60,69,143024
Czechia,2021-03-23,70,79,433060
Czechia,2021-03-23,80,,473829
Czechia,2021-03-30,18,24,27873
Czechia,2021-03-30,25,49,366968
Czechia,2021-03-30,50,59,210925
Czechia,2021-03-30,60,69,169394
Czechia,2021-03-30,70,79,546031
Czechia,2021-03-30,80,,505642
Czechia,2021-04-06,18,24,31907
Czechia,2021-04-06,25,49,411919
Czechia,2021-04-06,50,59,238887
Czechia,2021-04-06,60,69,200739
Czechia,2021-04-06,70,79,701302
Czechia,2021-04-06,80,,529286
Czechia,2021-04-13,18,24,36383
Czechia,2021-04-13,25,49,473270
Czechia,2021-04-13,50,59,277446
Czechia,2021-04-13,60,69,266328
Czechia,2021-04-13,70,79,887870
Czechia,2021-04-13,80,,548328
Czechia,2021-04-20,18,24,41324
Czechia,2021-04-20,25,49,531927
Czechia,2021-04-20,50,59,312566
Czechia,2021-04-20,60,69,405672
Czechia,2021-04-20,70,79,988643
Czechia,2021-04-20,80,,560682
Czechia,2021-04-27,18,24,45199
Czechia,2021-04-27,25,49,578161
Czechia,2021-04-27,50,59,356902
Czechia,2021-04-27,60,69,613388
Czechia,2021-04-27,70,79,1055148
Czechia,2021-04-27,80,,570150
Czechia,2021-05-04,18,24,49488
Czechia,2021-05-04,25,49,633412
Czechia,2021-05-04,50,59,520458
Czechia,2021-05-04,60,69,781456
Czechia,2021-05-04,70,79,1105393
Czechia,2021-05-04,80,,579700
Czechia,2021-05-11,18,24,54195
Czechia,2021-05-11,25,49,751410
Czechia,2021-05-11,50,59,728771
Czechia,2021-05-11,60,69,879732
Czechia,2021-05-11,70,79,1144795
Czechia,2021-05-11,80,,593005
Czechia,2021-05-18,18,24,59465
Czechia,2021-05-18,25,49,1006317
Czechia,2021-05-18,50,59,840978
Czechia,2021-05-18,60,69,947451
Czechia,2021-05-18,70,79,1208400
Czechia,2021-05-18,80,,607717
Czechia,2021-05-25,18,24,66220
Czechia,2021-05-25,25,49,1276826
Czechia,2021-05-25,50,59,921145
Czechia,2021-05-25,60,69,1027649
Czechia,2021-05-25,70,79,1310719
Czechia,2021-05-25,80,,624668
Czechia,2021-06-01,18,24,70200
Czechia,2021-06-01,25,49,1426675
Czechia,2021-06-01,50,59,955837
Czechia,2021-06-01,60,69,1095363
Czechia,2021-06-01,70,79,1356227
Czechia,2021-06-01,80,,632990
