location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Denmark,2021-01-05,18,24,0.48,0.0
Denmark,2021-01-05,25,49,1.78,0.0
Denmark,2021-01-05,50,59,2.54,0.0
Denmark,2021-01-05,60,69,2.45,0.0
Denmark,2021-01-05,70,79,1.94,0.0
Denmark,2021-01-05,80,,10.71,0.0
Denmark,2021-01-12,18,24,0.68,0.0
Denmark,2021-01-12,25,49,2.54,0.01
Denmark,2021-01-12,50,59,3.48,0.02
Denmark,2021-01-12,60,69,3.62,0.01
Denmark,2021-01-12,70,79,3.49,0.02
Denmark,2021-01-12,80,,16.2,0.08
Denmark,2021-01-19,18,24,0.75,0.11
Denmark,2021-01-19,25,49,2.69,0.39
Denmark,2021-01-19,50,59,3.66,0.57
Denmark,2021-01-19,60,69,3.86,0.58
Denmark,2021-01-19,70,79,3.85,0.61
Denmark,2021-01-19,80,,17.45,3.44
Denmark,2021-01-26,18,24,0.8,0.39
Denmark,2021-01-26,25,49,2.76,1.34
Denmark,2021-01-26,50,59,3.78,2.01
Denmark,2021-01-26,60,69,3.97,1.9
Denmark,2021-01-26,70,79,3.95,1.7
Denmark,2021-01-26,80,,17.72,9.14
Denmark,2021-02-02,18,24,0.84,0.62
Denmark,2021-02-02,25,49,2.84,2.12
Denmark,2021-02-02,50,59,3.88,3.04
Denmark,2021-02-02,60,69,4.1,3.07
Denmark,2021-02-02,70,79,4.23,3.04
Denmark,2021-02-02,80,,19.69,14.06
Denmark,2021-02-09,18,24,1.16,0.78
Denmark,2021-02-09,25,49,3.39,2.62
Denmark,2021-02-09,50,59,4.56,3.6
Denmark,2021-02-09,60,69,4.58,3.63
Denmark,2021-02-09,70,79,4.46,3.64
Denmark,2021-02-09,80,,26.4,16.34
Denmark,2021-02-16,18,24,1.67,0.83
Denmark,2021-02-16,25,49,4.18,2.75
Denmark,2021-02-16,50,59,5.66,3.75
Denmark,2021-02-16,60,69,5.53,3.81
Denmark,2021-02-16,70,79,5.49,3.87
Denmark,2021-02-16,80,,43.55,16.67
Denmark,2021-02-23,18,24,2.57,0.89
Denmark,2021-02-23,25,49,5.82,2.88
Denmark,2021-02-23,50,59,8.09,3.92
Denmark,2021-02-23,60,69,8.25,3.99
Denmark,2021-02-23,70,79,8.18,4.18
Denmark,2021-02-23,80,,51.77,17.65
Denmark,2021-03-02,18,24,3.69,0.93
Denmark,2021-03-02,25,49,7.63,2.98
Denmark,2021-03-02,50,59,10.51,4.06
Denmark,2021-03-02,60,69,11.22,4.16
Denmark,2021-03-02,70,79,11.76,4.42
Denmark,2021-03-02,80,,56.22,22.74
Denmark,2021-03-09,18,24,4.2,1.01
Denmark,2021-03-09,25,49,8.36,3.13
Denmark,2021-03-09,50,59,11.5,4.33
Denmark,2021-03-09,60,69,12.4,4.64
Denmark,2021-03-09,70,79,13.17,5.3
Denmark,2021-03-09,80,,58.71,38.21
Denmark,2021-03-16,18,24,4.43,1.17
Denmark,2021-03-16,25,49,8.72,3.42
Denmark,2021-03-16,50,59,12.1,4.9
Denmark,2021-03-16,60,69,13.32,5.91
