location,date,age_group_min,age_group_max,total_vaccinations
Hungary,2020-12-29,18,24,18
Hungary,2020-12-29,25,49,649
Hungary,2020-12-29,50,59,276
Hungary,2020-12-29,60,69,117
Hungary,2020-12-29,70,79,31
Hungary,2020-12-29,80,,2
Hungary,2021-01-05,18,24,2441
Hungary,2021-01-05,25,49,32342
Hungary,2021-01-05,50,59,18751
Hungary,2021-01-05,60,69,10991
Hungary,2021-01-05,70,79,4697
Hungary,2021-01-05,80,,2805
Hungary,2021-01-12,18,24,5847
Hungary,2021-01-12,25,49,54661
Hungary,2021-01-12,50,59,31155
Hungary,2021-01-12,60,69,18875
Hungary,2021-01-12,70,79,8278
Hungary,2021-01-12,80,,4932
Hungary,2021-01-19,18,24,8488
Hungary,2021-01-19,25,49,70660
Hungary,2021-01-19,50,59,38606
Hungary,2021-01-19,60,69,23402
Hungary,2021-01-19,70,79,9949
Hungary,2021-01-19,80,,5259
Hungary,2021-01-26,18,24,14024
Hungary,2021-01-26,25,49,122468
Hungary,2021-01-26,50,59,70928
Hungary,2021-01-26,60,69,46297
Hungary,2021-01-26,70,79,24603
Hungary,2021-01-26,80,,25431
Hungary,2021-02-02,18,24,18409
Hungary,2021-02-02,25,49,149117
Hungary,2021-02-02,50,59,85374
Hungary,2021-02-02,60,69,55223
Hungary,2021-02-02,70,79,28481
Hungary,2021-02-02,80,,61280
Hungary,2021-02-09,18,24,21243
Hungary,2021-02-09,25,49,165801
Hungary,2021-02-09,50,59,106773
Hungary,2021-02-09,60,69,60493
Hungary,2021-02-09,70,79,37825
Hungary,2021-02-09,80,,89244
Hungary,2021-02-16,18,24,26792
Hungary,2021-02-16,25,49,204330
Hungary,2021-02-16,50,59,144528
Hungary,2021-02-16,60,69,88221
Hungary,2021-02-16,70,79,67715
Hungary,2021-02-16,80,,131965
Hungary,2021-02-23,18,24,28888
Hungary,2021-02-23,25,49,229457
Hungary,2021-02-23,50,59,177536
Hungary,2021-02-23,60,69,160528
Hungary,2021-02-23,70,79,164760
Hungary,2021-02-23,80,,198068
Hungary,2021-03-02,18,24,30086
Hungary,2021-03-02,25,49,242893
Hungary,2021-03-02,50,59,198022
Hungary,2021-03-02,60,69,265612
Hungary,2021-03-02,70,79,318225
Hungary,2021-03-02,80,,276348
Hungary,2021-03-09,18,24,36173
Hungary,2021-03-09,25,49,307596
Hungary,2021-03-09,50,59,266105
Hungary,2021-03-09,60,69,377114
Hungary,2021-03-09,70,79,440005
Hungary,2021-03-09,80,,332492
Hungary,2021-03-16,18,24,40608
Hungary,2021-03-16,25,49,347464
Hungary,2021-03-16,50,59,301243
Hungary,2021-03-16,60,69,476103
Hungary,2021-03-16,70,79,544478
Hungary,2021-03-16,80,,378718
Hungary,2021-03-23,18,24,45007
Hungary,2021-03-23,25,49,402192
Hungary,2021-03-23,50,59,356707
Hungary,2021-03-23,60,69,694043
Hungary,2021-03-23,70,79,710169
Hungary,2021-03-23,80,,415831
Hungary,2021-03-30,18,24,54192
Hungary,2021-03-30,25,49,546529
Hungary,2021-03-30,50,59,478356
Hungary,2021-03-30,60,69,898406
Hungary,2021-03-30,70,79,861934
Hungary,2021-03-30,80,,451568
Hungary,2021-04-06,18,24,81971
Hungary,2021-04-06,25,49,849023
Hungary,2021-04-06,50,59,635163
Hungary,2021-04-06,60,69,1076458
Hungary,2021-04-06,70,79,996645
Hungary,2021-04-06,80,,490711
Hungary,2021-04-13,18,24,107333
Hungary,2021-04-13,25,49,1076886
Hungary,2021-04-13,50,59,717021
Hungary,2021-04-13,60,69,1195161
Hungary,2021-04-13,70,79,1055613
Hungary,2021-04-13,80,,510826
Hungary,2021-04-20,18,24,132161
Hungary,2021-04-20,25,49,1302630
Hungary,2021-04-20,50,59,840463
Hungary,2021-04-20,60,69,1314452
Hungary,2021-04-20,70,79,1138894
Hungary,2021-04-20,80,,539081
Hungary,2021-04-27,18,24,223583
Hungary,2021-04-27,25,49,1729756
Hungary,2021-04-27,50,59,980793
Hungary,2021-04-27,60,69,1442527
Hungary,2021-04-27,70,79,1214045
Hungary,2021-04-27,80,,558856
Hungary,2021-05-04,18,24,274447
Hungary,2021-05-04,25,49,2049464
Hungary,2021-05-04,50,59,1088471
Hungary,2021-05-04,60,69,1543010
Hungary,2021-05-04,70,79,1262048
Hungary,2021-05-04,80,,573015
Hungary,2021-05-11,18,24,331211
Hungary,2021-05-11,25,49,2294116
Hungary,2021-05-11,50,59,1166503
Hungary,2021-05-11,60,69,1596554
Hungary,2021-05-11,70,79,1286125
Hungary,2021-05-11,80,,581647
Hungary,2021-05-18,18,24,411947
Hungary,2021-05-18,25,49,2604783
Hungary,2021-05-18,50,59,1259731
Hungary,2021-05-18,60,69,1674578
Hungary,2021-05-18,70,79,1322911
Hungary,2021-05-18,80,,596119
Hungary,2021-05-25,18,24,497644
Hungary,2021-05-25,25,49,2986355
Hungary,2021-05-25,50,59,1373049
Hungary,2021-05-25,60,69,1747512
Hungary,2021-05-25,70,79,1354383
Hungary,2021-05-25,80,,609354
Hungary,2021-06-01,18,24,525812
Hungary,2021-06-01,25,49,3085396
Hungary,2021-06-01,50,59,1398712
Hungary,2021-06-01,60,69,1765029
Hungary,2021-06-01,70,79,1363209
Hungary,2021-06-01,80,,612561
