location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Iceland,2021-01-08,18,24,0.31,0.0
Iceland,2021-01-08,25,49,0.85,0.0
Iceland,2021-01-08,50,59,0.82,0.0
Iceland,2021-01-08,60,69,1.29,0.0
Iceland,2021-01-08,70,79,2.52,0.0
Iceland,2021-01-08,80,,18.31,0.0
Iceland,2021-01-15,18,24,0.6,0.0
Iceland,2021-01-15,25,49,1.44,0.0
Iceland,2021-01-15,50,59,1.28,0.0
Iceland,2021-01-15,60,69,1.75,0.0
Iceland,2021-01-15,70,79,2.53,0.0
Iceland,2021-01-15,80,,18.31,0.0
Iceland,2021-01-22,18,24,0.8,0.3
Iceland,2021-01-22,25,49,1.99,0.84
Iceland,2021-01-22,50,59,2.05,0.81
Iceland,2021-01-22,60,69,2.86,1.28
Iceland,2021-01-22,70,79,5.97,2.43
Iceland,2021-01-22,80,,33.96,17.47
Iceland,2021-01-29,18,24,0.8,0.3
Iceland,2021-01-29,25,49,2.03,0.84
Iceland,2021-01-29,50,59,2.1,0.81
Iceland,2021-01-29,60,69,2.91,1.28
Iceland,2021-01-29,70,79,6.16,2.46
Iceland,2021-01-29,80,,34.77,17.58
Iceland,2021-02-05,18,24,0.9,0.3
Iceland,2021-02-05,25,49,2.4,0.84
Iceland,2021-02-05,50,59,2.53,0.82
Iceland,2021-02-05,60,69,3.25,1.29
Iceland,2021-02-05,70,79,6.78,2.47
Iceland,2021-02-05,80,,43.87,17.79
Iceland,2021-02-12,18,24,2.16,0.49
Iceland,2021-02-12,25,49,2.79,1.29
Iceland,2021-02-12,50,59,3.02,1.14
Iceland,2021-02-12,60,69,3.5,1.55
Iceland,2021-02-12,70,79,6.8,2.49
Iceland,2021-02-12,80,,43.87,17.8
Iceland,2021-02-19,18,24,3.22,0.78
Iceland,2021-02-19,25,49,3.79,2.01
Iceland,2021-02-19,50,59,4.3,2.08
Iceland,2021-02-19,60,69,5.2,2.9
Iceland,2021-02-19,70,79,7.06,5.97
Iceland,2021-02-19,80,,45.29,33.99
Iceland,2021-02-26,18,24,4.72,0.87
Iceland,2021-02-26,25,49,4.7,2.37
Iceland,2021-02-26,50,59,5.54,2.5
