location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-01-08,18,24,0.69,0.0
Ireland,2021-01-08,25,49,1.78,0.0
Ireland,2021-01-08,50,59,1.8,0.0
Ireland,2021-01-08,60,69,0.86,0.0
Ireland,2021-01-08,70,79,0.12,0.0
Ireland,2021-01-08,80,,0.46,0.0
Ireland,2021-01-15,18,24,1.28,0.0
Ireland,2021-01-15,25,49,3.06,0.0
Ireland,2021-01-15,50,59,3.47,0.0
Ireland,2021-01-15,60,69,1.97,0.0
Ireland,2021-01-15,70,79,0.81,0.0
Ireland,2021-01-15,80,,3.81,0.0
Ireland,2021-01-22,18,24,1.76,0.05
Ireland,2021-01-22,25,49,3.95,0.14
Ireland,2021-01-22,50,59,4.7,0.13
Ireland,2021-01-22,60,69,2.98,0.05
Ireland,2021-01-22,70,79,1.95,0.0
Ireland,2021-01-22,80,,9.95,0.0
Ireland,2021-01-29,18,24,1.81,0.69
Ireland,2021-01-29,25,49,4.07,1.76
Ireland,2021-01-29,50,59,4.86,1.8
Ireland,2021-01-29,60,69,3.23,0.86
Ireland,2021-01-29,70,79,2.23,0.12
Ireland,2021-01-29,80,,10.14,0.41
Ireland,2021-02-05,18,24,1.96,1.23
Ireland,2021-02-05,25,49,4.33,2.93
Ireland,2021-02-05,50,59,5.16,3.31
Ireland,2021-02-05,60,69,3.42,1.84
Ireland,2021-02-05,70,79,2.29,0.71
Ireland,2021-02-05,80,,10.33,3.34
Ireland,2021-02-12,18,24,2.33,1.25
Ireland,2021-02-12,25,49,5.09,3.03
Ireland,2021-02-12,50,59,6.19,3.43
Ireland,2021-02-12,60,69,4.14,1.93
Ireland,2021-02-12,70,79,2.75,0.75
Ireland,2021-02-12,80,,11.53,3.39
Ireland,2021-02-19,18,24,2.93,1.71
Ireland,2021-02-19,25,49,5.85,3.88
Ireland,2021-02-19,50,59,7.15,4.6
Ireland,2021-02-19,60,69,4.75,2.9
Ireland,2021-02-19,70,79,3.03,1.78
Ireland,2021-02-19,80,,21.68,8.9
Ireland,2021-02-26,18,24,3.75,1.81
Ireland,2021-02-26,25,49,6.99,4.08
Ireland,2021-02-26,50,59,8.59,4.87
Ireland,2021-02-26,60,69,5.75,3.22
Ireland,2021-02-26,70,79,4.28,2.08
Ireland,2021-02-26,80,,43.69,9.31
Ireland,2021-03-05,18,24,4.36,1.94
Ireland,2021-03-05,25,49,7.88,4.3
Ireland,2021-03-05,50,59,9.7,5.14
Ireland,2021-03-05,60,69,6.66,3.38
Ireland,2021-03-05,70,79,7.33,2.18
Ireland,2021-03-05,80,,66.14,9.64
Ireland,2021-03-12,18,24,5.12,2.04
Ireland,2021-03-12,25,49,8.9,4.53
Ireland,2021-03-12,50,59,11.02,5.47
Ireland,2021-03-12,60,69,7.79,3.7
Ireland,2021-03-12,70,79,10.49,2.66
Ireland,2021-03-12,80,,85.0,11.01
Ireland,2021-03-19,18,24,5.23,2.1
Ireland,2021-03-19,25,49,9.0,4.64
Ireland,2021-03-19,50,59,11.19,5.63
Ireland,2021-03-19,60,69,8.1,3.86
Ireland,2021-03-19,70,79,16.57,2.94
Ireland,2021-03-19,80,,96.98,20.1
Ireland,2021-03-26,18,24,6.05,2.15
Ireland,2021-03-26,25,49,10.03,4.71
Ireland,2021-03-26,50,59,12.72,5.76
Ireland,2021-03-26,60,69,9.87,4.08
Ireland,2021-03-26,70,79,29.52,4.1
Ireland,2021-03-26,80,,100.29,41.08
Ireland,2021-04-02,18,24,6.89,2.18
Ireland,2021-04-02,25,49,10.91,4.76
Ireland,2021-04-02,50,59,14.08,5.83
Ireland,2021-04-02,60,69,11.82,4.26
Ireland,2021-04-02,70,79,43.49,7.11
Ireland,2021-04-02,80,,102.46,62.82
Ireland,2021-04-09,18,24,7.53,2.19
Ireland,2021-04-09,25,49,11.66,4.8
Ireland,2021-04-09,50,59,15.47,5.88
Ireland,2021-04-09,60,69,14.07,4.38
Ireland,2021-04-09,70,79,58.88,10.04
Ireland,2021-04-09,80,,103.36,80.63
Ireland,2021-04-16,18,24,7.68,2.22
Ireland,2021-04-16,25,49,11.98,4.83
Ireland,2021-04-16,50,59,16.29,5.93
Ireland,2021-04-16,60,69,17.26,4.51
Ireland,2021-04-16,70,79,83.85,15.98
Ireland,2021-04-16,80,,104.1,91.95
Ireland,2021-04-23,18,24,8.08,2.24
Ireland,2021-04-23,25,49,12.78,4.87
Ireland,2021-04-23,50,59,18.67,6.0
Ireland,2021-04-23,60,69,30.91,4.71
Ireland,2021-04-23,70,79,98.35,28.61
Ireland,2021-04-23,80,,104.52,94.55
Ireland,2021-04-30,18,24,8.94,2.26
Ireland,2021-04-30,25,49,14.49,4.9
Ireland,2021-04-30,50,59,23.41,6.07
Ireland,2021-04-30,60,69,49.27,4.93
Ireland,2021-04-30,70,79,101.1,41.83
Ireland,2021-04-30,80,,104.8,96.15
Ireland,2021-05-07,18,24,9.85,2.3
Ireland,2021-05-07,25,49,16.17,4.97
Ireland,2021-05-07,50,59,27.94,6.29
Ireland,2021-05-07,60,69,75.39,5.64
Ireland,2021-05-07,70,79,101.78,56.82
Ireland,2021-05-07,80,,104.96,96.71
Ireland,2021-05-14,18,24,10.71,2.44
Ireland,2021-05-14,25,49,17.62,5.24
Ireland,2021-05-14,50,59,46.82,7.04
Ireland,2021-05-14,60,69,89.2,7.92
Ireland,2021-05-14,70,79,102.26,79.34
Ireland,2021-05-14,80,,105.05,97.16
Ireland,2021-05-21,18,24,11.61,2.93
Ireland,2021-05-21,25,49,19.43,6.08
Ireland,2021-05-21,50,59,75.6,15.43
Ireland,2021-05-21,60,69,91.85,10.34
Ireland,2021-05-21,70,79,102.46,89.9
Ireland,2021-05-21,80,,105.11,97.38
Ireland,2021-05-28,18,24,12.76,4.64
Ireland,2021-05-28,25,49,24.64,9.06
Ireland,2021-05-28,50,59,85.93,23.87
Ireland,2021-05-28,60,69,93.49,12.55
Ireland,2021-05-28,70,79,102.61,91.8
Ireland,2021-05-28,80,,105.17,97.54
Ireland,2021-06-04,18,24,13.71,6.24
Ireland,2021-06-04,25,49,31.44,11.56
Ireland,2021-06-04,50,59,89.7,30.39
Ireland,2021-06-04,60,69,94.38,14.48
Ireland,2021-06-04,70,79,102.72,92.32
Ireland,2021-06-04,80,,105.21,97.66
Ireland,2021-06-11,18,24,14.73,7.34
Ireland,2021-06-11,25,49,38.91,13.29
Ireland,2021-06-11,50,59,91.07,43.69
Ireland,2021-06-11,60,69,94.81,16.6
Ireland,2021-06-11,70,79,102.81,92.72
Ireland,2021-06-11,80,,105.24,97.75
Ireland,2021-06-18,18,24,15.71,9.59
Ireland,2021-06-18,25,49,43.23,16.79
Ireland,2021-06-18,50,59,91.58,66.63
Ireland,2021-06-18,60,69,95.07,26.08
Ireland,2021-06-18,70,79,102.9,93.56
Ireland,2021-06-18,80,,105.28,97.85
Ireland,2021-06-22,18,24,16.23,10.59
Ireland,2021-06-22,25,49,45.6,18.46
Ireland,2021-06-22,50,59,91.75,72.34
Ireland,2021-06-22,60,69,95.18,33.82
Ireland,2021-06-22,70,79,102.94,93.93
Ireland,2021-06-22,80,,105.29,97.88
