location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Italy,2020-12-29,18,24,0.0,0.0
Italy,2020-12-29,25,49,0.02,0.0
Italy,2020-12-29,50,59,0.02,0.0
Italy,2020-12-29,60,69,0.02,0.0
Italy,2020-12-29,70,79,0.0,0.0
Italy,2020-12-29,80,,0.0,0.0
Italy,2021-03-30,18,24,3.44,2.08
Italy,2021-03-30,25,49,8.67,4.58
Italy,2021-03-30,50,59,11.27,5.44
Italy,2021-03-30,60,69,9.9,4.64
Italy,2021-03-30,70,79,13.66,2.06
Italy,2021-03-30,80,,62.15,34.36
Italy,2021-04-06,18,24,3.87,2.2
Italy,2021-04-06,25,49,9.36,4.78
Italy,2021-04-06,50,59,12.4,5.73
Italy,2021-04-06,60,69,12.17,5.05
Italy,2021-04-06,70,79,22.63,2.76
Italy,2021-04-06,80,,73.52,41.87
Italy,2021-04-13,18,24,4.24,2.34
Italy,2021-04-13,25,49,9.95,5.0
Italy,2021-04-13,50,59,13.53,6.11
Italy,2021-04-13,60,69,16.36,5.7
Italy,2021-04-13,70,79,36.46,4.15
Italy,2021-04-13,80,,79.67,49.23
Italy,2021-04-20,18,24,4.64,2.52
Italy,2021-04-20,25,49,10.59,5.28
Italy,2021-04-20,50,59,14.75,6.63
Italy,2021-04-20,60,69,22.64,6.76
Italy,2021-04-20,70,79,50.37,6.67
Italy,2021-04-20,80,,83.98,58.25
Italy,2021-04-27,18,24,5.38,2.79
Italy,2021-04-27,25,49,11.54,5.74
Italy,2021-04-27,50,59,17.0,7.47
Italy,2021-04-27,60,69,32.66,8.63
Italy,2021-04-27,70,79,62.84,10.84
Italy,2021-04-27,80,,86.37,68.81
Italy,2021-05-04,18,24,6.27,3.22
Italy,2021-05-04,25,49,12.73,6.6
Italy,2021-05-04,50,59,21.06,8.91
Italy,2021-05-04,60,69,45.66,11.48
Italy,2021-05-04,70,79,71.72,16.36
Italy,2021-05-04,80,,87.96,75.4
Italy,2021-05-11,18,24,7.5,3.66
Italy,2021-05-11,25,49,14.31,7.67
Italy,2021-05-11,50,59,27.84,10.84
Italy,2021-05-11,60,69,57.64,14.89
Italy,2021-05-11,70,79,76.71,22.99
Italy,2021-05-11,80,,89.22,79.43
Italy,2021-05-18,18,24,8.85,4.46
Italy,2021-05-18,25,49,16.68,9.25
Italy,2021-05-18,50,59,35.57,13.97
Italy,2021-05-18,60,69,65.33,21.19
Italy,2021-05-18,70,79,80.03,28.94
Italy,2021-05-18,80,,90.23,81.69
Italy,2021-05-25,18,24,10.52,5.55
Italy,2021-05-25,25,49,19.56,11.14
Italy,2021-05-25,50,59,44.17,18.4
Italy,2021-05-25,60,69,71.11,27.6
Italy,2021-05-25,70,79,82.22,34.17
Italy,2021-05-25,80,,91.06,83.31
Italy,2021-06-01,18,24,16.73,6.93
Italy,2021-06-01,25,49,25.33,12.54
Italy,2021-06-01,50,59,55.88,21.67
Italy,2021-06-01,60,69,75.04,31.12
Italy,2021-06-01,70,79,83.78,37.43
Italy,2021-06-01,80,,91.66,84.41
Italy,2021-06-08,18,24,19.27,7.36
Italy,2021-06-08,25,49,28.64,13.19
Italy,2021-06-08,50,59,60.65,22.72
Italy,2021-06-08,60,69,76.43,32.37
Italy,2021-06-08,70,79,84.39,39.0
Italy,2021-06-08,80,,91.92,84.81
