location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Jersey,2021-03-14,0,17,,
Jersey,2021-03-14,18,29,,
Jersey,2021-03-14,30,39,,
Jersey,2021-03-14,40,49,,
Jersey,2021-03-14,50,54,,
Jersey,2021-03-14,55,59,,
Jersey,2021-03-14,60,64,,
Jersey,2021-03-14,65,69,,
Jersey,2021-03-14,70,74,,
Jersey,2021-03-14,75,79,,
Jersey,2021-03-14,80,,,
Jersey,2021-03-21,0,17,,
Jersey,2021-03-21,18,29,,
Jersey,2021-03-21,30,39,,
Jersey,2021-03-21,40,49,,
Jersey,2021-03-21,50,54,,
Jersey,2021-03-21,55,59,,
Jersey,2021-03-21,60,64,,
Jersey,2021-03-21,65,69,,
Jersey,2021-03-21,70,74,,
Jersey,2021-03-21,75,79,,
Jersey,2021-03-21,80,,,
Jersey,2021-03-28,0,17,,
Jersey,2021-03-28,18,29,,
Jersey,2021-03-28,30,39,,
Jersey,2021-03-28,40,49,,
Jersey,2021-03-28,50,54,,
Jersey,2021-03-28,55,59,,
Jersey,2021-03-28,60,64,,
Jersey,2021-03-28,65,69,,
Jersey,2021-03-28,70,74,,
Jersey,2021-03-28,75,79,,
Jersey,2021-03-28,80,,,
Jersey,2021-04-04,0,17,,
Jersey,2021-04-04,18,29,,
Jersey,2021-04-04,30,39,,
Jersey,2021-04-04,40,49,,
Jersey,2021-04-04,50,54,82.0,16.0
Jersey,2021-04-04,55,59,91.0,33.0
Jersey,2021-04-04,60,64,95.0,37.0
Jersey,2021-04-04,65,69,90.0,67.0
Jersey,2021-04-04,70,74,96.0,60.0
Jersey,2021-04-04,75,79,97.0,72.0
Jersey,2021-04-04,80,,100.0,86.0
Jersey,2021-04-11,0,17,0.0,0.0
Jersey,2021-04-11,18,29,10.0,5.0
Jersey,2021-04-11,30,39,13.0,7.0
Jersey,2021-04-11,40,49,23.0,12.0
Jersey,2021-04-11,50,54,83.0,17.0
Jersey,2021-04-11,55,59,91.0,45.0
Jersey,2021-04-11,60,64,95.0,40.0
Jersey,2021-04-11,65,69,91.0,73.0
Jersey,2021-04-11,70,74,96.0,66.0
Jersey,2021-04-11,75,79,97.0,81.0
Jersey,2021-04-11,80,,100.0,90.0
Jersey,2021-04-18,0,17,0.0,0.0
Jersey,2021-04-18,18,29,10.0,6.0
Jersey,2021-04-18,30,39,14.0,8.0
Jersey,2021-04-18,40,49,48.0,14.0
Jersey,2021-04-18,50,54,83.0,19.0
Jersey,2021-04-18,55,59,92.0,47.0
Jersey,2021-04-18,60,64,95.0,43.0
Jersey,2021-04-18,65,69,91.0,77.0
Jersey,2021-04-18,70,74,96.0,75.0
Jersey,2021-04-18,75,79,98.0,87.0
Jersey,2021-04-18,80,,100.0,95.0
Jersey,2021-04-25,0,17,0.0,0.0
Jersey,2021-04-25,18,29,10.0,6.0
Jersey,2021-04-25,30,39,14.0,9.0
Jersey,2021-04-25,40,49,65.0,15.0
Jersey,2021-04-25,50,54,85.0,23.0
Jersey,2021-04-25,55,59,93.0,53.0
Jersey,2021-04-25,60,64,96.0,50.0
Jersey,2021-04-25,65,69,91.0,80.0
Jersey,2021-04-25,70,74,96.0,84.0
Jersey,2021-04-25,75,79,98.0,91.0
Jersey,2021-04-25,80,,100.0,98.0
Jersey,2021-05-02,0,17,0.0,0.0
Jersey,2021-05-02,18,29,10.0,1.0
Jersey,2021-05-02,30,39,14.0,11.0
Jersey,2021-05-02,40,49,67.0,18.0
Jersey,2021-05-02,50,54,85.0,30.0
Jersey,2021-05-02,55,59,93.0,63.0
Jersey,2021-05-02,60,64,96.0,83.0
Jersey,2021-05-02,65,69,92.0,85.0
Jersey,2021-05-02,70,74,96.0,91.0
Jersey,2021-05-02,75,79,99.0,95.0
Jersey,2021-05-02,80,,100.0,99.0
Jersey,2021-05-12,0,17,1.0,1.0
Jersey,2021-05-12,18,29,10.0,8.0
Jersey,2021-05-12,30,39,26.0,12.0
Jersey,2021-05-12,40,49,71.0,19.0
Jersey,2021-05-12,50,54,87.0,47.0
Jersey,2021-05-12,55,59,94.0,76.0
Jersey,2021-05-12,60,64,97.0,87.0
Jersey,2021-05-12,65,69,92.0,87.0
Jersey,2021-05-12,70,74,97.0,93.0
Jersey,2021-05-12,75,79,99.0,96.0
Jersey,2021-05-12,80,,100.0,100.0
Jersey,2021-05-16,0,17,1.0,1.0
Jersey,2021-05-16,18,29,10.0,8.0
Jersey,2021-05-16,30,39,33.0,12.0
Jersey,2021-05-16,40,49,73.0,19.0
Jersey,2021-05-16,50,54,87.0,58.0
Jersey,2021-05-16,55,59,94.0,80.0
Jersey,2021-05-16,60,64,97.0,88.0
Jersey,2021-05-16,65,69,92.0,88.0
Jersey,2021-05-16,70,74,97.0,93.0
Jersey,2021-05-16,75,79,99.0,96.0
Jersey,2021-05-16,80,,100.0,100.0
Jersey,2021-05-19,0,17,1.0,1.0
Jersey,2021-05-19,18,29,10.0,8.0
Jersey,2021-05-19,30,39,46.0,12.0
Jersey,2021-05-19,40,49,74.0,19.0
Jersey,2021-05-19,50,54,87.0,58.0
Jersey,2021-05-19,55,59,95.0,80.0
Jersey,2021-05-19,60,64,97.0,89.0
Jersey,2021-05-19,65,69,92.0,88.0
Jersey,2021-05-19,70,74,97.0,94.0
Jersey,2021-05-19,75,79,99.0,96.0
Jersey,2021-05-19,80,,100.0,100.0
Jersey,2021-05-23,0,17,0.0,0.0
Jersey,2021-05-23,18,29,11.0,9.0
Jersey,2021-05-23,30,39,46.0,13.0
Jersey,2021-05-23,40,49,74.0,24.0
Jersey,2021-05-23,50,54,87.0,74.0
Jersey,2021-05-23,55,59,95.0,87.0
Jersey,2021-05-23,60,64,97.0,92.0
Jersey,2021-05-23,65,69,92.0,89.0
Jersey,2021-05-23,70,74,97.0,95.0
Jersey,2021-05-23,75,79,99.0,97.0
Jersey,2021-05-23,80,,100.0,100.0
Jersey,2021-05-26,0,17,0.0,0.0
Jersey,2021-05-26,18,29,11.0,9.0
Jersey,2021-05-26,30,39,50.0,13.0
Jersey,2021-05-26,40,49,75.0,34.0
Jersey,2021-05-26,50,54,88.0,76.0
Jersey,2021-05-26,55,59,95.0,88.0
Jersey,2021-05-26,60,64,97.0,93.0
Jersey,2021-05-26,65,69,92.0,90.0
Jersey,2021-05-26,70,74,97.0,95.0
Jersey,2021-05-26,75,79,99.0,97.0
Jersey,2021-05-26,80,,100.0,100.0
Jersey,2021-05-30,0,17,0.0,0.0
Jersey,2021-05-30,18,29,11.0,9.0
Jersey,2021-05-30,30,39,54.0,13.0
Jersey,2021-05-30,40,49,76.0,42.0
Jersey,2021-05-30,50,54,88.0,80.0
Jersey,2021-05-30,55,59,95.0,90.0
Jersey,2021-05-30,60,64,97.0,94.0
Jersey,2021-05-30,65,69,92.0,91.0
Jersey,2021-05-30,70,74,97.0,95.0
Jersey,2021-05-30,75,79,99.0,97.0
Jersey,2021-05-30,80,,100.0,100.0
Jersey,2021-06-02,0,17,0.0,0.0
Jersey,2021-06-02,18,29,11.0,9.0
Jersey,2021-06-02,30,39,55.0,13.0
Jersey,2021-06-02,40,49,77.0,54.0
Jersey,2021-06-02,50,54,88.0,82.0
Jersey,2021-06-02,55,59,95.0,91.0
Jersey,2021-06-02,60,64,97.0,94.0
Jersey,2021-06-02,65,69,93.0,91.0
Jersey,2021-06-02,70,74,97.0,95.0
Jersey,2021-06-02,75,79,99.0,97.0
Jersey,2021-06-02,80,,100.0,100.0
Jersey,2021-06-06,0,17,0.0,0.0
Jersey,2021-06-06,18,29,17.0,9.0
Jersey,2021-06-06,30,39,60.0,13.0
Jersey,2021-06-06,40,49,78.0,54.0
Jersey,2021-06-06,50,54,89.0,82.0
Jersey,2021-06-06,55,59,96.0,91.0
Jersey,2021-06-06,60,64,98.0,95.0
Jersey,2021-06-06,65,69,93.0,91.0
Jersey,2021-06-06,70,74,97.0,96.0
Jersey,2021-06-06,75,79,99.0,98.0
Jersey,2021-06-06,80,,100.0,100.0
Jersey,2021-06-09,0,17,1.0,1.0
Jersey,2021-06-09,18,29,23.0,9.0
Jersey,2021-06-09,30,39,61.0,13.0
Jersey,2021-06-09,40,49,79.0,55.0
Jersey,2021-06-09,50,54,89.0,82.0
Jersey,2021-06-09,55,59,96.0,92.0
Jersey,2021-06-09,60,64,98.0,95.0
Jersey,2021-06-09,65,69,93.0,91.0
Jersey,2021-06-09,70,74,98.0,96.0
Jersey,2021-06-09,75,79,100.0,98.0
Jersey,2021-06-09,80,,100.0,100.0
Jersey,2021-06-13,0,17,1.0,1.0
Jersey,2021-06-13,18,29,25.0,9.0
Jersey,2021-06-13,30,39,62.0,14.0
Jersey,2021-06-13,40,49,79.0,62.0
Jersey,2021-06-13,50,54,89.0,84.0
Jersey,2021-06-13,55,59,96.0,92.0
Jersey,2021-06-13,60,64,98.0,95.0
Jersey,2021-06-13,65,69,93.0,91.0
Jersey,2021-06-13,70,74,98.0,96.0
Jersey,2021-06-13,75,79,100.0,98.0
Jersey,2021-06-13,80,,100.0,100.0
Jersey,2021-06-16,0,17,1.0,1.0
Jersey,2021-06-16,18,29,33.0,9.0
Jersey,2021-06-16,30,39,63.0,14.0
Jersey,2021-06-16,40,49,79.0,62.0
Jersey,2021-06-16,50,54,89.0,84.0
Jersey,2021-06-16,55,59,96.0,92.0
Jersey,2021-06-16,60,64,98.0,95.0
Jersey,2021-06-16,65,69,93.0,91.0
Jersey,2021-06-16,70,74,98.0,96.0
