location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Latvia,2021-01-08,18,24,0.31,0.0
Latvia,2021-01-08,25,49,0.54,0.0
Latvia,2021-01-08,50,59,0.66,0.0
Latvia,2021-01-08,60,69,0.49,0.0
Latvia,2021-01-08,70,79,0.11,0.0
Latvia,2021-01-08,80,,0.02,0.0
Latvia,2021-01-15,18,24,0.69,0.0
Latvia,2021-01-15,25,49,1.16,0.0
Latvia,2021-01-15,50,59,1.54,0.0
Latvia,2021-01-15,60,69,1.23,0.0
Latvia,2021-01-15,70,79,0.35,0.0
Latvia,2021-01-15,80,,0.08,0.0
Latvia,2021-01-22,18,24,0.74,0.1
Latvia,2021-01-22,25,49,1.23,0.19
Latvia,2021-01-22,50,59,1.63,0.18
Latvia,2021-01-22,60,69,1.29,0.11
Latvia,2021-01-22,70,79,0.38,0.03
Latvia,2021-01-22,80,,0.08,0.0
Latvia,2021-01-29,18,24,0.76,0.29
Latvia,2021-01-29,25,49,1.25,0.52
Latvia,2021-01-29,50,59,1.65,0.64
Latvia,2021-01-29,60,69,1.31,0.47
Latvia,2021-01-29,70,79,0.38,0.11
Latvia,2021-01-29,80,,0.08,0.02
Latvia,2021-02-05,18,24,0.77,0.62
Latvia,2021-02-05,25,49,1.29,1.04
Latvia,2021-02-05,50,59,1.73,1.42
Latvia,2021-02-05,60,69,1.38,1.13
Latvia,2021-02-05,70,79,0.4,0.31
Latvia,2021-02-05,80,,0.09,0.06
Latvia,2021-02-12,18,24,0.98,0.7
Latvia,2021-02-12,25,49,1.49,1.19
Latvia,2021-02-12,50,59,2.0,1.57
Latvia,2021-02-12,60,69,1.65,1.26
Latvia,2021-02-12,70,79,0.54,0.36
Latvia,2021-02-12,80,,0.26,0.08
Latvia,2021-02-19,18,24,1.16,0.73
Latvia,2021-02-19,25,49,1.82,1.23
Latvia,2021-02-19,50,59,2.59,1.62
Latvia,2021-02-19,60,69,2.27,1.29
Latvia,2021-02-19,70,79,1.45,0.38
Latvia,2021-02-19,80,,1.42,0.08
Latvia,2021-02-26,18,24,1.49,0.74
Latvia,2021-02-26,25,49,2.09,1.24
Latvia,2021-02-26,50,59,3.01,1.64
Latvia,2021-02-26,60,69,2.87,1.31
Latvia,2021-02-26,70,79,6.06,0.38
Latvia,2021-02-26,80,,5.08,0.08
Latvia,2021-03-05,18,24,1.63,0.78
Latvia,2021-03-05,25,49,2.26,1.3
Latvia,2021-03-05,50,59,3.34,1.74
Latvia,2021-03-05,60,69,3.47,1.41
Latvia,2021-03-05,70,79,11.76,0.41
Latvia,2021-03-05,80,,10.0,0.09
Latvia,2021-03-12,18,24,1.74,0.78
Latvia,2021-03-12,25,49,2.38,1.31
Latvia,2021-03-12,50,59,3.59,1.75
Latvia,2021-03-12,60,69,4.11,1.42
Latvia,2021-03-12,70,79,16.26,0.42
Latvia,2021-03-12,80,,13.81,0.09
Latvia,2021-03-19,18,24,1.76,0.82
Latvia,2021-03-19,25,49,2.42,1.36
Latvia,2021-03-19,50,59,3.65,1.81
Latvia,2021-03-19,60,69,4.31,1.46
Latvia,2021-03-19,70,79,17.73,0.52
Latvia,2021-03-19,80,,14.94,0.16
Latvia,2021-03-26,18,24,1.89,0.9
Latvia,2021-03-26,25,49,2.68,1.43
Latvia,2021-03-26,50,59,4.37,1.92
Latvia,2021-03-26,60,69,6.23,1.56
Latvia,2021-03-26,70,79,22.76,1.25
Latvia,2021-03-26,80,,18.85,0.73
Latvia,2021-04-02,18,24,2.13,0.96
Latvia,2021-04-02,25,49,3.17,1.5
Latvia,2021-04-02,50,59,5.56,2.03
Latvia,2021-04-02,60,69,8.67,1.71
Latvia,2021-04-02,70,79,25.56,2.04
Latvia,2021-04-02,80,,20.91,1.34
Latvia,2021-04-09,18,24,2.65,0.99
Latvia,2021-04-09,25,49,3.98,1.53
Latvia,2021-04-09,50,59,7.17,2.08
Latvia,2021-04-09,60,69,13.84,1.77
Latvia,2021-04-09,70,79,28.29,2.42
Latvia,2021-04-09,80,,23.14,1.66
Latvia,2021-04-16,18,24,4.15,1.05
Latvia,2021-04-16,25,49,5.85,1.62
Latvia,2021-04-16,50,59,9.53,2.21
Latvia,2021-04-16,60,69,17.45,1.91
Latvia,2021-04-16,70,79,29.88,2.61
Latvia,2021-04-16,80,,24.42,1.84
Latvia,2021-04-23,18,24,4.99,1.2
Latvia,2021-04-23,25,49,7.92,1.91
Latvia,2021-04-23,50,59,12.52,2.78
Latvia,2021-04-23,60,69,22.0,2.91
Latvia,2021-04-23,70,79,32.07,4.45
Latvia,2021-04-23,80,,26.01,3.3
Latvia,2021-04-30,18,24,6.44,1.53
Latvia,2021-04-30,25,49,10.8,2.25
Latvia,2021-04-30,50,59,15.99,3.4
Latvia,2021-04-30,60,69,26.21,3.91
Latvia,2021-04-30,70,79,34.43,7.9
Latvia,2021-04-30,80,,27.65,6.11
Latvia,2021-05-07,18,24,10.78,1.95
Latvia,2021-05-07,25,49,15.64,3.11
Latvia,2021-05-07,50,59,19.6,4.92
Latvia,2021-05-07,60,69,29.05,6.49
Latvia,2021-05-07,70,79,36.08,12.12
Latvia,2021-05-07,80,,28.83,9.73
Latvia,2021-05-14,18,24,16.18,2.79
Latvia,2021-05-14,25,49,21.65,4.85
Latvia,2021-05-14,50,59,24.59,7.39
Latvia,2021-05-14,60,69,32.25,10.1
Latvia,2021-05-14,70,79,38.23,17.36
Latvia,2021-05-14,80,,30.36,13.97
Latvia,2021-05-21,18,24,20.0,4.5
Latvia,2021-05-21,25,49,25.58,8.13
Latvia,2021-05-21,50,59,28.01,11.5
Latvia,2021-05-21,60,69,34.87,15.54
Latvia,2021-05-21,70,79,39.95,23.02
Latvia,2021-05-21,80,,31.28,18.18
Latvia,2021-05-28,18,24,24.34,9.16
Latvia,2021-05-28,25,49,28.85,13.51
Latvia,2021-05-28,50,59,30.85,16.2
Latvia,2021-05-28,60,69,37.04,20.48
Latvia,2021-05-28,70,79,41.48,28.47
Latvia,2021-05-28,80,,32.06,22.16
Latvia,2021-06-04,18,24,28.13,15.38
Latvia,2021-06-04,25,49,31.12,20.15
Latvia,2021-06-04,50,59,32.85,21.96
Latvia,2021-06-04,60,69,38.71,25.07
Latvia,2021-06-04,70,79,42.73,32.96
Latvia,2021-06-04,80,,32.72,25.35
Latvia,2021-06-11,18,24,31.58,19.6
Latvia,2021-06-11,25,49,33.31,24.58
Latvia,2021-06-11,50,59,34.83,26.33
Latvia,2021-06-11,60,69,40.38,30.01
Latvia,2021-06-11,70,79,43.97,36.8
Latvia,2021-06-11,80,,33.31,28.06
Latvia,2021-06-18,18,24,34.17,24.23
Latvia,2021-06-18,25,49,35.14,28.51
Latvia,2021-06-18,50,59,36.59,30.22
Latvia,2021-06-18,60,69,41.85,34.25
Latvia,2021-06-18,70,79,45.08,39.89
Latvia,2021-06-18,80,,33.79,30.14
Latvia,2021-06-25,18,24,34.99,26.39
Latvia,2021-06-25,25,49,35.75,30.1
Latvia,2021-06-25,50,59,37.14,31.81
Latvia,2021-06-25,60,69,42.34,36.09
Latvia,2021-06-25,70,79,45.43,41.03
Latvia,2021-06-25,80,,33.9,30.91
Latvia,2021-07-02,18,24,37.26,31.76
Latvia,2021-07-02,25,49,37.38,33.89
Latvia,2021-07-02,50,59,38.87,35.44
Latvia,2021-07-02,60,69,43.88,40.31
Latvia,2021-07-02,70,79,46.49,43.42
Latvia,2021-07-02,80,,34.32,32.38
