location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Lithuania,2021-01-01,18,24,0.04,0.0
Lithuania,2021-01-01,25,49,0.14,0.0
Lithuania,2021-01-01,50,59,0.17,0.0
Lithuania,2021-01-01,60,69,0.1,0.0
Lithuania,2021-01-01,70,79,0.01,0.0
Lithuania,2021-01-08,18,24,0.35,0.0
Lithuania,2021-01-08,25,49,1.06,0.0
Lithuania,2021-01-08,50,59,1.77,0.0
Lithuania,2021-01-08,60,69,1.38,0.0
Lithuania,2021-01-08,70,79,0.25,0.0
Lithuania,2021-01-08,80,,0.11,0.0
Lithuania,2021-01-15,18,24,0.71,0.03
Lithuania,2021-01-15,25,49,2.02,0.08
Lithuania,2021-01-15,50,59,3.52,0.06
Lithuania,2021-01-15,60,69,2.95,0.03
Lithuania,2021-01-15,70,79,1.05,0.0
Lithuania,2021-01-15,80,,1.52,0.0
Lithuania,2021-01-22,18,24,0.8,0.14
Lithuania,2021-01-22,25,49,2.28,0.46
Lithuania,2021-01-22,50,59,3.94,0.68
Lithuania,2021-01-22,60,69,3.39,0.44
Lithuania,2021-01-22,70,79,1.3,0.06
Lithuania,2021-01-22,80,,2.37,0.0
Lithuania,2021-01-29,18,24,1.16,0.3
Lithuania,2021-01-29,25,49,2.93,0.98
Lithuania,2021-01-29,50,59,4.67,1.61
Lithuania,2021-01-29,60,69,3.95,1.23
Lithuania,2021-01-29,70,79,1.46,0.23
Lithuania,2021-01-29,80,,2.79,0.07
Lithuania,2021-02-05,18,24,1.27,0.6
Lithuania,2021-02-05,25,49,3.22,1.84
Lithuania,2021-02-05,50,59,5.11,3.18
Lithuania,2021-02-05,60,69,4.35,2.67
Lithuania,2021-02-05,70,79,1.57,0.95
Lithuania,2021-02-05,80,,3.12,1.3
Lithuania,2021-02-12,18,24,1.55,0.71
Lithuania,2021-02-12,25,49,4.03,2.11
Lithuania,2021-02-12,50,59,6.6,3.63
Lithuania,2021-02-12,60,69,5.54,3.11
Lithuania,2021-02-12,70,79,1.82,1.19
Lithuania,2021-02-12,80,,3.49,2.09
Lithuania,2021-02-19,18,24,1.7,1.05
Lithuania,2021-02-19,25,49,4.49,2.73
Lithuania,2021-02-19,50,59,7.57,4.35
Lithuania,2021-02-19,60,69,6.45,3.69
Lithuania,2021-02-19,70,79,2.84,1.38
Lithuania,2021-02-19,80,,8.79,2.52
Lithuania,2021-02-26,18,24,1.77,1.15
Lithuania,2021-02-26,25,49,4.67,2.96
Lithuania,2021-02-26,50,59,8.0,4.71
Lithuania,2021-02-26,60,69,7.55,4.02
Lithuania,2021-02-26,70,79,7.91,1.46
Lithuania,2021-02-26,80,,22.83,2.79
Lithuania,2021-03-05,18,24,1.86,1.31
Lithuania,2021-03-05,25,49,4.82,3.29
Lithuania,2021-03-05,50,59,8.3,5.7
Lithuania,2021-03-05,60,69,8.89,5.16
Lithuania,2021-03-05,70,79,17.73,1.68
Lithuania,2021-03-05,80,,31.57,3.15
Lithuania,2021-03-12,18,24,1.94,1.39
Lithuania,2021-03-12,25,49,4.94,3.42
Lithuania,2021-03-12,50,59,8.52,6.23
Lithuania,2021-03-12,60,69,11.66,5.84
Lithuania,2021-03-12,70,79,28.47,2.39
Lithuania,2021-03-12,80,,35.04,6.52
Lithuania,2021-03-19,18,24,1.96,1.42
Lithuania,2021-03-19,25,49,4.99,3.49
Lithuania,2021-03-19,50,59,8.64,6.39
Lithuania,2021-03-19,60,69,13.1,6.16
Lithuania,2021-03-19,70,79,31.55,3.45
Lithuania,2021-03-19,80,,35.73,11.07
Lithuania,2021-03-26,18,24,2.34,1.49
Lithuania,2021-03-26,25,49,5.58,3.62
Lithuania,2021-03-26,50,59,9.72,6.64
Lithuania,2021-03-26,60,69,17.94,6.74
Lithuania,2021-03-26,70,79,38.66,8.26
Lithuania,2021-03-26,80,,38.28,17.26
Lithuania,2021-04-02,18,24,4.25,1.56
Lithuania,2021-04-02,25,49,6.97,3.71
Lithuania,2021-04-02,50,59,11.72,6.8
Lithuania,2021-04-02,60,69,23.27,7.75
