location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Malta,2021-01-01,18,24,0.01,0.0
Malta,2021-01-01,25,49,0.02,0.0
Malta,2021-01-01,50,59,0.03,0.0
Malta,2021-01-01,60,69,0.0,0.0
Malta,2021-01-01,70,79,0.0,0.0
Malta,2021-01-08,18,24,0.65,0.0
Malta,2021-01-08,25,49,1.2,0.0
Malta,2021-01-08,50,59,1.83,0.0
Malta,2021-01-08,60,69,0.62,0.0
Malta,2021-01-08,70,79,0.34,0.0
Malta,2021-01-08,80,,2.16,0.0
Malta,2021-01-15,18,24,1.31,0.01
Malta,2021-01-15,25,49,2.14,0.02
Malta,2021-01-15,50,59,3.1,0.02
Malta,2021-01-15,60,69,1.11,0.01
Malta,2021-01-15,70,79,0.84,0.0
Malta,2021-01-15,80,,17.23,0.0
Malta,2021-01-22,18,24,2.06,0.14
Malta,2021-01-22,25,49,3.35,0.29
Malta,2021-01-22,50,59,4.68,0.4
Malta,2021-01-22,60,69,1.71,0.13
Malta,2021-01-22,70,79,1.58,0.05
Malta,2021-01-22,80,,30.19,0.38
Malta,2021-01-29,18,24,2.57,0.46
Malta,2021-01-29,25,49,4.39,0.85
Malta,2021-01-29,50,59,6.24,1.38
Malta,2021-01-29,60,69,2.3,0.52
Malta,2021-01-29,70,79,2.23,0.3
Malta,2021-01-29,80,,36.3,1.91
Malta,2021-02-05,18,24,3.06,1.02
Malta,2021-02-05,25,49,5.29,1.67
Malta,2021-02-05,50,59,7.55,2.53
Malta,2021-02-05,60,69,3.01,0.98
Malta,2021-02-05,70,79,2.87,0.73
Malta,2021-02-05,80,,53.7,14.56
Malta,2021-02-12,18,24,3.82,1.64
Malta,2021-02-12,25,49,6.11,2.65
Malta,2021-02-12,50,59,8.47,3.85
Malta,2021-02-12,60,69,3.58,1.51
Malta,2021-02-12,70,79,3.3,1.45
Malta,2021-02-12,80,,68.52,27.37
Malta,2021-02-19,18,24,4.97,2.04
Malta,2021-02-19,25,49,7.29,3.46
Malta,2021-02-19,50,59,10.33,5.21
Malta,2021-02-19,60,69,5.31,2.02
Malta,2021-02-19,70,79,5.48,2.01
Malta,2021-02-19,80,,77.33,33.25
Malta,2021-02-26,18,24,7.63,2.48
Malta,2021-02-26,25,49,10.22,4.29
Malta,2021-02-26,50,59,13.34,6.36
Malta,2021-02-26,60,69,8.52,2.65
Malta,2021-02-26,70,79,9.24,2.58
Malta,2021-02-26,80,,82.04,46.34
Malta,2021-03-05,18,24,8.9,2.72
Malta,2021-03-05,25,49,12.25,4.7
Malta,2021-03-05,50,59,15.33,6.79
Malta,2021-03-05,60,69,11.3,2.95
Malta,2021-03-05,70,79,11.17,2.97
Malta,2021-03-05,80,,84.38,57.26
Malta,2021-03-12,18,24,9.89,3.08
Malta,2021-03-12,25,49,13.7,5.17
Malta,2021-03-12,50,59,16.88,7.62
Malta,2021-03-12,60,69,13.92,4.18
Malta,2021-03-12,70,79,19.96,4.75
Malta,2021-03-12,80,,88.12,65.35
Malta,2021-03-19,18,24,11.24,3.55
Malta,2021-03-19,25,49,15.03,5.67
Malta,2021-03-19,50,59,18.08,8.93
Malta,2021-03-19,60,69,20.96,6.69
Malta,2021-03-19,70,79,29.66,8.09
Malta,2021-03-19,80,,93.64,68.76
Malta,2021-03-26,18,24,12.54,3.73
Malta,2021-03-26,25,49,16.0,6.02
Malta,2021-03-26,50,59,20.27,10.93
Malta,2021-03-26,60,69,30.66,10.24
Malta,2021-03-26,70,79,46.15,12.19
Malta,2021-03-26,80,,95.33,69.39
Malta,2021-04-02,18,24,12.99,4.16
Malta,2021-04-02,25,49,16.6,6.83
Malta,2021-04-02,50,59,21.17,11.61
Malta,2021-04-02,60,69,45.76,11.22
Malta,2021-04-02,70,79,70.65,19.93
Malta,2021-04-02,80,,96.04,76.15
Malta,2021-04-09,18,24,13.76,4.53
Malta,2021-04-09,25,49,17.62,7.33
Malta,2021-04-09,50,59,28.72,12.32
