date,age_group_min,age_group_max,total_vaccinations,location
2021-05-25,90,,8297,New Zealand
2021-05-25,20,29.0,83481,New Zealand
2021-05-25,30,39.0,90635,New Zealand
2021-05-25,40,49.0,83792,New Zealand
2021-05-25,50,59.0,108584,New Zealand
2021-05-25,60,69.0,96496,New Zealand
2021-05-25,70,79.0,55855,New Zealand
2021-05-25,10,19.0,9286,New Zealand
2021-05-25,80,89.0,25666,New Zealand
2021-06-01,10,19,10667,New Zealand
2021-06-01,70,79,81422,New Zealand
2021-06-01,60,69,118758,New Zealand
2021-06-01,50,59,122776,New Zealand
2021-06-01,40,49,93563,New Zealand
2021-06-01,30,39,100269,New Zealand
2021-06-01,20,29,91499,New Zealand
2021-06-01,80,89,37507,New Zealand
2021-06-01,90,,11594,New Zealand
