location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Norway,2021-04-06,18,24,4.29,0.82
Norway,2021-04-06,25,49,6.82,1.76
Norway,2021-04-06,50,59,11.7,2.62
Norway,2021-04-06,60,69,14.38,2.37
Norway,2021-04-06,70,79,68.68,10.88
Norway,2021-04-06,80,,79.51,74.74
Norway,2021-04-13,18,24,4.81,0.84
Norway,2021-04-13,25,49,7.62,1.79
Norway,2021-04-13,50,59,14.32,2.69
Norway,2021-04-13,60,69,28.01,2.47
Norway,2021-04-13,70,79,85.76,11.23
Norway,2021-04-13,80,,80.13,75.07
Norway,2021-04-20,18,24,5.29,0.88
Norway,2021-04-20,25,49,8.44,1.89
Norway,2021-04-20,50,59,17.01,2.91
Norway,2021-04-20,60,69,43.61,2.74
Norway,2021-04-20,70,79,91.48,11.51
Norway,2021-04-20,80,,80.5,75.48
Norway,2021-04-27,18,24,5.97,0.97
Norway,2021-04-27,25,49,9.9,2.11
Norway,2021-04-27,50,59,22.82,3.31
Norway,2021-04-27,60,69,56.65,3.31
Norway,2021-04-27,70,79,93.58,18.67
Norway,2021-04-27,80,,80.84,82.77
Norway,2021-05-04,18,24,6.73,1.25
Norway,2021-05-04,25,49,11.6,2.69
Norway,2021-05-04,50,59,26.78,4.1
Norway,2021-05-04,60,69,62.84,4.58
Norway,2021-05-04,70,79,94.55,34.4
Norway,2021-05-04,80,,81.14,86.18
Norway,2021-05-11,18,24,7.51,1.52
Norway,2021-05-11,25,49,13.08,3.23
Norway,2021-05-11,50,59,30.27,4.98
Norway,2021-05-11,60,69,67.85,6.54
Norway,2021-05-11,70,79,95.16,46.99
Norway,2021-05-11,80,,81.35,87.23
Norway,2021-05-18,18,24,7.77,1.94
Norway,2021-05-18,25,49,13.55,4.03
Norway,2021-05-18,50,59,31.63,6.93
Norway,2021-05-18,60,69,69.0,11.67
Norway,2021-05-18,70,79,95.53,67.71
Norway,2021-05-18,80,,81.46,88.01
Norway,2021-05-25,18,24,8.07,2.42
Norway,2021-05-25,25,49,14.08,4.79
Norway,2021-05-25,50,59,32.88,9.36
Norway,2021-05-25,60,69,70.3,24.2
Norway,2021-05-25,70,79,95.86,85.07
Norway,2021-05-25,80,,81.56,88.62
