location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Portugal,2021-01-08,18,24,0.4,0.0
Portugal,2021-01-08,25,49,1.52,0.0
Portugal,2021-01-08,50,59,1.11,0.0
Portugal,2021-01-08,60,69,0.6,0.0
Portugal,2021-01-08,70,79,0.12,0.0
Portugal,2021-01-08,80,,0.6,0.0
Portugal,2021-01-15,18,24,0.58,0.01
Portugal,2021-01-15,25,49,2.01,0.02
Portugal,2021-01-15,50,59,1.67,0.01
Portugal,2021-01-15,60,69,0.99,0.01
Portugal,2021-01-15,70,79,0.49,0.0
Portugal,2021-01-15,80,,2.74,0.0
Portugal,2021-01-22,18,24,1.08,0.16
Portugal,2021-01-22,25,49,3.12,0.67
Portugal,2021-01-22,50,59,3.01,0.44
Portugal,2021-01-22,60,69,1.89,0.23
Portugal,2021-01-22,70,79,1.48,0.01
Portugal,2021-01-22,80,,8.5,0.04
Portugal,2021-01-29,18,24,1.26,0.36
Portugal,2021-01-29,25,49,3.59,1.43
Portugal,2021-01-29,50,59,3.54,1.05
Portugal,2021-01-29,60,69,2.3,0.58
Portugal,2021-01-29,70,79,1.92,0.11
Portugal,2021-01-29,80,,9.59,0.54
Portugal,2021-02-05,18,24,1.38,0.48
Portugal,2021-02-05,25,49,3.89,1.8
Portugal,2021-02-05,50,59,3.81,1.49
Portugal,2021-02-05,60,69,2.49,0.89
Portugal,2021-02-05,70,79,2.08,0.38
Portugal,2021-02-05,80,,10.26,2.11
Portugal,2021-02-12,18,24,1.57,0.88
Portugal,2021-02-12,25,49,4.3,2.72
Portugal,2021-02-12,50,59,4.15,2.57
Portugal,2021-02-12,60,69,2.69,1.63
Portugal,2021-02-12,70,79,2.37,1.19
Portugal,2021-02-12,80,,12.45,6.77
Portugal,2021-02-19,18,24,1.87,1.1
Portugal,2021-02-19,25,49,4.96,3.28
Portugal,2021-02-19,50,59,5.02,3.19
Portugal,2021-02-19,60,69,3.78,2.1
Portugal,2021-02-19,70,79,2.66,1.67
Portugal,2021-02-19,80,,19.65,8.14
Portugal,2021-02-26,18,24,2.03,1.19
Portugal,2021-02-26,25,49,5.29,3.5
Portugal,2021-02-26,50,59,6.89,3.44
Portugal,2021-02-26,60,69,5.94,2.27
Portugal,2021-02-26,70,79,3.22,1.83
Portugal,2021-02-26,80,,34.81,8.91
Portugal,2021-03-05,18,24,2.15,1.32
Portugal,2021-03-05,25,49,5.51,3.79
Portugal,2021-03-05,50,59,8.08,3.73
Portugal,2021-03-05,60,69,7.29,2.47
Portugal,2021-03-05,70,79,4.01,2.1
Portugal,2021-03-05,80,,47.71,10.79
Portugal,2021-03-12,18,24,2.31,1.4
Portugal,2021-03-12,25,49,5.98,3.97
Portugal,2021-03-12,50,59,8.99,3.94
Portugal,2021-03-12,60,69,8.23,2.62
Portugal,2021-03-12,70,79,5.18,2.37
Portugal,2021-03-12,80,,53.64,16.3
Portugal,2021-03-19,18,24,2.34,1.45
Portugal,2021-03-19,25,49,6.1,4.05
Portugal,2021-03-19,50,59,9.17,4.04
Portugal,2021-03-19,60,69,8.52,2.81
Portugal,2021-03-19,70,79,6.77,2.87
Portugal,2021-03-19,80,,61.68,30.7
Portugal,2021-03-26,18,24,2.75,1.46
Portugal,2021-03-26,25,49,7.34,4.09
Portugal,2021-03-26,50,59,10.79,4.08
Portugal,2021-03-26,60,69,9.98,2.91
Portugal,2021-03-26,70,79,11.21,2.97
Portugal,2021-03-26,80,,80.1,33.19
Portugal,2021-04-02,18,24,2.83,1.47
Portugal,2021-04-02,25,49,7.47,4.11
Portugal,2021-04-02,50,59,11.1,4.11
Portugal,2021-04-02,60,69,11.59,3.05
Portugal,2021-04-02,70,79,18.33,3.56
Portugal,2021-04-02,80,,85.53,44.34
Portugal,2021-04-09,18,24,2.92,1.49
Portugal,2021-04-09,25,49,7.72,4.14
Portugal,2021-04-09,50,59,11.7,4.15
Portugal,2021-04-09,60,69,14.87,3.16
Portugal,2021-04-09,70,79,35.07,3.95
Portugal,2021-04-09,80,,90.03,51.1
Portugal,2021-04-16,18,24,3.47,1.49
Portugal,2021-04-16,25,49,10.36,4.15
Portugal,2021-04-16,50,59,15.89,4.16
Portugal,2021-04-16,60,69,20.52,3.22
Portugal,2021-04-16,70,79,53.92,4.23
Portugal,2021-04-16,80,,91.58,58.41
Portugal,2021-04-23,18,24,3.63,1.5
Portugal,2021-04-23,25,49,10.67,4.17
Portugal,2021-04-23,50,59,16.32,4.24
Portugal,2021-04-23,60,69,24.83,3.4
Portugal,2021-04-23,70,79,66.85,5.39
Portugal,2021-04-23,80,,92.82,76.62
Portugal,2021-04-30,18,24,3.97,1.51
Portugal,2021-04-30,25,49,10.97,4.19
Portugal,2021-04-30,50,59,16.96,4.35
Portugal,2021-04-30,60,69,37.29,4.19
Portugal,2021-04-30,70,79,82.63,9.16
Portugal,2021-04-30,80,,93.73,82.5
Portugal,2021-05-07,18,24,4.19,1.6
Portugal,2021-05-07,25,49,11.25,4.41
Portugal,2021-05-07,50,59,17.95,4.75
Portugal,2021-05-07,60,69,58.69,7.01
Portugal,2021-05-07,70,79,89.96,22.93
Portugal,2021-05-07,80,,94.51,87.2
Portugal,2021-05-14,18,24,4.46,2.29
Portugal,2021-05-14,25,49,11.96,7.37
Portugal,2021-05-14,50,59,20.92,9.56
Portugal,2021-05-14,60,69,73.76,11.57
Portugal,2021-05-14,70,79,93.47,28.85
Portugal,2021-05-14,80,,95.09,88.67
Portugal,2021-05-21,18,24,4.71,2.6
Portugal,2021-05-21,25,49,12.89,8.0
Portugal,2021-05-21,50,59,30.66,12.48
