location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Romania,2021-05-28,18,24,21.66,15.11
Romania,2021-05-28,25,49,24.52,20.24
Romania,2021-05-28,50,59,31.55,26.68
Romania,2021-05-28,60,69,34.43,30.46
Romania,2021-05-28,70,79,33.25,29.99
Romania,2021-05-28,80,,17.79,15.9
Romania,2021-06-04,18,24,22.43,17.15
Romania,2021-06-04,25,49,25.38,22.44
Romania,2021-06-04,50,59,32.48,29.18
Romania,2021-06-04,60,69,35.18,32.41
Romania,2021-06-04,70,79,33.86,31.47
Romania,2021-06-04,80,,18.12,16.67
Romania,2021-06-11,18,24,23.22,18.91
Romania,2021-06-11,25,49,26.11,23.92
Romania,2021-06-11,50,59,33.27,30.9
Romania,2021-06-11,60,69,35.82,33.8
Romania,2021-06-11,70,79,34.42,32.62
Romania,2021-06-11,80,,18.43,17.29
Romania,2021-06-18,18,24,23.76,20.13
Romania,2021-06-18,25,49,26.61,24.94
Romania,2021-06-18,50,59,33.79,32.05
Romania,2021-06-18,60,69,36.25,34.77
Romania,2021-06-18,70,79,34.79,33.43
Romania,2021-06-18,80,,18.66,17.74
Romania,2021-06-25,18,24,24.21,21.11
Romania,2021-06-25,25,49,27.03,25.72
Romania,2021-06-25,50,59,34.23,32.91
Romania,2021-06-25,60,69,36.61,35.49
Romania,2021-06-25,70,79,35.11,34.01
Romania,2021-06-25,80,,18.84,18.07
Romania,2021-07-02,18,24,24.67,21.84
Romania,2021-07-02,25,49,27.44,26.33
Romania,2021-07-02,50,59,34.64,33.53
Romania,2021-07-02,60,69,36.94,35.99
Romania,2021-07-02,70,79,35.38,34.44
Romania,2021-07-02,80,,19.02,18.31
Romania,2021-07-09,18,24,25.13,22.41
Romania,2021-07-09,25,49,27.86,26.82
Romania,2021-07-09,50,59,35.05,34.01
Romania,2021-07-09,60,69,37.25,36.37
Romania,2021-07-09,70,79,35.63,34.75
Romania,2021-07-09,80,,19.17,18.5
Romania,2021-07-16,18,24,25.58,22.89
Romania,2021-07-16,25,49,28.26,27.27
Romania,2021-07-16,50,59,35.42,34.44
Romania,2021-07-16,60,69,37.52,36.69
Romania,2021-07-16,70,79,35.85,35.02
Romania,2021-07-16,80,,19.3,18.66
Romania,2021-07-23,18,24,26.04,23.41
Romania,2021-07-23,25,49,28.74,27.78
Romania,2021-07-23,50,59,35.84,34.89
Romania,2021-07-23,60,69,37.81,37.01
Romania,2021-07-23,70,79,36.09,35.28
Romania,2021-07-23,80,,19.43,18.82
