location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Slovenia,2021-01-01,18,24,0.01,0.0
Slovenia,2021-01-01,25,49,0.07,0.0
Slovenia,2021-01-01,50,59,0.17,0.0
Slovenia,2021-01-01,60,69,0.2,0.0
Slovenia,2021-01-01,70,79,0.57,0.0
Slovenia,2021-01-01,80,,3.13,0.0
Slovenia,2021-01-08,18,24,0.44,0.0
Slovenia,2021-01-08,25,49,1.64,0.0
Slovenia,2021-01-08,50,59,2.32,0.0
Slovenia,2021-01-08,60,69,1.16,0.0
Slovenia,2021-01-08,70,79,1.26,0.0
Slovenia,2021-01-08,80,,4.76,0.0
Slovenia,2021-01-15,18,24,0.67,0.0
Slovenia,2021-01-15,25,49,2.07,0.01
Slovenia,2021-01-15,50,59,2.87,0.01
Slovenia,2021-01-15,60,69,1.48,0.01
Slovenia,2021-01-15,70,79,1.89,0.0
Slovenia,2021-01-15,80,,15.1,0.0
Slovenia,2021-01-22,18,24,0.75,0.07
Slovenia,2021-01-22,25,49,2.24,0.35
Slovenia,2021-01-22,50,59,3.1,0.62
Slovenia,2021-01-22,60,69,1.56,0.39
Slovenia,2021-01-22,70,79,2.04,0.69
Slovenia,2021-01-22,80,,16.86,3.41
Slovenia,2021-01-29,18,24,0.81,0.38
Slovenia,2021-01-29,25,49,2.32,1.49
Slovenia,2021-01-29,50,59,3.18,2.14
Slovenia,2021-01-29,60,69,1.6,1.06
Slovenia,2021-01-29,70,79,2.08,1.1
Slovenia,2021-01-29,80,,17.18,3.94
Slovenia,2021-02-05,18,24,0.84,0.6
Slovenia,2021-02-05,25,49,2.36,1.94
Slovenia,2021-02-05,50,59,3.22,2.72
Slovenia,2021-02-05,60,69,1.61,1.39
Slovenia,2021-02-05,70,79,2.11,1.68
Slovenia,2021-02-05,80,,17.82,13.77
Slovenia,2021-02-12,18,24,1.33,0.7
Slovenia,2021-02-12,25,49,2.63,2.13
Slovenia,2021-02-12,50,59,3.5,2.94
Slovenia,2021-02-12,60,69,1.75,1.47
Slovenia,2021-02-12,70,79,2.42,1.83
Slovenia,2021-02-12,80,,29.15,15.45
Slovenia,2021-02-19,18,24,1.73,0.76
Slovenia,2021-02-19,25,49,2.84,2.22
Slovenia,2021-02-19,50,59,3.86,3.05
Slovenia,2021-02-19,60,69,2.17,1.52
Slovenia,2021-02-19,70,79,4.44,1.88
Slovenia,2021-02-19,80,,42.3,16.1
Slovenia,2021-02-26,18,24,1.85,0.79
Slovenia,2021-02-26,25,49,3.06,2.27
Slovenia,2021-02-26,50,59,4.56,3.1
Slovenia,2021-02-26,60,69,3.28,1.54
Slovenia,2021-02-26,70,79,11.49,1.91
Slovenia,2021-02-26,80,,49.54,16.35
Slovenia,2021-03-05,18,24,2.06,0.86
Slovenia,2021-03-05,25,49,3.35,2.39
Slovenia,2021-03-05,50,59,5.66,3.23
Slovenia,2021-03-05,60,69,4.94,1.6
Slovenia,2021-03-05,70,79,16.84,2.11
Slovenia,2021-03-05,80,,51.86,25.06
Slovenia,2021-03-12,18,24,2.32,0.9
Slovenia,2021-03-12,25,49,4.58,2.46
Slovenia,2021-03-12,50,59,8.56,3.32
Slovenia,2021-03-12,60,69,8.18,1.67
Slovenia,2021-03-12,70,79,18.27,4.0
Slovenia,2021-03-12,80,,53.12,39.6
Slovenia,2021-03-19,18,24,2.36,0.91
Slovenia,2021-03-19,25,49,4.78,2.48
Slovenia,2021-03-19,50,59,8.96,3.36
Slovenia,2021-03-19,60,69,8.46,1.71
Slovenia,2021-03-19,70,79,21.51,10.45
Slovenia,2021-03-19,80,,54.53,46.65
Slovenia,2021-03-26,18,24,2.74,0.93
Slovenia,2021-03-26,25,49,5.98,2.51
Slovenia,2021-03-26,50,59,11.34,3.38
Slovenia,2021-03-26,60,69,10.97,1.8
Slovenia,2021-03-26,70,79,32.95,13.72
Slovenia,2021-03-26,80,,56.62,48.37
Slovenia,2021-04-02,18,24,2.89,0.94
Slovenia,2021-04-02,25,49,6.75,2.52
Slovenia,2021-04-02,50,59,12.63,3.4
Slovenia,2021-04-02,60,69,15.24,1.83
Slovenia,2021-04-02,70,79,50.28,16.3
Slovenia,2021-04-02,80,,57.89,49.8
Slovenia,2021-04-09,18,24,2.95,0.95
Slovenia,2021-04-09,25,49,6.85,2.53
Slovenia,2021-04-09,50,59,13.0,3.43
Slovenia,2021-04-09,60,69,28.76,1.88
Slovenia,2021-04-09,70,79,56.91,17.24
Slovenia,2021-04-09,80,,58.84,50.59
Slovenia,2021-04-16,18,24,3.02,0.96
Slovenia,2021-04-16,25,49,7.03,2.56
Slovenia,2021-04-16,50,59,13.57,3.48
Slovenia,2021-04-16,60,69,37.3,2.23
Slovenia,2021-04-16,70,79,60.39,28.64
Slovenia,2021-04-16,80,,59.63,53.0
Slovenia,2021-04-23,18,24,5.78,1.0
Slovenia,2021-04-23,25,49,7.96,2.6
Slovenia,2021-04-23,50,59,16.55,3.62
Slovenia,2021-04-23,60,69,42.02,3.97
Slovenia,2021-04-23,70,79,62.35,41.75
Slovenia,2021-04-23,80,,60.35,54.05
Slovenia,2021-04-30,18,24,5.99,1.2
Slovenia,2021-04-30,25,49,8.25,2.7
Slovenia,2021-04-30,50,59,17.98,3.87
Slovenia,2021-04-30,60,69,45.16,12.11
Slovenia,2021-04-30,70,79,63.62,50.81
Slovenia,2021-04-30,80,,60.94,54.89
Slovenia,2021-05-07,18,24,6.34,1.53
Slovenia,2021-05-07,25,49,9.48,3.1
Slovenia,2021-05-07,50,59,28.91,4.56
Slovenia,2021-05-07,60,69,49.11,20.0
Slovenia,2021-05-07,70,79,65.66,57.11
Slovenia,2021-05-07,80,,61.98,55.81
Slovenia,2021-05-14,18,24,7.91,2.37
Slovenia,2021-05-14,25,49,14.12,4.38
Slovenia,2021-05-14,50,59,35.81,5.82
Slovenia,2021-05-14,60,69,52.42,25.5
Slovenia,2021-05-14,70,79,67.55,59.52
Slovenia,2021-05-14,80,,63.15,56.64
Slovenia,2021-05-21,18,24,12.01,3.14
Slovenia,2021-05-21,25,49,19.85,5.87
Slovenia,2021-05-21,50,59,40.1,9.21
Slovenia,2021-05-21,60,69,54.98,32.3
