location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Sweden,2020-12-29,18,24,0.0,0.0
Sweden,2020-12-29,25,49,0.0,0.0
Sweden,2020-12-29,50,59,0.01,0.0
Sweden,2020-12-29,60,69,0.01,0.0
Sweden,2020-12-29,70,79,0.04,0.0
Sweden,2020-12-29,80,,0.27,0.0
Sweden,2021-01-05,18,24,0.07,0.0
Sweden,2021-01-05,25,49,0.15,0.0
Sweden,2021-01-05,50,59,0.32,0.0
Sweden,2021-01-05,60,69,0.35,0.0
Sweden,2021-01-05,70,79,0.85,0.0
Sweden,2021-01-05,80,,5.35,0.0
Sweden,2021-01-12,18,24,0.32,0.0
Sweden,2021-01-12,25,49,0.69,0.0
Sweden,2021-01-12,50,59,1.21,0.0
Sweden,2021-01-12,60,69,1.12,0.0
Sweden,2021-01-12,70,79,1.79,0.0
Sweden,2021-01-12,80,,10.54,0.0
Sweden,2021-01-19,18,24,0.76,0.01
Sweden,2021-01-19,25,49,1.58,0.02
Sweden,2021-01-19,50,59,2.56,0.05
Sweden,2021-01-19,60,69,2.28,0.06
Sweden,2021-01-19,70,79,2.9,0.18
Sweden,2021-01-19,80,,15.71,1.21
Sweden,2021-01-26,18,24,1.08,0.03
Sweden,2021-01-26,25,49,2.11,0.08
Sweden,2021-01-26,50,59,3.41,0.19
Sweden,2021-01-26,60,69,3.01,0.25
Sweden,2021-01-26,70,79,3.59,0.63
Sweden,2021-01-26,80,,18.83,3.92
Sweden,2021-02-02,18,24,1.27,0.18
Sweden,2021-02-02,25,49,2.42,0.43
Sweden,2021-02-02,50,59,3.92,0.8
Sweden,2021-02-02,60,69,3.49,0.77
Sweden,2021-02-02,70,79,4.19,1.33
Sweden,2021-02-02,80,,21.4,7.97
Sweden,2021-02-09,18,24,1.47,0.41
Sweden,2021-02-09,25,49,2.71,0.91
Sweden,2021-02-09,50,59,4.37,1.56
Sweden,2021-02-09,60,69,3.92,1.49
Sweden,2021-02-09,70,79,4.84,2.25
Sweden,2021-02-09,80,,24.56,12.62
Sweden,2021-02-16,18,24,1.88,0.79
Sweden,2021-02-16,25,49,3.24,1.64
Sweden,2021-02-16,50,59,5.16,2.72
Sweden,2021-02-16,60,69,4.58,2.45
Sweden,2021-02-16,70,79,5.79,3.07
Sweden,2021-02-16,80,,28.43,16.23
Sweden,2021-02-23,18,24,2.42,1.08
Sweden,2021-02-23,25,49,3.95,2.09
