location,date,age_group_min,age_group_max,people_vaccinated
United States,2021-05-02,0,18,1955765
United States,2021-05-02,1,29,17310734
United States,2021-05-02,30,39,17979996
United States,2021-05-02,40,49,18931528
United States,2021-05-02,75,,17319175
United States,2021-05-03,0,18,1985806
United States,2021-05-03,1,29,17419231
United States,2021-05-03,30,39,18063299
United States,2021-05-03,40,49,19010527
United States,2021-05-03,50,64,37044312
United States,2021-05-03,65,74,24734491
United States,2021-05-03,75,,17330014
United States,2021-05-04,0,18,2006715
United States,2021-05-04,1,29,17500839
United States,2021-05-04,30,39,18128891
United States,2021-05-04,40,49,19074860
United States,2021-05-04,50,64,37134637
United States,2021-05-04,65,74,24760044
United States,2021-05-04,75,,17345118
United States,2021-05-05,0,18,2038129
United States,2021-05-05,1,29,17642394
United States,2021-05-05,30,39,18241408
United States,2021-05-05,40,49,19182419
United States,2021-05-05,50,64,37291738
United States,2021-05-05,65,74,24810560
United States,2021-05-05,75,,17373313
United States,2021-05-06,0,18,2083198
United States,2021-05-06,1,29,17861612
United States,2021-05-06,30,39,18426951
United States,2021-05-06,40,49,19363943
United States,2021-05-06,50,64,37585557
United States,2021-05-06,65,74,24984203
United States,2021-05-06,75,,17470358
United States,2021-05-07,0,18,2134222
United States,2021-05-07,1,29,18095092
United States,2021-05-07,30,39,18610793
United States,2021-05-07,40,49,19536929
United States,2021-05-07,50,64,37848662
United States,2021-05-07,65,74,25070448
United States,2021-05-07,75,,17515399
United States,2021-05-08,0,18,2174963
United States,2021-05-08,1,29,18293242
United States,2021-05-08,30,39,18766188
United States,2021-05-08,40,49,19685476
United States,2021-05-08,50,64,38066635
United States,2021-05-08,65,74,25132376
United States,2021-05-08,75,,17550047
United States,2021-05-09,0,18,2214557
United States,2021-05-09,1,29,18477353
United States,2021-05-09,30,39,18910050
United States,2021-05-09,40,49,19817599
United States,2021-05-09,50,64,38255039
United States,2021-05-09,65,74,25182356
United States,2021-05-09,75,,17576673
United States,2021-05-10,0,18,2251167
United States,2021-05-10,1,29,18646835
United States,2021-05-10,30,39,19040892
United States,2021-05-10,40,49,19937641
United States,2021-05-10,50,64,38416800
United States,2021-05-10,65,74,25220741
United States,2021-05-10,75,,17596036
United States,2021-05-11,0,18,2280092
United States,2021-05-11,1,29,18790920
United States,2021-05-11,30,39,19151770
United States,2021-05-11,40,49,20040452
United States,2021-05-11,50,64,38558654
United States,2021-05-11,65,74,25257265
United States,2021-05-11,75,,17614815
United States,2021-05-12,0,18,2305346
United States,2021-05-12,1,29,18911578
United States,2021-05-12,30,39,19241048
United States,2021-05-12,40,49,20125112
United States,2021-05-12,50,64,38679282
United States,2021-05-12,65,74,25293043
United States,2021-05-12,75,,17634594
United States,2021-05-13,0,18,2339161
United States,2021-05-13,1,29,19060061
United States,2021-05-13,30,39,19353197
United States,2021-05-13,40,49,20230277
United States,2021-05-13,50,64,38833401
United States,2021-05-13,65,74,25342108
United States,2021-05-13,75,,17660785
United States,2021-05-14,0,18,2397792
United States,2021-05-14,1,29,19199765
United States,2021-05-14,30,39,19455891
United States,2021-05-14,40,49,20324811
United States,2021-05-14,50,64,38970515
United States,2021-05-14,65,74,25385003
United States,2021-05-14,75,,17684981
United States,2021-05-15,0,18,2603942
United States,2021-05-15,1,29,19377592
United States,2021-05-15,30,39,19590410
United States,2021-05-15,40,49,20449736
United States,2021-05-15,50,64,39148387
United States,2021-05-15,65,74,25441884
United States,2021-05-15,75,,17715396
United States,2021-05-16,0,18,2852458
United States,2021-05-16,1,29,19527444
United States,2021-05-16,30,39,19705964
United States,2021-05-16,40,49,20555222
United States,2021-05-16,50,64,39293495
United States,2021-05-16,65,74,25486185
United States,2021-05-16,75,,17741108
United States,2021-05-17,0,18,3103222
United States,2021-05-17,1,29,19628695
United States,2021-05-17,30,39,19785539
United States,2021-05-17,40,49,20630076
United States,2021-05-17,50,64,39392430
United States,2021-05-17,65,74,25511667
United States,2021-05-17,75,,17760840
United States,2021-05-18,0,18,3278222
United States,2021-05-18,1,29,19715679
United States,2021-05-18,30,39,19853278
United States,2021-05-18,40,49,20694393
United States,2021-05-18,50,64,39476597
United States,2021-05-18,65,74,25536413
United States,2021-05-18,75,,17772888
United States,2021-05-19,0,18,3514899
United States,2021-05-19,1,29,19849555
United States,2021-05-19,30,39,19951524
United States,2021-05-19,40,49,20783943
United States,2021-05-19,50,64,39597200
United States,2021-05-19,65,74,25571646
United States,2021-05-19,75,,17791288
United States,2021-05-20,0,18,3796960
United States,2021-05-20,1,29,20015659
United States,2021-05-20,30,39,20075187
United States,2021-05-20,40,49,20899306
United States,2021-05-20,50,64,39751066
United States,2021-05-20,65,74,25615691
United States,2021-05-20,75,,17814222
United States,2021-05-21,0,18,4111897
United States,2021-05-21,1,29,20209195
United States,2021-05-21,30,39,20214074
United States,2021-05-21,40,49,21024383
United States,2021-05-21,50,64,39916473
United States,2021-05-21,65,74,25665647
United States,2021-05-21,75,,17841939
United States,2021-05-22,0,18,4434115
United States,2021-05-22,1,29,20436014
United States,2021-05-22,30,39,20378125
United States,2021-05-22,40,49,21170956
