location,date,age_group_min,age_group_max,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred
Uruguay,2021-02-27,12,17,0.00,0.00
Uruguay,2021-02-27,18,24,0.00,0.01
Uruguay,2021-02-27,25,34,0.00,0.02
Uruguay,2021-02-27,35,44,0.00,0.03
Uruguay,2021-02-27,45,54,0.00,0.02
Uruguay,2021-02-27,55,64,0.00,0.01
Uruguay,2021-02-27,65,74,0.00,0.00
Uruguay,2021-02-27,75,,0.00,0.00
Uruguay,2021-02-28,12,17,0.00,0.00
Uruguay,2021-02-28,18,24,0.00,0.01
Uruguay,2021-02-28,25,34,0.00,0.02
Uruguay,2021-02-28,35,44,0.00,0.03
Uruguay,2021-02-28,45,54,0.00,0.02
Uruguay,2021-02-28,55,64,0.00,0.01
Uruguay,2021-02-28,65,74,0.00,0.00
Uruguay,2021-02-28,75,,0.00,0.00
Uruguay,2021-03-01,12,17,0.00,0.00
Uruguay,2021-03-01,18,24,0.00,0.32
Uruguay,2021-03-01,25,34,0.00,0.88
Uruguay,2021-03-01,35,44,0.00,1.29
Uruguay,2021-03-01,45,54,0.00,1.13
Uruguay,2021-03-01,55,64,0.00,0.43
Uruguay,2021-03-01,65,74,0.00,0.00
Uruguay,2021-03-01,75,,0.00,0.00
Uruguay,2021-03-02,12,17,0.00,0.00
Uruguay,2021-03-02,18,24,0.00,0.65
Uruguay,2021-03-02,25,34,0.00,1.63
Uruguay,2021-03-02,35,44,0.00,2.30
Uruguay,2021-03-02,45,54,0.00,1.95
Uruguay,2021-03-02,55,64,0.00,0.74
Uruguay,2021-03-02,65,74,0.00,0.00
Uruguay,2021-03-02,75,,0.00,0.00
Uruguay,2021-03-03,12,17,0.00,0.00
Uruguay,2021-03-03,18,24,0.00,1.13
Uruguay,2021-03-03,25,34,0.00,2.71
Uruguay,2021-03-03,35,44,0.00,3.78
Uruguay,2021-03-03,45,54,0.00,3.15
Uruguay,2021-03-03,55,64,0.00,1.18
Uruguay,2021-03-03,65,74,0.00,0.00
Uruguay,2021-03-03,75,,0.00,0.00
Uruguay,2021-03-04,12,17,0.00,0.00
Uruguay,2021-03-04,18,24,0.00,1.35
Uruguay,2021-03-04,25,34,0.00,3.21
Uruguay,2021-03-04,35,44,0.00,4.37
Uruguay,2021-03-04,45,54,0.00,3.64
Uruguay,2021-03-04,55,64,0.00,1.35
Uruguay,2021-03-04,65,74,0.00,0.00
Uruguay,2021-03-04,75,,0.00,0.00
Uruguay,2021-03-05,12,17,0.00,0.00
Uruguay,2021-03-05,18,24,0.00,1.56
Uruguay,2021-03-05,25,34,0.00,3.75
Uruguay,2021-03-05,35,44,0.00,4.97
Uruguay,2021-03-05,45,54,0.00,4.13
Uruguay,2021-03-05,55,64,0.00,1.53
Uruguay,2021-03-05,65,74,0.00,0.00
Uruguay,2021-03-05,75,,0.00,0.00
Uruguay,2021-03-06,12,17,0.00,0.00
Uruguay,2021-03-06,18,24,0.00,1.56
Uruguay,2021-03-06,25,34,0.00,3.75
Uruguay,2021-03-06,35,44,0.00,4.97
Uruguay,2021-03-06,45,54,0.00,4.13
Uruguay,2021-03-06,55,64,0.00,1.53
Uruguay,2021-03-06,65,74,0.00,0.00
Uruguay,2021-03-06,75,,0.00,0.00
Uruguay,2021-03-07,12,17,0.00,0.00
Uruguay,2021-03-07,18,24,0.00,1.56
Uruguay,2021-03-07,25,34,0.00,3.75
Uruguay,2021-03-07,35,44,0.00,4.97
Uruguay,2021-03-07,45,54,0.00,4.13
Uruguay,2021-03-07,55,64,0.00,1.53
Uruguay,2021-03-07,65,74,0.00,0.00
Uruguay,2021-03-07,75,,0.00,0.00
Uruguay,2021-03-08,12,17,0.00,0.00
Uruguay,2021-03-08,18,24,0.00,1.60
Uruguay,2021-03-08,25,34,0.00,3.88
Uruguay,2021-03-08,35,44,0.00,5.15
Uruguay,2021-03-08,45,54,0.00,4.29
Uruguay,2021-03-08,55,64,0.00,8.20
Uruguay,2021-03-08,65,74,0.00,0.00
Uruguay,2021-03-08,75,,0.00,0.00
Uruguay,2021-03-09,12,17,0.00,0.00
Uruguay,2021-03-09,18,24,0.00,1.70
Uruguay,2021-03-09,25,34,0.00,4.10
Uruguay,2021-03-09,35,44,0.00,5.42
Uruguay,2021-03-09,45,54,0.00,4.53
Uruguay,2021-03-09,55,64,0.00,12.86
Uruguay,2021-03-09,65,74,0.00,0.00
Uruguay,2021-03-09,75,,0.00,0.01
Uruguay,2021-03-10,12,17,0.00,0.00
Uruguay,2021-03-10,18,24,0.00,1.86
Uruguay,2021-03-10,25,34,0.00,4.46
Uruguay,2021-03-10,35,44,0.00,5.81
Uruguay,2021-03-10,45,54,0.00,4.91
Uruguay,2021-03-10,55,64,0.00,17.84
Uruguay,2021-03-10,65,74,0.00,0.01
Uruguay,2021-03-10,75,,0.00,0.01
Uruguay,2021-03-11,12,17,0.00,0.00
Uruguay,2021-03-11,18,24,0.00,2.07
Uruguay,2021-03-11,25,34,0.00,4.89
Uruguay,2021-03-11,35,44,0.00,6.37
Uruguay,2021-03-11,45,54,0.00,5.71
Uruguay,2021-03-11,55,64,0.00,21.26
Uruguay,2021-03-11,65,74,0.00,0.04
Uruguay,2021-03-11,75,,0.00,0.01
Uruguay,2021-03-12,12,17,0.00,0.00
Uruguay,2021-03-12,18,24,0.00,2.21
Uruguay,2021-03-12,25,34,0.00,5.98
Uruguay,2021-03-12,35,44,0.00,7.91
Uruguay,2021-03-12,45,54,0.00,7.01
Uruguay,2021-03-12,55,64,0.00,22.06
Uruguay,2021-03-12,65,74,0.00,0.20
Uruguay,2021-03-12,75,,0.00,0.03
Uruguay,2021-03-13,12,17,0.00,0.00
Uruguay,2021-03-13,18,24,0.00,2.27
Uruguay,2021-03-13,25,34,0.00,6.43
Uruguay,2021-03-13,35,44,0.00,8.60
Uruguay,2021-03-13,45,54,0.00,7.61
Uruguay,2021-03-13,55,64,0.00,22.48
Uruguay,2021-03-13,65,74,0.00,0.31
Uruguay,2021-03-13,75,,0.00,0.04
Uruguay,2021-03-14,12,17,0.00,0.00
