location,date,vaccine,total_vaccinations
Belgium,2021-01-05,Pfizer/BioNTech,27427
Belgium,2021-01-12,Moderna,4
Belgium,2021-01-12,Pfizer/BioNTech,125722
Belgium,2021-01-19,Moderna,4421
Belgium,2021-01-19,Pfizer/BioNTech,243315
Belgium,2021-01-26,Moderna,6077
Belgium,2021-01-26,Pfizer/BioNTech,331940
Belgium,2021-02-02,Moderna,15692
Belgium,2021-02-02,Oxford/AstraZeneca,0
Belgium,2021-02-02,Pfizer/BioNTech,459495
Belgium,2021-02-09,Moderna,25044
Belgium,2021-02-09,Oxford/AstraZeneca,309
Belgium,2021-02-09,Pfizer/BioNTech,594349
Belgium,2021-02-16,Moderna,29761
Belgium,2021-02-16,Oxford/AstraZeneca,10487
Belgium,2021-02-16,Pfizer/BioNTech,694388
Belgium,2021-02-23,Moderna,32145
Belgium,2021-02-23,Oxford/AstraZeneca,44663
Belgium,2021-02-23,Pfizer/BioNTech,782057
Belgium,2021-03-02,Moderna,50615
Belgium,2021-03-02,Oxford/AstraZeneca,108604
Belgium,2021-03-02,Pfizer/BioNTech,869303
Belgium,2021-03-09,Moderna,66313
Belgium,2021-03-09,Oxford/AstraZeneca,188566
Belgium,2021-03-09,Pfizer/BioNTech,964362
Belgium,2021-03-16,Moderna,88601
Belgium,2021-03-16,Oxford/AstraZeneca,347041
Belgium,2021-03-16,Pfizer/BioNTech,1073750
Belgium,2021-03-23,Moderna,98730
Belgium,2021-03-23,Oxford/AstraZeneca,454220
Belgium,2021-03-23,Pfizer/BioNTech,1268580
Belgium,2021-03-30,Moderna,126241
Belgium,2021-03-30,Oxford/AstraZeneca,513711
Belgium,2021-03-30,Pfizer/BioNTech,1525420
Belgium,2021-04-06,Moderna,173139
Belgium,2021-04-06,Oxford/AstraZeneca,593376
Belgium,2021-04-06,Pfizer/BioNTech,1840029
Belgium,2021-04-13,Johnson&Johnson,0
Belgium,2021-04-13,Moderna,207291
Belgium,2021-04-13,Oxford/AstraZeneca,773441
Belgium,2021-04-13,Pfizer/BioNTech,2116248
Belgium,2021-04-20,Moderna,258186
Belgium,2021-04-20,Oxford/AstraZeneca,830067
Belgium,2021-04-20,Pfizer/BioNTech,2431199
Belgium,2021-04-27,Johnson&Johnson,2705
Belgium,2021-04-27,Moderna,284041
Belgium,2021-04-27,Oxford/AstraZeneca,894993
Belgium,2021-04-27,Pfizer/BioNTech,2785593
Belgium,2021-05-04,Johnson&Johnson,23224
Belgium,2021-05-04,Moderna,341226
Belgium,2021-05-04,Oxford/AstraZeneca,996334
Belgium,2021-05-04,Pfizer/BioNTech,3335693
Belgium,2021-05-11,Johnson&Johnson,28654
Belgium,2021-05-11,Moderna,394854
Belgium,2021-05-11,Oxford/AstraZeneca,1088748
Belgium,2021-05-11,Pfizer/BioNTech,3785133
Belgium,2021-05-18,Johnson&Johnson,48365
Belgium,2021-05-18,Moderna,495928
Belgium,2021-05-18,Oxford/AstraZeneca,1353777
Belgium,2021-05-18,Pfizer/BioNTech,4147170
Belgium,2021-05-25,Johnson&Johnson,71065
Belgium,2021-05-25,Moderna,569499
Belgium,2021-05-25,Oxford/AstraZeneca,1448481
Belgium,2021-05-25,Pfizer/BioNTech,4580934
Belgium,2021-06-01,Johnson&Johnson,84839
Belgium,2021-06-01,Moderna,612303
Belgium,2021-06-01,Oxford/AstraZeneca,1500122
Belgium,2021-06-01,Pfizer/BioNTech,4785347
