location,date,vaccine,total_vaccinations
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,39994
Bulgaria,2021-07-02,Moderna,234047
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927
Bulgaria,2021-07-09,Johnson&Johnson,48424
Bulgaria,2021-07-09,Moderna,241862
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383
Bulgaria,2021-07-16,Johnson&Johnson,58430
Bulgaria,2021-07-16,Moderna,247955
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926
Bulgaria,2021-07-23,Johnson&Johnson,68108
Bulgaria,2021-07-23,Moderna,252761
Bulgaria,2021-07-23,Oxford/AstraZeneca,475720
Bulgaria,2021-07-23,Pfizer/BioNTech,1167720
Bulgaria,2021-07-30,Johnson&Johnson,78440
Bulgaria,2021-07-30,Moderna,258066
Bulgaria,2021-07-30,Oxford/AstraZeneca,476371
Bulgaria,2021-07-30,Pfizer/BioNTech,1212406
Bulgaria,2021-08-03,Johnson&Johnson,82378
Bulgaria,2021-08-03,Moderna,258066
Bulgaria,2021-08-03,Oxford/AstraZeneca,476371
Bulgaria,2021-08-03,Pfizer/BioNTech,1212406
