location,date,vaccine,total_vaccinations
Croatia,2021-01-01,Pfizer/BioNTech,1958
Croatia,2021-01-08,Johnson&Johnson,1
Croatia,2021-01-08,Moderna,4
Croatia,2021-01-08,Pfizer/BioNTech,30810
Croatia,2021-01-15,Moderna,1491
Croatia,2021-01-15,Oxford/AstraZeneca,2
Croatia,2021-01-15,Pfizer/BioNTech,47869
Croatia,2021-01-22,Moderna,2635
Croatia,2021-01-22,Pfizer/BioNTech,70340
Croatia,2021-01-29,Moderna,2720
Croatia,2021-01-29,Pfizer/BioNTech,86719
Croatia,2021-02-05,Johnson&Johnson,2
Croatia,2021-02-05,Moderna,3195
Croatia,2021-02-05,Oxford/AstraZeneca,7
Croatia,2021-02-05,Pfizer/BioNTech,103629
Croatia,2021-02-12,Moderna,8223
Croatia,2021-02-12,Oxford/AstraZeneca,3177
Croatia,2021-02-12,Pfizer/BioNTech,124250
Croatia,2021-02-19,Johnson&Johnson,3
Croatia,2021-02-19,Moderna,13287
Croatia,2021-02-19,Oxford/AstraZeneca,18923
Croatia,2021-02-19,Pfizer/BioNTech,144086
Croatia,2021-02-26,Moderna,14432
Croatia,2021-02-26,Oxford/AstraZeneca,59647
Croatia,2021-02-26,Pfizer/BioNTech,163915
Croatia,2021-03-05,Moderna,22867
Croatia,2021-03-05,Oxford/AstraZeneca,83931
Croatia,2021-03-05,Pfizer/BioNTech,187784
Croatia,2021-03-12,Johnson&Johnson,5
Croatia,2021-03-12,Moderna,29556
Croatia,2021-03-12,Oxford/AstraZeneca,116967
Croatia,2021-03-12,Pfizer/BioNTech,211078
Croatia,2021-03-19,Johnson&Johnson,11
Croatia,2021-03-19,Moderna,44790
Croatia,2021-03-19,Oxford/AstraZeneca,137435
Croatia,2021-03-19,Pfizer/BioNTech,241925
Croatia,2021-03-26,Johnson&Johnson,13
Croatia,2021-03-26,Moderna,52636
Croatia,2021-03-26,Oxford/AstraZeneca,157749
Croatia,2021-03-26,Pfizer/BioNTech,275260
Croatia,2021-04-02,Johnson&Johnson,15
Croatia,2021-04-02,Moderna,71800
Croatia,2021-04-02,Oxford/AstraZeneca,173380
Croatia,2021-04-02,Pfizer/BioNTech,307360
Croatia,2021-04-09,Johnson&Johnson,35
Croatia,2021-04-09,Moderna,83948
Croatia,2021-04-09,Oxford/AstraZeneca,201987
Croatia,2021-04-09,Pfizer/BioNTech,334954
Croatia,2021-04-16,Johnson&Johnson,39
Croatia,2021-04-16,Moderna,104114
Croatia,2021-04-16,Oxford/AstraZeneca,233070
Croatia,2021-04-16,Pfizer/BioNTech,394590
Croatia,2021-04-23,Johnson&Johnson,39
Croatia,2021-04-23,Moderna,114976
