location,date,vaccine,total_vaccinations
Cyprus,2021-01-01,Pfizer/BioNTech,353
Cyprus,2021-01-08,Pfizer/BioNTech,6119
Cyprus,2021-01-15,Moderna,0
Cyprus,2021-01-15,Pfizer/BioNTech,10752
Cyprus,2021-01-22,Moderna,210
Cyprus,2021-01-22,Pfizer/BioNTech,17741
Cyprus,2021-01-29,Moderna,420
Cyprus,2021-01-29,Pfizer/BioNTech,24541
Cyprus,2021-02-05,Pfizer/BioNTech,32190
Cyprus,2021-02-12,Moderna,421
Cyprus,2021-02-12,Oxford/AstraZeneca,582
Cyprus,2021-02-12,Pfizer/BioNTech,42842
Cyprus,2021-02-19,Moderna,741
Cyprus,2021-02-19,Oxford/AstraZeneca,6122
Cyprus,2021-02-19,Pfizer/BioNTech,51095
Cyprus,2021-02-26,Moderna,951
Cyprus,2021-02-26,Oxford/AstraZeneca,18121
Cyprus,2021-02-26,Pfizer/BioNTech,58802
Cyprus,2021-03-05,Moderna,1301
Cyprus,2021-03-05,Oxford/AstraZeneca,28600
Cyprus,2021-03-05,Pfizer/BioNTech,68746
Cyprus,2021-03-12,Moderna,4195
Cyprus,2021-03-12,Oxford/AstraZeneca,40746
Cyprus,2021-03-12,Pfizer/BioNTech,78264
Cyprus,2021-03-19,Moderna,4304
Cyprus,2021-03-19,Oxford/AstraZeneca,41621
Cyprus,2021-03-19,Pfizer/BioNTech,85087
Cyprus,2021-03-26,Moderna,4304
Cyprus,2021-03-26,Oxford/AstraZeneca,48119
Cyprus,2021-03-26,Pfizer/BioNTech,94671
Cyprus,2021-04-02,Moderna,6546
Cyprus,2021-04-02,Oxford/AstraZeneca,52026
Cyprus,2021-04-02,Pfizer/BioNTech,102355
Cyprus,2021-04-09,Moderna,12455
Cyprus,2021-04-09,Oxford/AstraZeneca,59906
Cyprus,2021-04-09,Pfizer/BioNTech,112307
Cyprus,2021-04-16,Johnson&Johnson,0
Cyprus,2021-04-16,Moderna,13235
Cyprus,2021-04-16,Oxford/AstraZeneca,66739
Cyprus,2021-04-16,Pfizer/BioNTech,129841
Cyprus,2021-04-23,Oxford/AstraZeneca,77692
Cyprus,2021-04-23,Pfizer/BioNTech,150072
Cyprus,2021-04-30,Johnson&Johnson,1187
Cyprus,2021-04-30,Moderna,15632
Cyprus,2021-04-30,Oxford/AstraZeneca,84215
Cyprus,2021-04-30,Pfizer/BioNTech,191877
Cyprus,2021-05-07,Johnson&Johnson,2247
Cyprus,2021-05-07,Moderna,21437
Cyprus,2021-05-07,Oxford/AstraZeneca,95460
Cyprus,2021-05-07,Pfizer/BioNTech,237570
Cyprus,2021-05-14,Johnson&Johnson,5608
Cyprus,2021-05-14,Moderna,28312
Cyprus,2021-05-14,Oxford/AstraZeneca,120685
Cyprus,2021-05-14,Pfizer/BioNTech,279734
Cyprus,2021-05-21,Moderna,37386
Cyprus,2021-05-21,Oxford/AstraZeneca,143487
Cyprus,2021-05-21,Pfizer/BioNTech,327094
Cyprus,2021-05-28,Johnson&Johnson,5608
Cyprus,2021-05-28,Moderna,44433
Cyprus,2021-05-28,Oxford/AstraZeneca,159509
Cyprus,2021-05-28,Pfizer/BioNTech,373057
Cyprus,2021-06-04,Moderna,48320
Cyprus,2021-06-04,Oxford/AstraZeneca,169765
Cyprus,2021-06-04,Pfizer/BioNTech,410695
Cyprus,2021-06-11,Johnson&Johnson,6008
Cyprus,2021-06-11,Moderna,54573
Cyprus,2021-06-11,Oxford/AstraZeneca,180681
Cyprus,2021-06-11,Pfizer/BioNTech,446086
Cyprus,2021-06-18,Johnson&Johnson,12832
Cyprus,2021-06-18,Moderna,63072
Cyprus,2021-06-18,Oxford/AstraZeneca,190449
Cyprus,2021-06-18,Pfizer/BioNTech,479103
Cyprus,2021-06-22,Johnson&Johnson,13526
Cyprus,2021-06-22,Moderna,69621
Cyprus,2021-06-22,Oxford/AstraZeneca,193753
Cyprus,2021-06-22,Pfizer/BioNTech,483041
