date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,1252,Czechia
2020-12-28,Pfizer/BioNTech,3548,Czechia
2020-12-29,Pfizer/BioNTech,6994,Czechia
2020-12-30,Pfizer/BioNTech,10469,Czechia
2020-12-31,Pfizer/BioNTech,11775,Czechia
2021-01-01,Pfizer/BioNTech,12036,Czechia
2021-01-02,Pfizer/BioNTech,13303,Czechia
2021-01-03,Pfizer/BioNTech,14218,Czechia
2021-01-04,Pfizer/BioNTech,17788,Czechia
2021-01-05,Pfizer/BioNTech,22281,Czechia
2021-01-06,Pfizer/BioNTech,28097,Czechia
2021-01-07,Pfizer/BioNTech,36040,Czechia
2021-01-08,Pfizer/BioNTech,45971,Czechia
2021-01-09,Pfizer/BioNTech,47984,Czechia
2021-01-10,Pfizer/BioNTech,49735,Czechia
2021-01-11,Pfizer/BioNTech,59524,Czechia
2021-01-12,Pfizer/BioNTech,72880,Czechia
2021-01-13,Pfizer/BioNTech,86357,Czechia
2021-01-14,Moderna,1225,Czechia
2021-01-14,Pfizer/BioNTech,100289,Czechia
2021-01-15,Moderna,1982,Czechia
2021-01-15,Pfizer/BioNTech,113472,Czechia
2021-01-16,Pfizer/BioNTech,116520,Czechia
2021-01-16,Moderna,2309,Czechia
2021-01-17,Moderna,2398,Czechia
2021-01-17,Pfizer/BioNTech,119661,Czechia
2021-01-18,Moderna,2575,Czechia
2021-01-18,Pfizer/BioNTech,133743,Czechia
2021-01-19,Moderna,3349,Czechia
2021-01-19,Pfizer/BioNTech,148174,Czechia
2021-01-20,Moderna,4927,Czechia
2021-01-20,Pfizer/BioNTech,162832,Czechia
2021-01-21,Moderna,5884,Czechia
2021-01-21,Pfizer/BioNTech,179146,Czechia
2021-01-22,Pfizer/BioNTech,194782,Czechia
2021-01-22,Moderna,6079,Czechia
2021-01-23,Moderna,6120,Czechia
2021-01-23,Pfizer/BioNTech,198886,Czechia
2021-01-24,Moderna,6244,Czechia
2021-01-24,Pfizer/BioNTech,201868,Czechia
2021-01-25,Moderna,6441,Czechia
2021-01-25,Pfizer/BioNTech,214215,Czechia
2021-01-26,Moderna,6714,Czechia
2021-01-26,Pfizer/BioNTech,228391,Czechia
2021-01-27,Moderna,7016,Czechia
2021-01-27,Pfizer/BioNTech,241568,Czechia
2021-01-28,Moderna,7135,Czechia
2021-01-28,Pfizer/BioNTech,254561,Czechia
2021-01-29,Pfizer/BioNTech,268393,Czechia
2021-01-29,Moderna,7286,Czechia
2021-01-30,Moderna,7288,Czechia
2021-01-30,Pfizer/BioNTech,270191,Czechia
2021-01-31,Pfizer/BioNTech,272063,Czechia
2021-02-01,Moderna,7544,Czechia
2021-02-01,Pfizer/BioNTech,283630,Czechia
2021-02-02,Moderna,7871,Czechia
2021-02-02,Pfizer/BioNTech,297583,Czechia
2021-02-03,Moderna,8598,Czechia
2021-02-03,Pfizer/BioNTech,312188,Czechia
2021-02-04,Pfizer/BioNTech,328839,Czechia
2021-02-04,Moderna,9734,Czechia
2021-02-05,Moderna,10924,Czechia
2021-02-05,Pfizer/BioNTech,343704,Czechia
2021-02-06,Moderna,11182,Czechia
2021-02-06,Pfizer/BioNTech,346616,Czechia
2021-02-07,Moderna,11445,Czechia
2021-02-07,Pfizer/BioNTech,349674,Czechia
2021-02-08,Moderna,12350,Czechia
2021-02-08,Pfizer/BioNTech,364133,Czechia
2021-02-09,Pfizer/BioNTech,379438,Czechia
2021-02-09,Moderna,14001,Czechia
2021-02-09,Oxford/AstraZeneca,2,Czechia
2021-02-10,Pfizer/BioNTech,396330,Czechia
2021-02-10,Moderna,15743,Czechia
2021-02-11,Moderna,19110,Czechia
2021-02-11,Oxford/AstraZeneca,235,Czechia
2021-02-11,Pfizer/BioNTech,415116,Czechia
2021-02-12,Moderna,21343,Czechia
2021-02-12,Oxford/AstraZeneca,630,Czechia
2021-02-12,Pfizer/BioNTech,433825,Czechia
2021-02-13,Moderna,21825,Czechia
2021-02-13,Oxford/AstraZeneca,1068,Czechia
2021-02-13,Pfizer/BioNTech,437450,Czechia
2021-02-14,Pfizer/BioNTech,439353,Czechia
2021-02-14,Oxford/AstraZeneca,1271,Czechia
2021-02-14,Moderna,22073,Czechia
2021-02-15,Moderna,23466,Czechia
2021-02-15,Oxford/AstraZeneca,2020,Czechia
2021-02-15,Pfizer/BioNTech,452856,Czechia
2021-02-16,Moderna,25933,Czechia
2021-02-16,Oxford/AstraZeneca,3142,Czechia
