location,date,vaccine,total_vaccinations
Estonia,2021-01-01,Pfizer/BioNTech,2
Estonia,2021-01-08,Pfizer/BioNTech,82
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-15,Pfizer/BioNTech,368
Estonia,2021-01-22,Moderna,4
Estonia,2021-01-22,Pfizer/BioNTech,5248
Estonia,2021-01-29,Moderna,6
Estonia,2021-01-29,Pfizer/BioNTech,21417
Estonia,2021-02-05,Moderna,30
Estonia,2021-02-05,Pfizer/BioNTech,36097
Estonia,2021-02-12,Moderna,50
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-12,Pfizer/BioNTech,45746
Estonia,2021-02-19,Moderna,518
Estonia,2021-02-19,Oxford/AstraZeneca,407
Estonia,2021-02-19,Pfizer/BioNTech,53538
Estonia,2021-02-26,Moderna,1670
Estonia,2021-02-26,Oxford/AstraZeneca,1045
Estonia,2021-02-26,Pfizer/BioNTech,67814
Estonia,2021-03-05,Moderna,2611
Estonia,2021-03-05,Oxford/AstraZeneca,1915
Estonia,2021-03-05,Pfizer/BioNTech,86840
Estonia,2021-03-12,Moderna,4148
Estonia,2021-03-12,Oxford/AstraZeneca,2983
Estonia,2021-03-12,Pfizer/BioNTech,103138
Estonia,2021-03-19,Moderna,4734
Estonia,2021-03-19,Oxford/AstraZeneca,3895
Estonia,2021-03-19,Pfizer/BioNTech,111849
Estonia,2021-03-26,Moderna,5048
Estonia,2021-03-26,Oxford/AstraZeneca,4561
Estonia,2021-03-26,Pfizer/BioNTech,119768
Estonia,2021-04-02,Moderna,8417
Estonia,2021-04-02,Oxford/AstraZeneca,12245
Estonia,2021-04-02,Pfizer/BioNTech,132872
Estonia,2021-04-09,Moderna,14477
Estonia,2021-04-09,Oxford/AstraZeneca,18945
Estonia,2021-04-09,Pfizer/BioNTech,139642
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-16,Moderna,18992
Estonia,2021-04-16,Oxford/AstraZeneca,34739
Estonia,2021-04-16,Pfizer/BioNTech,143502
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-23,Moderna,23044
Estonia,2021-04-23,Oxford/AstraZeneca,54028
Estonia,2021-04-23,Pfizer/BioNTech,151246
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-04-30,Moderna,26411
Estonia,2021-04-30,Oxford/AstraZeneca,84879
Estonia,2021-04-30,Pfizer/BioNTech,170791
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-07,Moderna,30351
Estonia,2021-05-07,Oxford/AstraZeneca,118902
Estonia,2021-05-07,Pfizer/BioNTech,204789
Estonia,2021-05-14,Johnson&Johnson,1086
Estonia,2021-05-14,Moderna,33578
Estonia,2021-05-14,Oxford/AstraZeneca,131992
Estonia,2021-05-14,Pfizer/BioNTech,238891
Estonia,2021-05-21,Johnson&Johnson,5793
Estonia,2021-05-21,Moderna,39938
Estonia,2021-05-21,Oxford/AstraZeneca,137531
Estonia,2021-05-21,Pfizer/BioNTech,301152
Estonia,2021-05-28,Johnson&Johnson,11239
Estonia,2021-05-28,Moderna,49743
Estonia,2021-05-28,Oxford/AstraZeneca,141458
Estonia,2021-05-28,Pfizer/BioNTech,370445
Estonia,2021-06-04,Johnson&Johnson,15126
Estonia,2021-06-04,Moderna,57400
Estonia,2021-06-04,Oxford/AstraZeneca,156107
Estonia,2021-06-04,Pfizer/BioNTech,430996
Estonia,2021-06-11,Johnson&Johnson,16430
Estonia,2021-06-11,Moderna,68453
Estonia,2021-06-11,Oxford/AstraZeneca,191448
Estonia,2021-06-11,Pfizer/BioNTech,493593
Estonia,2021-06-18,Johnson&Johnson,19016
Estonia,2021-06-18,Moderna,82422
Estonia,2021-06-18,Oxford/AstraZeneca,213590
Estonia,2021-06-18,Pfizer/BioNTech,572498
