location,date,vaccine,total_vaccinations
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,42
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,25
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,190
Finland,2021-01-08,Oxford/AstraZeneca,142
Finland,2021-01-08,Pfizer/BioNTech,20998
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,235
Finland,2021-01-15,Oxford/AstraZeneca,205
Finland,2021-01-15,Pfizer/BioNTech,61396
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,1160
Finland,2021-01-22,Oxford/AstraZeneca,278
Finland,2021-01-22,Pfizer/BioNTech,117930
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3794
Finland,2021-01-29,Oxford/AstraZeneca,286
Finland,2021-01-29,Pfizer/BioNTech,171453
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4675
Finland,2021-02-05,Oxford/AstraZeneca,291
Finland,2021-02-05,Pfizer/BioNTech,225973
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5943
Finland,2021-02-12,Oxford/AstraZeneca,4206
Finland,2021-02-12,Pfizer/BioNTech,276643
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,10524
Finland,2021-02-19,Oxford/AstraZeneca,24257
Finland,2021-02-19,Pfizer/BioNTech,336423
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,19065
Finland,2021-02-26,Oxford/AstraZeneca,55865
Finland,2021-02-26,Pfizer/BioNTech,398868
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,26963
Finland,2021-03-05,Oxford/AstraZeneca,95963
Finland,2021-03-05,Pfizer/BioNTech,464668
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,38595
Finland,2021-03-12,Oxford/AstraZeneca,140301
Finland,2021-03-12,Pfizer/BioNTech,532729
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,42395
Finland,2021-03-19,Oxford/AstraZeneca,184793
Finland,2021-03-19,Pfizer/BioNTech,611854
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,52384
Finland,2021-03-26,Oxford/AstraZeneca,184861
Finland,2021-03-26,Pfizer/BioNTech,712180
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,69163
Finland,2021-04-02,Oxford/AstraZeneca,202153
Finland,2021-04-02,Pfizer/BioNTech,811564
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,81142
Finland,2021-04-09,Oxford/AstraZeneca,243019
Finland,2021-04-09,Pfizer/BioNTech,932264
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,103161
Finland,2021-04-16,Oxford/AstraZeneca,298708
Finland,2021-04-16,Pfizer/BioNTech,1088888
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,117789
Finland,2021-04-23,Oxford/AstraZeneca,335865
Finland,2021-04-23,Pfizer/BioNTech,1258157
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,137287
Finland,2021-04-30,Oxford/AstraZeneca,353390
Finland,2021-04-30,Pfizer/BioNTech,1434734
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,161661
Finland,2021-05-07,Oxford/AstraZeneca,359254
Finland,2021-05-07,Pfizer/BioNTech,1648091
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,187701
Finland,2021-05-14,Oxford/AstraZeneca,366997
Finland,2021-05-14,Pfizer/BioNTech,1850107
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,221488
Finland,2021-05-21,Oxford/AstraZeneca,380071
Finland,2021-05-21,Pfizer/BioNTech,2079096
Finland,2021-05-28,Johnson&Johnson,0
Finland,2021-05-28,Moderna,257986
Finland,2021-05-28,Oxford/AstraZeneca,391772
Finland,2021-05-28,Pfizer/BioNTech,2303942
Finland,2021-06-04,Johnson&Johnson,0
Finland,2021-06-04,Moderna,296146
Finland,2021-06-04,Oxford/AstraZeneca,404404
Finland,2021-06-04,Pfizer/BioNTech,2551622
Finland,2021-06-11,Johnson&Johnson,0
Finland,2021-06-11,Moderna,325105
Finland,2021-06-11,Oxford/AstraZeneca,421490
Finland,2021-06-11,Pfizer/BioNTech,2847634
Finland,2021-06-18,Johnson&Johnson,0
Finland,2021-06-18,Moderna,357957
Finland,2021-06-18,Oxford/AstraZeneca,425531
Finland,2021-06-18,Pfizer/BioNTech,3150080
Finland,2021-06-25,Johnson&Johnson,0
Finland,2021-06-25,Moderna,383174
Finland,2021-06-25,Oxford/AstraZeneca,438377
Finland,2021-06-25,Pfizer/BioNTech,3367404
Finland,2021-07-02,Johnson&Johnson,0
Finland,2021-07-02,Moderna,409115
Finland,2021-07-02,Oxford/AstraZeneca,470783
Finland,2021-07-02,Pfizer/BioNTech,3621129
Finland,2021-07-09,Johnson&Johnson,0
Finland,2021-07-09,Moderna,440978
Finland,2021-07-09,Oxford/AstraZeneca,507357
Finland,2021-07-09,Pfizer/BioNTech,3850467
Finland,2021-07-16,Johnson&Johnson,0
Finland,2021-07-16,Moderna,466854
Finland,2021-07-16,Oxford/AstraZeneca,535407
Finland,2021-07-16,Pfizer/BioNTech,4053685
Finland,2021-07-23,Johnson&Johnson,0
Finland,2021-07-23,Moderna,498598
Finland,2021-07-23,Oxford/AstraZeneca,548654
Finland,2021-07-23,Pfizer/BioNTech,4270499
Finland,2021-07-30,Johnson&Johnson,0
Finland,2021-07-30,Moderna,535087
Finland,2021-07-30,Oxford/AstraZeneca,551474
Finland,2021-07-30,Pfizer/BioNTech,4494299
Finland,2021-08-03,Pfizer/BioNTech,4494300
