date,total_vaccinations,vaccine,location
2020-12-27,20,Pfizer/BioNTech,France
2020-12-28,90,Pfizer/BioNTech,France
2020-12-29,198,Pfizer/BioNTech,France
2020-12-30,321,Pfizer/BioNTech,France
2020-12-31,406,Pfizer/BioNTech,France
2021-01-01,477,Pfizer/BioNTech,France
2021-01-02,565,Pfizer/BioNTech,France
2021-01-03,657,Pfizer/BioNTech,France
2021-01-04,2136,Pfizer/BioNTech,France
2021-01-05,7536,Pfizer/BioNTech,France
2021-01-06,18859,Pfizer/BioNTech,France
2021-01-07,47434,Pfizer/BioNTech,France
2021-01-08,83709,Pfizer/BioNTech,France
2021-01-09,94638,Pfizer/BioNTech,France
2021-01-10,100262,Pfizer/BioNTech,France
2021-01-11,139304,Pfizer/BioNTech,France
2021-01-12,200250,Pfizer/BioNTech,France
2021-01-13,264118,Pfizer/BioNTech,France
2021-01-14,343906,Pfizer/BioNTech,France
2021-01-15,411229,Pfizer/BioNTech,France
2021-01-16,430865,Pfizer/BioNTech,France
2021-01-17,441377,Pfizer/BioNTech,France
2021-01-18,523064,Pfizer/BioNTech,France
2021-01-19,647197,Pfizer/BioNTech,France
2021-01-20,777716,Pfizer/BioNTech,France
2021-01-21,928232,Pfizer/BioNTech,France
2021-01-22,1042202,Pfizer/BioNTech,France
2021-01-23,1078360,Pfizer/BioNTech,France
2021-01-24,1087656,Pfizer/BioNTech,France
2021-01-25,1162119,Pfizer/BioNTech,France
2021-01-26,1260381,Pfizer/BioNTech,France
2021-01-27,1368238,Pfizer/BioNTech,France
2021-01-28,1501486,Pfizer/BioNTech,France
2021-01-29,1606618,Pfizer/BioNTech,France
2021-01-30,1638437,Pfizer/BioNTech,France
2021-01-31,1644989,Pfizer/BioNTech,France
2021-02-01,1714485,Pfizer/BioNTech,France
2021-02-02,1815485,Pfizer/BioNTech,France
2021-02-03,1918448,Pfizer/BioNTech,France
2021-02-04,2044414,Pfizer/BioNTech,France
2021-02-05,2152288,Pfizer/BioNTech,France
2021-02-06,2181776,Pfizer/BioNTech,France
2021-02-07,2190253,Pfizer/BioNTech,France
2021-02-08,2272102,Pfizer/BioNTech,France
2021-02-09,2394535,Pfizer/BioNTech,France
2021-02-10,2522170,Pfizer/BioNTech,France
2021-02-11,2683561,Pfizer/BioNTech,France
2021-02-12,2812567,Pfizer/BioNTech,France
2021-02-13,2846997,Pfizer/BioNTech,France
2021-02-14,2857618,Pfizer/BioNTech,France
2021-02-15,2954697,Pfizer/BioNTech,France
2021-02-16,3083726,Pfizer/BioNTech,France
2021-02-17,3216705,Pfizer/BioNTech,France
2021-02-18,3378402,Pfizer/BioNTech,France
2021-02-19,3509320,Pfizer/BioNTech,France
2021-02-20,3549270,Pfizer/BioNTech,France
2021-02-21,3557677,Pfizer/BioNTech,France
2021-02-22,3651172,Pfizer/BioNTech,France
2021-02-23,3768257,Pfizer/BioNTech,France
2021-02-24,3885355,Pfizer/BioNTech,France
2021-02-25,4022352,Pfizer/BioNTech,France
2021-02-26,4136441,Pfizer/BioNTech,France
2021-02-27,4172613,Pfizer/BioNTech,France
