date,location,vaccine,total_vaccinations
2020-12-27,Germany,Pfizer/BioNTech,23451
2020-12-28,Germany,Pfizer/BioNTech,41270
2020-12-29,Germany,Pfizer/BioNTech,90718
2020-12-30,Germany,Pfizer/BioNTech,153508
2020-12-31,Germany,Pfizer/BioNTech,202703
2021-01-01,Germany,Pfizer/BioNTech,227908
2021-01-02,Germany,Pfizer/BioNTech,275563
2021-01-03,Germany,Pfizer/BioNTech,297703
2021-01-04,Germany,Pfizer/BioNTech,343196
2021-01-05,Germany,Pfizer/BioNTech,394892
2021-01-06,Germany,Pfizer/BioNTech,457121
2021-01-07,Germany,Pfizer/BioNTech,510913
2021-01-08,Germany,Pfizer/BioNTech,572543
2021-01-09,Germany,Pfizer/BioNTech,632241
2021-01-10,Germany,Pfizer/BioNTech,667335
2021-01-11,Germany,Pfizer/BioNTech,734648
2021-01-12,Germany,Pfizer/BioNTech,812675
2021-01-13,Germany,Pfizer/BioNTech,921940
2021-01-14,Germany,Pfizer/BioNTech,999626
2021-01-15,Germany,Pfizer/BioNTech,1084531
2021-01-16,Germany,Pfizer/BioNTech,1140006
2021-01-17,Germany,Pfizer/BioNTech,1186820
2021-01-18,Germany,Pfizer/BioNTech,1264508
2021-01-19,Germany,Pfizer/BioNTech,1379807
2021-01-20,Germany,Pfizer/BioNTech,1509572
2021-01-21,Germany,Pfizer/BioNTech,1612176
2021-01-22,Germany,Pfizer/BioNTech,1711720
2021-01-23,Germany,Pfizer/BioNTech,1798081
2021-01-24,Germany,Pfizer/BioNTech,1845363
2021-01-25,Germany,Pfizer/BioNTech,1934900
2021-01-26,Germany,Pfizer/BioNTech,2030877
2021-01-27,Germany,Pfizer/BioNTech,2138214
2021-01-28,Germany,Pfizer/BioNTech,2228778
2021-01-29,Germany,Pfizer/BioNTech,2334684
2021-01-30,Germany,Pfizer/BioNTech,2421911
2021-01-31,Germany,Pfizer/BioNTech,2478501
2021-02-01,Germany,Pfizer/BioNTech,2595931
2021-02-02,Germany,Pfizer/BioNTech,2724920
2021-02-03,Germany,Pfizer/BioNTech,2879732
2021-02-04,Germany,Pfizer/BioNTech,3007024
2021-02-05,Germany,Pfizer/BioNTech,3147021
2021-02-06,Germany,Pfizer/BioNTech,3238009
2021-02-07,Germany,Pfizer/BioNTech,3288956
2021-02-08,Germany,Pfizer/BioNTech,3393990
2021-02-09,Germany,Pfizer/BioNTech,3524475
2021-02-10,Germany,Pfizer/BioNTech,3666159
2021-02-11,Germany,Pfizer/BioNTech,3786217
2021-02-12,Germany,Pfizer/BioNTech,3917889
2021-02-13,Germany,Pfizer/BioNTech,4008653
2021-02-14,Germany,Pfizer/BioNTech,4064184
2021-02-15,Germany,Pfizer/BioNTech,4168808
2021-02-16,Germany,Pfizer/BioNTech,4277211
2021-02-17,Germany,Pfizer/BioNTech,4399136
2021-02-18,Germany,Pfizer/BioNTech,4511320
2021-02-19,Germany,Pfizer/BioNTech,4632128
2021-02-20,Germany,Pfizer/BioNTech,4718469
2021-02-21,Germany,Pfizer/BioNTech,4784940
2021-02-22,Germany,Pfizer/BioNTech,4907482
2021-02-23,Germany,Pfizer/BioNTech,5041006
2021-02-24,Germany,Pfizer/BioNTech,5172293
2021-02-25,Germany,Pfizer/BioNTech,5303529
2021-02-26,Germany,Pfizer/BioNTech,5444098
2021-02-27,Germany,Pfizer/BioNTech,5536744
2021-02-28,Germany,Pfizer/BioNTech,5597975
2021-03-01,Germany,Pfizer/BioNTech,5728065
2021-03-02,Germany,Pfizer/BioNTech,5867851
2021-03-03,Germany,Pfizer/BioNTech,6024650
2021-03-04,Germany,Pfizer/BioNTech,6165682
2021-03-05,Germany,Pfizer/BioNTech,6315159
2021-03-06,Germany,Pfizer/BioNTech,6424414
2021-03-07,Germany,Pfizer/BioNTech,6504177
2021-03-08,Germany,Pfizer/BioNTech,6638112
2021-03-09,Germany,Pfizer/BioNTech,6778165
2021-03-10,Germany,Pfizer/BioNTech,6937153
2021-03-11,Germany,Pfizer/BioNTech,7084793
2021-03-12,Germany,Pfizer/BioNTech,7236355
2021-03-13,Germany,Pfizer/BioNTech,7352386
2021-03-14,Germany,Pfizer/BioNTech,7440369
2021-03-15,Germany,Pfizer/BioNTech,7593149
2021-03-16,Germany,Pfizer/BioNTech,7759779
2021-03-17,Germany,Pfizer/BioNTech,7946019
2021-03-18,Germany,Pfizer/BioNTech,8120097
2021-03-19,Germany,Pfizer/BioNTech,8305606
2021-03-20,Germany,Pfizer/BioNTech,8441027
2021-03-21,Germany,Pfizer/BioNTech,8543297
2021-03-22,Germany,Pfizer/BioNTech,8709792
2021-03-23,Germany,Pfizer/BioNTech,8891211
2021-03-24,Germany,Pfizer/BioNTech,9091251
2021-03-25,Germany,Pfizer/BioNTech,9276681
2021-03-26,Germany,Pfizer/BioNTech,9476101
2021-03-27,Germany,Pfizer/BioNTech,9625638
2021-03-28,Germany,Pfizer/BioNTech,9740967
2021-03-29,Germany,Pfizer/BioNTech,9929638
2021-03-30,Germany,Pfizer/BioNTech,10148341
2021-03-31,Germany,Pfizer/BioNTech,10395881
2021-04-01,Germany,Pfizer/BioNTech,10634553
2021-04-02,Germany,Pfizer/BioNTech,10814094
2021-04-03,Germany,Pfizer/BioNTech,10988142
2021-04-04,Germany,Pfizer/BioNTech,11120380
2021-04-05,Germany,Pfizer/BioNTech,11285361
2021-04-06,Germany,Pfizer/BioNTech,11540249
2021-04-07,Germany,Pfizer/BioNTech,12082272
2021-04-08,Germany,Pfizer/BioNTech,12653396
2021-04-09,Germany,Pfizer/BioNTech,13143280
2021-04-10,Germany,Pfizer/BioNTech,13391586
2021-04-11,Germany,Pfizer/BioNTech,13561885
2021-04-12,Germany,Pfizer/BioNTech,13840549
2021-04-13,Germany,Pfizer/BioNTech,14272651
2021-04-14,Germany,Pfizer/BioNTech,14888976
2021-04-15,Germany,Pfizer/BioNTech,15422626
2021-04-16,Germany,Pfizer/BioNTech,15860564
2021-04-17,Germany,Pfizer/BioNTech,16085379
2021-04-18,Germany,Pfizer/BioNTech,16257344
2021-04-19,Germany,Pfizer/BioNTech,16550711
2021-04-20,Germany,Pfizer/BioNTech,16931886
2021-04-21,Germany,Pfizer/BioNTech,17385664
2021-04-22,Germany,Pfizer/BioNTech,17766887
2021-04-23,Germany,Pfizer/BioNTech,18119826
2021-04-24,Germany,Pfizer/BioNTech,18354709
2021-04-25,Germany,Pfizer/BioNTech,18542399
2021-04-26,Germany,Pfizer/BioNTech,18860192
2021-04-27,Germany,Pfizer/BioNTech,19536672
2021-04-28,Germany,Pfizer/BioNTech,20544790
2021-04-29,Germany,Pfizer/BioNTech,21369092
2021-04-30,Germany,Pfizer/BioNTech,22047333
2021-05-01,Germany,Pfizer/BioNTech,22300186
2021-05-02,Germany,Pfizer/BioNTech,22495756
2021-05-03,Germany,Pfizer/BioNTech,22813677
2021-05-04,Germany,Pfizer/BioNTech,23439972
2021-05-05,Germany,Pfizer/BioNTech,24290539
2021-05-06,Germany,Pfizer/BioNTech,24982610
2021-05-07,Germany,Pfizer/BioNTech,25569201
2021-05-08,Germany,Pfizer/BioNTech,25837048
2021-05-09,Germany,Pfizer/BioNTech,26030989
2021-05-10,Germany,Pfizer/BioNTech,26404144
2021-05-11,Germany,Pfizer/BioNTech,27229398
2021-05-12,Germany,Pfizer/BioNTech,28321872
2021-05-13,Germany,Pfizer/BioNTech,28637307
2021-05-14,Germany,Pfizer/BioNTech,29182534
2021-05-15,Germany,Pfizer/BioNTech,29461647
2021-05-16,Germany,Pfizer/BioNTech,29661863
2021-05-17,Germany,Pfizer/BioNTech,30000232
2021-05-18,Germany,Pfizer/BioNTech,30589076
2021-05-19,Germany,Pfizer/BioNTech,31392494
2021-05-20,Germany,Pfizer/BioNTech,32075042
2021-05-21,Germany,Pfizer/BioNTech,32670466
2021-05-22,Germany,Pfizer/BioNTech,32976704
2021-05-23,Germany,Pfizer/BioNTech,33169754
2021-05-24,Germany,Pfizer/BioNTech,33405659
2021-05-25,Germany,Pfizer/BioNTech,33851525
2021-05-26,Germany,Pfizer/BioNTech,34735626
2021-05-27,Germany,Pfizer/BioNTech,35473647
2021-05-28,Germany,Pfizer/BioNTech,36075770
2021-05-29,Germany,Pfizer/BioNTech,36337443
2021-05-30,Germany,Pfizer/BioNTech,36534585
2021-05-31,Germany,Pfizer/BioNTech,36901854
2021-06-01,Germany,Pfizer/BioNTech,37634820
2021-06-02,Germany,Pfizer/BioNTech,38622462
2021-06-03,Germany,Pfizer/BioNTech,39096972
2021-06-04,Germany,Pfizer/BioNTech,39681086
2021-06-05,Germany,Pfizer/BioNTech,39952181
2021-06-06,Germany,Pfizer/BioNTech,40157962
2021-06-07,Germany,Pfizer/BioNTech,40558199
2021-06-08,Germany,Pfizer/BioNTech,41396854
2021-06-09,Germany,Pfizer/BioNTech,42561766
2021-06-10,Germany,Pfizer/BioNTech,43506344
2021-06-11,Germany,Pfizer/BioNTech,44302345
2021-06-12,Germany,Pfizer/BioNTech,44584565
2021-06-13,Germany,Pfizer/BioNTech,44764003
2021-06-14,Germany,Pfizer/BioNTech,45187017
2021-06-15,Germany,Pfizer/BioNTech,45973302
2021-06-16,Germany,Pfizer/BioNTech,47061549
2021-06-17,Germany,Pfizer/BioNTech,47929874
2021-06-18,Germany,Pfizer/BioNTech,48649323
2021-06-19,Germany,Pfizer/BioNTech,48919816
2021-06-20,Germany,Pfizer/BioNTech,49097658
2021-06-21,Germany,Pfizer/BioNTech,49501441
2021-06-22,Germany,Pfizer/BioNTech,50332188
2021-06-23,Germany,Pfizer/BioNTech,51406705
2021-06-24,Germany,Pfizer/BioNTech,52188949
2021-06-25,Germany,Pfizer/BioNTech,52869202
2021-06-26,Germany,Pfizer/BioNTech,53119509
2021-06-27,Germany,Pfizer/BioNTech,53291419
2021-06-28,Germany,Pfizer/BioNTech,53684693
2021-06-29,Germany,Pfizer/BioNTech,54358716
2021-06-30,Germany,Pfizer/BioNTech,55114327
2021-07-01,Germany,Pfizer/BioNTech,55846774
2021-07-02,Germany,Pfizer/BioNTech,56485495
2021-07-03,Germany,Pfizer/BioNTech,56738072
2021-07-04,Germany,Pfizer/BioNTech,56919153
2021-07-05,Germany,Pfizer/BioNTech,57300195
2021-07-06,Germany,Pfizer/BioNTech,57907446
2021-07-07,Germany,Pfizer/BioNTech,58721300
2021-07-08,Germany,Pfizer/BioNTech,59387868
2021-07-09,Germany,Pfizer/BioNTech,59960906
2021-07-10,Germany,Pfizer/BioNTech,60183351
2021-07-11,Germany,Pfizer/BioNTech,60325952
2020-12-27,Germany,Moderna,2
2020-12-28,Germany,Moderna,2
2020-12-29,Germany,Moderna,2
2020-12-30,Germany,Moderna,2
2020-12-31,Germany,Moderna,2
2021-01-01,Germany,Moderna,7
2021-01-02,Germany,Moderna,7
