location,date,vaccine,total_vaccinations
Hungary,2021-01-01,Pfizer/BioNTech,1093
Hungary,2021-01-08,Pfizer/BioNTech,72027
Hungary,2021-01-15,Moderna,3059
Hungary,2021-01-15,Pfizer/BioNTech,120689
Hungary,2021-01-22,Moderna,3130
Hungary,2021-01-22,Pfizer/BioNTech,153234
Hungary,2021-01-29,Moderna,3342
Hungary,2021-01-29,Pfizer/BioNTech,300409
Hungary,2021-02-05,Moderna,14571
Hungary,2021-02-05,Oxford/AstraZeneca,0
Hungary,2021-02-05,Pfizer/BioNTech,383313
Hungary,2021-02-05,Sputnik V,0
Hungary,2021-02-12,Moderna,17536
Hungary,2021-02-12,Oxford/AstraZeneca,20288
Hungary,2021-02-12,Pfizer/BioNTech,441117
Hungary,2021-02-12,Sputnik V,2438
Hungary,2021-02-19,Moderna,21309
Hungary,2021-02-19,Oxford/AstraZeneca,44002
Hungary,2021-02-19,Pfizer/BioNTech,579603
Hungary,2021-02-19,Sinopharm/Beijing,0
Hungary,2021-02-19,Sputnik V,18637
Hungary,2021-02-26,Moderna,22631
Hungary,2021-02-26,Oxford/AstraZeneca,86075
Hungary,2021-02-26,Pfizer/BioNTech,667613
Hungary,2021-02-26,Sinopharm/Beijing,163412
Hungary,2021-02-26,Sputnik V,19506
Hungary,2021-03-05,Moderna,59469
Hungary,2021-03-05,Oxford/AstraZeneca,102715
Hungary,2021-03-05,Pfizer/BioNTech,774908
Hungary,2021-03-05,Sinopharm/Beijing,371192
Hungary,2021-03-05,Sputnik V,22902
Hungary,2021-03-12,Moderna,74732
Hungary,2021-03-12,Oxford/AstraZeneca,239643
Hungary,2021-03-12,Pfizer/BioNTech,894469
Hungary,2021-03-12,Sinopharm/Beijing,495384
Hungary,2021-03-12,Sputnik V,55257
Hungary,2021-03-19,Moderna,79425
Hungary,2021-03-19,Oxford/AstraZeneca,298931
Hungary,2021-03-19,Pfizer/BioNTech,1058097
Hungary,2021-03-19,Sinopharm/Beijing,508083
Hungary,2021-03-19,Sputnik V,144078
Hungary,2021-03-26,Moderna,84511
Hungary,2021-03-26,Oxford/AstraZeneca,398569
Hungary,2021-03-26,Pfizer/BioNTech,1215063
Hungary,2021-03-26,Sinopharm/Beijing,691033
Hungary,2021-03-26,Sputnik V,234773
Hungary,2021-04-02,Moderna,150530
Hungary,2021-04-02,Oxford/AstraZeneca,428285
Hungary,2021-04-02,Pfizer/BioNTech,1432169
Hungary,2021-04-02,Sinopharm/Beijing,890379
Hungary,2021-04-02,Sputnik V,389622
Hungary,2021-04-09,Moderna,204559
Hungary,2021-04-09,Oxford/AstraZeneca,591410
Hungary,2021-04-09,Pfizer/BioNTech,1637091
Hungary,2021-04-09,Sinopharm/Beijing,1017878
Hungary,2021-04-09,Sputnik V,679033
Hungary,2021-04-16,Johnson&Johnson,0
Hungary,2021-04-16,Moderna,207239
Hungary,2021-04-16,Oxford/AstraZeneca,638288
Hungary,2021-04-16,Pfizer/BioNTech,1853078
Hungary,2021-04-16,Sinopharm/Beijing,1035228
Hungary,2021-04-16,Sputnik V,929007
Hungary,2021-04-23,Johnson&Johnson,0
Hungary,2021-04-23,Moderna,270264
Hungary,2021-04-23,Oxford/AstraZeneca,664407
Hungary,2021-04-23,Pfizer/BioNTech,2174117
Hungary,2021-04-23,Sinopharm/Beijing,1056605
Hungary,2021-04-23,Sputnik V,1102288
Hungary,2021-04-30,Johnson&Johnson,0
Hungary,2021-04-30,Moderna,315987
Hungary,2021-04-30,Oxford/AstraZeneca,670180
Hungary,2021-04-30,Pfizer/BioNTech,2452747
Hungary,2021-04-30,Sinopharm/Beijing,1404748
Hungary,2021-04-30,Sputnik V,1309529
Hungary,2021-05-07,Johnson&Johnson,3081
Hungary,2021-05-07,Moderna,360163
Hungary,2021-05-07,Oxford/AstraZeneca,719967
Hungary,2021-05-07,Pfizer/BioNTech,2701762
Hungary,2021-05-07,Sinopharm/Beijing,1478679
Hungary,2021-05-07,Sputnik V,1530434
Hungary,2021-05-14,Johnson&Johnson,20377
Hungary,2021-05-14,Moderna,402017
Hungary,2021-05-14,Oxford/AstraZeneca,757659
Hungary,2021-05-14,Pfizer/BioNTech,2918154
Hungary,2021-05-14,Sinopharm/Beijing,1530501
Hungary,2021-05-14,Sputnik V,1622155
Hungary,2021-05-21,Johnson&Johnson,48446
Hungary,2021-05-21,Moderna,489223
Hungary,2021-05-21,Oxford/AstraZeneca,782271
Hungary,2021-05-21,Pfizer/BioNTech,3316610
Hungary,2021-05-21,Sinopharm/Beijing,1572306
Hungary,2021-05-21,Sputnik V,1646453
Hungary,2021-05-28,Johnson&Johnson,60705
Hungary,2021-05-28,Moderna,525242
Hungary,2021-05-28,Oxford/AstraZeneca,811579
Hungary,2021-05-28,Pfizer/BioNTech,3569958
Hungary,2021-05-28,Sinopharm/Beijing,1875595
Hungary,2021-05-28,Sputnik V,1709341
Hungary,2021-06-04,Johnson&Johnson,73856
Hungary,2021-06-04,Moderna,545714
Hungary,2021-06-04,Oxford/AstraZeneca,925394
Hungary,2021-06-04,Pfizer/BioNTech,3755960
Hungary,2021-06-04,Sinopharm/Beijing,1956369
Hungary,2021-06-04,Sputnik V,1764044
Hungary,2021-06-11,Johnson&Johnson,83405
Hungary,2021-06-11,Moderna,590189
