date,vaccine,total_vaccinations,location
2020-12-28,Pfizer/BioNTech,1.0,Iceland
2020-12-29,Pfizer/BioNTech,2524.0,Iceland
2020-12-30,Pfizer/BioNTech,4940.0,Iceland
2020-12-31,Pfizer/BioNTech,4940.0,Iceland
2021-01-01,Pfizer/BioNTech,4940.0,Iceland
2021-01-02,Pfizer/BioNTech,4940.0,Iceland
2021-01-03,Pfizer/BioNTech,4940.0,Iceland
2021-01-04,Pfizer/BioNTech,4940.0,Iceland
2021-01-05,Pfizer/BioNTech,4947.0,Iceland
2021-01-06,Pfizer/BioNTech,4947.0,Iceland
2021-01-07,Pfizer/BioNTech,4947.0,Iceland
2021-01-08,Pfizer/BioNTech,4947.0,Iceland
2021-01-09,Pfizer/BioNTech,4947.0,Iceland
2021-01-10,Pfizer/BioNTech,4947.0,Iceland
2021-01-11,Pfizer/BioNTech,4947.0,Iceland
2021-01-12,Pfizer/BioNTech,4947.0,Iceland
2021-01-13,Pfizer/BioNTech,4947.0,Iceland
2021-01-14,Pfizer/BioNTech,4947.0,Iceland
2021-01-15,Pfizer/BioNTech,4947.0,Iceland
2021-01-16,Pfizer/BioNTech,4947.0,Iceland
2021-01-17,Pfizer/BioNTech,4947.0,Iceland
2021-01-18,Pfizer/BioNTech,4979.0,Iceland
2021-01-19,Pfizer/BioNTech,6073.0,Iceland
2021-01-20,Pfizer/BioNTech,7835.0,Iceland
2021-01-21,Pfizer/BioNTech,11611.0,Iceland
2021-01-22,Pfizer/BioNTech,13502.0,Iceland
2021-01-23,Pfizer/BioNTech,14051.0,Iceland
2021-01-24,Pfizer/BioNTech,14051.0,Iceland
2021-01-25,Pfizer/BioNTech,14207.0,Iceland
2021-01-26,Pfizer/BioNTech,14314.0,Iceland
2021-01-27,Pfizer/BioNTech,14328.0,Iceland
2021-01-28,Pfizer/BioNTech,14329.0,Iceland
2021-01-29,Pfizer/BioNTech,14330.0,Iceland
2021-01-30,Pfizer/BioNTech,14330.0,Iceland
2021-01-31,Pfizer/BioNTech,14330.0,Iceland
2021-02-01,Pfizer/BioNTech,14767.0,Iceland
2021-02-02,Pfizer/BioNTech,15780.0,Iceland
2021-02-03,Pfizer/BioNTech,16309.0,Iceland
2021-02-04,Pfizer/BioNTech,16348.0,Iceland
2021-02-05,Pfizer/BioNTech,16372.0,Iceland
2021-02-06,Pfizer/BioNTech,16492.0,Iceland
2021-02-07,Pfizer/BioNTech,16492.0,Iceland
2021-02-08,Pfizer/BioNTech,16492.0,Iceland
2021-02-09,Pfizer/BioNTech,16492.0,Iceland
2021-02-10,Pfizer/BioNTech,16493.0,Iceland
2021-02-11,Pfizer/BioNTech,16494.0,Iceland
2021-02-12,Pfizer/BioNTech,16508.0,Iceland
2021-02-13,Pfizer/BioNTech,16508.0,Iceland
2021-02-14,Pfizer/BioNTech,16508.0,Iceland
2021-02-15,Pfizer/BioNTech,16510.0,Iceland
2021-02-16,Pfizer/BioNTech,17805.0,Iceland
2021-02-17,Pfizer/BioNTech,20232.0,Iceland
2021-02-18,Pfizer/BioNTech,20682.0,Iceland
2021-02-19,Pfizer/BioNTech,20866.0,Iceland
2021-02-20,Pfizer/BioNTech,21216.0,Iceland
2021-02-21,Pfizer/BioNTech,21216.0,Iceland
2021-02-22,Pfizer/BioNTech,21242.0,Iceland
2021-02-23,Pfizer/BioNTech,22615.0,Iceland
2021-02-24,Pfizer/BioNTech,23926.0,Iceland
2021-02-25,Pfizer/BioNTech,24444.0,Iceland
2021-02-26,Pfizer/BioNTech,24602.0,Iceland
2021-02-27,Pfizer/BioNTech,24761.0,Iceland
2021-02-28,Pfizer/BioNTech,24761.0,Iceland
2021-03-01,Pfizer/BioNTech,24761.0,Iceland
2021-03-02,Pfizer/BioNTech,27118.0,Iceland
2021-03-03,Pfizer/BioNTech,29871.0,Iceland
2021-03-04,Pfizer/BioNTech,30054.0,Iceland
2021-03-05,Pfizer/BioNTech,30054.0,Iceland
2021-03-06,Pfizer/BioNTech,30054.0,Iceland
2021-03-07,Pfizer/BioNTech,30054.0,Iceland
2021-03-08,Pfizer/BioNTech,30056.0,Iceland
2021-03-09,Pfizer/BioNTech,32732.0,Iceland
2021-03-10,Pfizer/BioNTech,33318.0,Iceland
2021-03-11,Pfizer/BioNTech,33745.0,Iceland
2021-03-12,Pfizer/BioNTech,33940.0,Iceland
2021-03-13,Pfizer/BioNTech,33940.0,Iceland
2021-03-14,Pfizer/BioNTech,33940.0,Iceland
2021-03-15,Pfizer/BioNTech,33960.0,Iceland
2021-03-16,Pfizer/BioNTech,37193.0,Iceland
2021-03-17,Pfizer/BioNTech,37721.0,Iceland
2021-03-18,Pfizer/BioNTech,38763.0,Iceland
2021-03-19,Pfizer/BioNTech,38950.0,Iceland
2021-03-20,Pfizer/BioNTech,38950.0,Iceland
2021-03-21,Pfizer/BioNTech,38951.0,Iceland
2021-03-22,Pfizer/BioNTech,40596.0,Iceland
2021-03-23,Pfizer/BioNTech,43554.0,Iceland
2021-03-24,Pfizer/BioNTech,43999.0,Iceland
2021-03-25,Pfizer/BioNTech,44444.0,Iceland
2021-03-26,Pfizer/BioNTech,44875.0,Iceland
2021-03-27,Pfizer/BioNTech,45260.0,Iceland
2021-03-28,Pfizer/BioNTech,45592.0,Iceland
2021-03-29,Pfizer/BioNTech,46452.0,Iceland
2021-03-30,Pfizer/BioNTech,49953.0,Iceland
2021-03-31,Pfizer/BioNTech,50796.0,Iceland
2021-04-01,Pfizer/BioNTech,50797.0,Iceland
2021-04-02,Pfizer/BioNTech,50798.0,Iceland
2021-04-03,Pfizer/BioNTech,50798.0,Iceland
2021-04-04,Pfizer/BioNTech,50799.0,Iceland
2021-04-05,Pfizer/BioNTech,50799.0,Iceland
2021-04-06,Pfizer/BioNTech,50801.0,Iceland
2021-04-07,Pfizer/BioNTech,55098.0,Iceland
2021-04-08,Pfizer/BioNTech,57437.0,Iceland
2021-04-09,Pfizer/BioNTech,57934.0,Iceland
2021-04-10,Pfizer/BioNTech,57952.0,Iceland
2021-04-11,Pfizer/BioNTech,57953.0,Iceland
2021-04-12,Pfizer/BioNTech,57955.0,Iceland
2021-04-13,Pfizer/BioNTech,64142.0,Iceland
2021-04-14,Pfizer/BioNTech,65625.0,Iceland
2021-04-15,Pfizer/BioNTech,66822.0,Iceland
2021-04-16,Pfizer/BioNTech,67658.0,Iceland
2021-04-17,Pfizer/BioNTech,68007.0,Iceland
2021-04-18,Pfizer/BioNTech,68326.0,Iceland
2021-04-19,Pfizer/BioNTech,68786.0,Iceland
2021-04-20,Pfizer/BioNTech,75488.0,Iceland
2021-04-21,Pfizer/BioNTech,77156.0,Iceland
2021-04-22,Pfizer/BioNTech,77158.0,Iceland
2021-04-23,Pfizer/BioNTech,77606.0,Iceland
2021-04-24,Pfizer/BioNTech,77606.0,Iceland
2021-04-25,Pfizer/BioNTech,77606.0,Iceland
2021-04-26,Pfizer/BioNTech,77606.0,Iceland
2021-04-27,Pfizer/BioNTech,84992.0,Iceland
2021-04-28,Pfizer/BioNTech,86505.0,Iceland
2021-04-29,Pfizer/BioNTech,88119.0,Iceland
2021-04-30,Pfizer/BioNTech,88204.0,Iceland
2021-05-01,Pfizer/BioNTech,88394.0,Iceland
2021-05-02,Pfizer/BioNTech,88395.0,Iceland
2021-05-03,Pfizer/BioNTech,88401.0,Iceland
2021-05-04,Pfizer/BioNTech,99369.0,Iceland
2021-05-05,Pfizer/BioNTech,102318.0,Iceland
2021-05-06,Pfizer/BioNTech,104519.0,Iceland
2021-05-07,Pfizer/BioNTech,104553.0,Iceland
2021-05-08,Pfizer/BioNTech,104555.0,Iceland
2021-05-09,Pfizer/BioNTech,104556.0,Iceland
2021-05-10,Pfizer/BioNTech,104586.0,Iceland
2021-05-11,Pfizer/BioNTech,114634.0,Iceland
2021-05-12,Pfizer/BioNTech,117431.0,Iceland
2021-05-13,Pfizer/BioNTech,117433.0,Iceland
