location,date,vaccine,total_vaccinations
Ireland,2021-01-01,Pfizer/BioNTech,0
Ireland,2021-01-08,Moderna,0
Ireland,2021-01-08,Pfizer/BioNTech,50381
Ireland,2021-01-15,Moderna,1907
Ireland,2021-01-15,Oxford/AstraZeneca,0
Ireland,2021-01-15,Pfizer/BioNTech,97033
Ireland,2021-01-22,Moderna,1919
Ireland,2021-01-22,Oxford/AstraZeneca,0
Ireland,2021-01-22,Pfizer/BioNTech,144907
Ireland,2021-01-29,Moderna,1922
Ireland,2021-01-29,Oxford/AstraZeneca,0
Ireland,2021-01-29,Pfizer/BioNTech,196775
Ireland,2021-02-05,Moderna,1927
Ireland,2021-02-05,Oxford/AstraZeneca,14
Ireland,2021-02-05,Pfizer/BioNTech,248846
Ireland,2021-02-12,Moderna,4312
Ireland,2021-02-12,Oxford/AstraZeneca,17637
Ireland,2021-02-12,Pfizer/BioNTech,260373
Ireland,2021-02-19,Moderna,5566
Ireland,2021-02-19,Oxford/AstraZeneca,38241
Ireland,2021-02-19,Pfizer/BioNTech,322919
Ireland,2021-02-26,Moderna,9774
Ireland,2021-02-26,Oxford/AstraZeneca,72124
Ireland,2021-02-26,Pfizer/BioNTech,372395
Ireland,2021-03-05,Moderna,16477
Ireland,2021-03-05,Oxford/AstraZeneca,99790
Ireland,2021-03-05,Pfizer/BioNTech,423372
Ireland,2021-03-12,Moderna,20285
Ireland,2021-03-12,Oxford/AstraZeneca,132656
Ireland,2021-03-12,Pfizer/BioNTech,475431
Ireland,2021-03-19,Moderna,22097
Ireland,2021-03-19,Oxford/AstraZeneca,135932
Ireland,2021-03-19,Pfizer/BioNTech,535833
Ireland,2021-03-26,Moderna,29514
Ireland,2021-03-26,Oxford/AstraZeneca,173644
Ireland,2021-03-26,Pfizer/BioNTech,620685
Ireland,2021-04-02,Moderna,41522
Ireland,2021-04-02,Oxford/AstraZeneca,208467
Ireland,2021-04-02,Pfizer/BioNTech,708698
Ireland,2021-04-09,Moderna,49636
Ireland,2021-04-09,Oxford/AstraZeneca,239727
Ireland,2021-04-09,Pfizer/BioNTech,797352
Ireland,2021-04-16,Johnson&Johnson,0
Ireland,2021-04-16,Moderna,54328
Ireland,2021-04-16,Oxford/AstraZeneca,248070
Ireland,2021-04-16,Pfizer/BioNTech,933427
Ireland,2021-04-23,Johnson&Johnson,0
Ireland,2021-04-23,Moderna,67354
Ireland,2021-04-23,Oxford/AstraZeneca,305641
Ireland,2021-04-23,Pfizer/BioNTech,1054854
Ireland,2021-04-30,Johnson&Johnson,0
Ireland,2021-04-30,Moderna,81272
Ireland,2021-04-30,Oxford/AstraZeneca,388780
Ireland,2021-04-30,Pfizer/BioNTech,1166616
Ireland,2021-05-07,Johnson&Johnson,263
Ireland,2021-05-07,Moderna,90838
Ireland,2021-05-07,Oxford/AstraZeneca,514731
Ireland,2021-05-07,Pfizer/BioNTech,1277584
Ireland,2021-05-14,Johnson&Johnson,1042
Ireland,2021-05-14,Moderna,116548
Ireland,2021-05-14,Oxford/AstraZeneca,593995
Ireland,2021-05-14,Pfizer/BioNTech,1484372
Ireland,2021-05-21,Johnson&Johnson,40100
Ireland,2021-05-21,Moderna,155546
Ireland,2021-05-21,Oxford/AstraZeneca,608487
Ireland,2021-05-21,Pfizer/BioNTech,1700850
Ireland,2021-05-28,Johnson&Johnson,57462
Ireland,2021-05-28,Moderna,191249
Ireland,2021-05-28,Oxford/AstraZeneca,658500
Ireland,2021-05-28,Pfizer/BioNTech,1886536
Ireland,2021-06-04,Johnson&Johnson,70520
Ireland,2021-06-04,Moderna,230219
Ireland,2021-06-04,Oxford/AstraZeneca,695165
Ireland,2021-06-04,Pfizer/BioNTech,2051220
Ireland,2021-06-11,Johnson&Johnson,71782
Ireland,2021-06-11,Moderna,269942
Ireland,2021-06-11,Oxford/AstraZeneca,712434
Ireland,2021-06-11,Pfizer/BioNTech,2271990
Ireland,2021-06-18,Johnson&Johnson,71981
Ireland,2021-06-18,Moderna,312933
Ireland,2021-06-18,Oxford/AstraZeneca,805758
Ireland,2021-06-18,Pfizer/BioNTech,2483826
Ireland,2021-06-25,Johnson&Johnson,72008
Ireland,2021-06-25,Moderna,352067
Ireland,2021-06-25,Oxford/AstraZeneca,915091
Ireland,2021-06-25,Pfizer/BioNTech,2689862
Ireland,2021-07-02,Johnson&Johnson,72047
Ireland,2021-07-02,Moderna,397784
Ireland,2021-07-02,Oxford/AstraZeneca,1018848
Ireland,2021-07-02,Pfizer/BioNTech,2885326
Ireland,2021-07-06,Johnson&Johnson,72047
Ireland,2021-07-06,Moderna,403349
Ireland,2021-07-06,Oxford/AstraZeneca,1030597
Ireland,2021-07-06,Pfizer/BioNTech,2914930
