date,vaccine,total_vaccinations,location
2020-12-27,Pfizer/BioNTech,7221,Italy
2020-12-28,Pfizer/BioNTech,8654,Italy
2020-12-29,Pfizer/BioNTech,9671,Italy
2020-12-30,Pfizer/BioNTech,14406,Italy
2020-12-31,Pfizer/BioNTech,39875,Italy
2021-01-01,Pfizer/BioNTech,50945,Italy
2021-01-02,Pfizer/BioNTech,89476,Italy
2021-01-03,Pfizer/BioNTech,124751,Italy
2021-01-04,Pfizer/BioNTech,193692,Italy
2021-01-04,Johnson&Johnson,1,Italy
2021-01-05,Pfizer/BioNTech,273451,Italy
2021-01-06,Moderna,1,Italy
2021-01-06,Pfizer/BioNTech,338472,Italy
2021-01-07,Pfizer/BioNTech,430593,Italy
2021-01-08,Moderna,3,Italy
2021-01-08,Pfizer/BioNTech,526217,Italy
2021-01-09,Pfizer/BioNTech,613152,Italy
2021-01-10,Pfizer/BioNTech,673468,Italy
2021-01-11,Pfizer/BioNTech,754627,Italy
2021-01-12,Pfizer/BioNTech,836993,Italy
2021-01-13,Moderna,4,Italy
2021-01-13,Pfizer/BioNTech,931737,Italy
2021-01-14,Moderna,88,Italy
2021-01-14,Pfizer/BioNTech,1025734,Italy
2021-01-15,Moderna,1184,Italy
2021-01-15,Oxford/AstraZeneca,1,Italy
2021-01-15,Pfizer/BioNTech,1114478,Italy
2021-01-16,Moderna,2130,Italy
2021-01-16,Pfizer/BioNTech,1178606,Italy
2021-01-17,Pfizer/BioNTech,1215508,Italy
2021-01-17,Moderna,2423,Italy
2021-01-18,Moderna,3643,Italy
2021-01-18,Pfizer/BioNTech,1258234,Italy
2021-01-19,Moderna,5916,Italy
2021-01-19,Pfizer/BioNTech,1289086,Italy
2021-01-20,Moderna,9345,Italy
2021-01-20,Pfizer/BioNTech,1316600,Italy
2021-01-21,Moderna,12137,Italy
2021-01-21,Pfizer/BioNTech,1349603,Italy
2021-01-22,Pfizer/BioNTech,1374552,Italy
2021-01-22,Moderna,13894,Italy
2021-01-22,Oxford/AstraZeneca,3,Italy
2021-01-23,Moderna,14895,Italy
2021-01-23,Pfizer/BioNTech,1412582,Italy
2021-01-24,Moderna,15682,Italy
2021-01-24,Pfizer/BioNTech,1445650,Italy
2021-01-25,Moderna,16278,Italy
2021-01-25,Pfizer/BioNTech,1514075,Italy
2021-01-26,Moderna,16995,Italy
2021-01-26,Pfizer/BioNTech,1593651,Italy
2021-01-27,Pfizer/BioNTech,1663664,Italy
2021-01-27,Moderna,17612,Italy
2021-01-28,Moderna,18380,Italy
2021-01-28,Pfizer/BioNTech,1756376,Italy
2021-01-29,Moderna,19186,Italy
2021-01-29,Pfizer/BioNTech,1853380,Italy
2021-01-30,Moderna,19651,Italy
2021-01-30,Oxford/AstraZeneca,4,Italy
2021-01-30,Pfizer/BioNTech,1943090,Italy
2021-01-31,Pfizer/BioNTech,2002429,Italy
2021-01-31,Moderna,19844,Italy
2021-01-31,Oxford/AstraZeneca,5,Italy
2021-02-01,Moderna,20390,Italy
2021-02-01,Oxford/AstraZeneca,6,Italy
2021-02-01,Pfizer/BioNTech,2087375,Italy
2021-02-02,Moderna,21497,Italy
2021-02-02,Oxford/AstraZeneca,32,Italy
2021-02-02,Pfizer/BioNTech,2174039,Italy
2021-02-03,Moderna,22888,Italy
2021-02-03,Pfizer/BioNTech,2272262,Italy
2021-02-04,Moderna,24495,Italy
2021-02-04,Oxford/AstraZeneca,33,Italy
2021-02-04,Pfizer/BioNTech,2378464,Italy
2021-02-05,Oxford/AstraZeneca,35,Italy
2021-02-05,Moderna,27683,Italy
2021-02-05,Pfizer/BioNTech,2482289,Italy
2021-02-06,Pfizer/BioNTech,2557669,Italy
2021-02-06,Moderna,29749,Italy
2021-02-07,Pfizer/BioNTech,2598912,Italy
2021-02-07,Moderna,30329,Italy
2021-02-07,Oxford/AstraZeneca,37,Italy
2021-02-08,Moderna,32942,Italy
2021-02-08,Oxford/AstraZeneca,38,Italy
2021-02-08,Pfizer/BioNTech,2662945,Italy
2021-02-09,Moderna,36287,Italy
2021-02-09,Oxford/AstraZeneca,39,Italy
2021-02-09,Pfizer/BioNTech,2726330,Italy
2021-02-10,Pfizer/BioNTech,2796249,Italy
2021-02-10,Oxford/AstraZeneca,41,Italy
2021-02-10,Moderna,39102,Italy
2021-02-11,Moderna,42228,Italy
2021-02-11,Oxford/AstraZeneca,2943,Italy
2021-02-11,Pfizer/BioNTech,2864831,Italy
2021-02-12,Moderna,46339,Italy
2021-02-12,Oxford/AstraZeneca,7698,Italy
2021-02-12,Pfizer/BioNTech,2929882,Italy
2021-02-13,Oxford/AstraZeneca,12985,Italy
2021-02-13,Pfizer/BioNTech,2973299,Italy
2021-02-13,Moderna,50255,Italy
2021-02-14,Moderna,51761,Italy
2021-02-14,Oxford/AstraZeneca,20139,Italy
2021-02-14,Pfizer/BioNTech,2994496,Italy
2021-02-15,Moderna,55961,Italy
2021-02-15,Oxford/AstraZeneca,27042,Italy
2021-02-15,Pfizer/BioNTech,3045900,Italy
2021-02-16,Pfizer/BioNTech,3100836,Italy
2021-02-16,Oxford/AstraZeneca,36358,Italy
2021-02-16,Moderna,62736,Italy
2021-02-17,Moderna,70486,Italy
2021-02-17,Oxford/AstraZeneca,49061,Italy
2021-02-17,Pfizer/BioNTech,3160582,Italy
2021-02-18,Moderna,77515,Italy
2021-02-18,Oxford/AstraZeneca,66493,Italy
2021-02-18,Pfizer/BioNTech,3225681,Italy
2021-02-19,Oxford/AstraZeneca,85835,Italy
2021-02-19,Pfizer/BioNTech,3292094,Italy
2021-02-19,Moderna,84471,Italy
2021-02-20,Pfizer/BioNTech,3344565,Italy
2021-02-20,Oxford/AstraZeneca,105151,Italy
2021-02-20,Moderna,90831,Italy
2021-02-21,Moderna,96303,Italy
2021-02-21,Oxford/AstraZeneca,115828,Italy
2021-02-21,Pfizer/BioNTech,3379428,Italy
2021-02-22,Moderna,102404,Italy
2021-02-22,Oxford/AstraZeneca,139244,Italy
2021-02-22,Pfizer/BioNTech,3455405,Italy
2021-02-23,Pfizer/BioNTech,3531736,Italy
2021-02-23,Oxford/AstraZeneca,164049,Italy
2021-02-23,Moderna,107702,Italy
2021-02-24,Moderna,113953,Italy
2021-02-24,Oxford/AstraZeneca,191419,Italy
2021-02-24,Pfizer/BioNTech,3620045,Italy
2021-02-25,Moderna,120127,Italy
2021-02-25,Oxford/AstraZeneca,223158,Italy
2021-02-25,Pfizer/BioNTech,3710277,Italy
2021-02-26,Pfizer/BioNTech,3802284,Italy
2021-02-26,Oxford/AstraZeneca,263370,Italy
2021-02-26,Moderna,125925,Italy
2021-02-27,Moderna,132984,Italy
2021-02-27,Oxford/AstraZeneca,308150,Italy
2021-02-27,Pfizer/BioNTech,3877095,Italy
2021-02-28,Moderna,135747,Italy
2021-02-28,Oxford/AstraZeneca,334819,Italy
2021-02-28,Pfizer/BioNTech,3925987,Italy
2021-03-01,Moderna,142752,Italy
2021-03-01,Oxford/AstraZeneca,374970,Italy
2021-03-01,Pfizer/BioNTech,4014240,Italy
2021-03-02,Pfizer/BioNTech,4112344,Italy
2021-03-02,Moderna,150254,Italy
2021-03-02,Oxford/AstraZeneca,431231,Italy
2021-03-03,Oxford/AstraZeneca,489235,Italy
2021-03-03,Pfizer/BioNTech,4231353,Italy
2021-03-03,Moderna,160156,Italy
2021-03-04,Oxford/AstraZeneca,550136,Italy
2021-03-04,Pfizer/BioNTech,4357194,Italy
2021-03-04,Moderna,171151,Italy
2021-03-05,Pfizer/BioNTech,4484419,Italy
2021-03-05,Oxford/AstraZeneca,616540,Italy
2021-03-05,Moderna,183343,Italy
2021-03-06,Moderna,196565,Italy
2021-03-06,Oxford/AstraZeneca,680074,Italy
2021-03-06,Pfizer/BioNTech,4585151,Italy
2021-03-07,Moderna,204402,Italy
2021-03-07,Oxford/AstraZeneca,716677,Italy
2021-03-07,Pfizer/BioNTech,4643346,Italy
2021-03-08,Pfizer/BioNTech,4752249,Italy
2021-03-08,Oxford/AstraZeneca,776640,Italy
2021-03-08,Moderna,216691,Italy
2021-03-09,Moderna,229348,Italy
2021-03-09,Oxford/AstraZeneca,839631,Italy
2021-03-09,Pfizer/BioNTech,4871371,Italy
2021-03-10,Moderna,240463,Italy
2021-03-10,Oxford/AstraZeneca,906262,Italy
2021-03-10,Pfizer/BioNTech,5008909,Italy
2021-03-11,Oxford/AstraZeneca,977821,Italy
