location,date,vaccine,total_vaccinations
Japan,2021-02-17,Pfizer/BioNTech,125.0
Japan,2021-02-18,Pfizer/BioNTech,611.0
Japan,2021-02-19,Pfizer/BioNTech,5039.0
Japan,2021-02-22,Pfizer/BioNTech,11934.0
Japan,2021-02-24,Pfizer/BioNTech,17888.0
Japan,2021-02-25,Pfizer/BioNTech,21896.0
Japan,2021-02-26,Pfizer/BioNTech,28530.0
Japan,2021-03-01,Pfizer/BioNTech,31785.0
Japan,2021-03-02,Pfizer/BioNTech,34772.0
Japan,2021-03-03,Pfizer/BioNTech,37303.0
Japan,2021-03-04,Pfizer/BioNTech,39174.0
Japan,2021-03-05,Pfizer/BioNTech,46469.0
Japan,2021-03-08,Pfizer/BioNTech,70796.0
Japan,2021-03-09,Pfizer/BioNTech,107558.0
Japan,2021-03-10,Pfizer/BioNTech,148950.0
Japan,2021-03-11,Pfizer/BioNTech,181184.0
Japan,2021-03-12,Pfizer/BioNTech,230542.0
Japan,2021-03-15,Pfizer/BioNTech,290275.0
Japan,2021-03-16,Pfizer/BioNTech,359191.0
Japan,2021-03-17,Pfizer/BioNTech,437485.0
Japan,2021-03-18,Pfizer/BioNTech,508702.0
Japan,2021-03-19,Pfizer/BioNTech,578835.0
Japan,2021-03-22,Pfizer/BioNTech,652698.0
Japan,2021-03-23,Pfizer/BioNTech,699126.0
Japan,2021-03-24,Pfizer/BioNTech,741180.0
Japan,2021-03-25,Pfizer/BioNTech,775122.0
Japan,2021-03-26,Pfizer/BioNTech,822869.0
Japan,2021-03-29,Pfizer/BioNTech,890662.0
Japan,2021-03-30,Pfizer/BioNTech,949731.0
Japan,2021-03-31,Pfizer/BioNTech,1002739.0
Japan,2021-04-01,Pfizer/BioNTech,1050112.0
Japan,2021-04-02,Pfizer/BioNTech,1096698.0
Japan,2021-04-05,Pfizer/BioNTech,1196884.0
Japan,2021-04-06,Pfizer/BioNTech,1288566.0
Japan,2021-04-07,Pfizer/BioNTech,1393108.0
Japan,2021-04-08,Pfizer/BioNTech,1487606.0
Japan,2021-04-09,Pfizer/BioNTech,1592517.0
Japan,2021-04-12,Pfizer/BioNTech,1693423.0
Japan,2021-04-13,Pfizer/BioNTech,1750930.0
Japan,2021-04-14,Pfizer/BioNTech,1805847.0
Japan,2021-04-15,Pfizer/BioNTech,1865220.0
Japan,2021-04-16,Pfizer/BioNTech,1942149.0
Japan,2021-04-17,Pfizer/BioNTech,1948410.0
Japan,2021-04-18,Pfizer/BioNTech,1955908.0
Japan,2021-04-19,Pfizer/BioNTech,2096798.0
Japan,2021-04-20,Pfizer/BioNTech,2256085.0
Japan,2021-04-21,Pfizer/BioNTech,2447341.0
Japan,2021-04-22,Pfizer/BioNTech,2634664.0
Japan,2021-04-23,Pfizer/BioNTech,2843589.0
Japan,2021-04-24,Pfizer/BioNTech,2865890.0
Japan,2021-04-25,Pfizer/BioNTech,2885790.0
Japan,2021-04-26,Pfizer/BioNTech,3188668.0
Japan,2021-04-27,Pfizer/BioNTech,3444143.0
Japan,2021-04-28,Pfizer/BioNTech,3735858.0
Japan,2021-04-29,Pfizer/BioNTech,3750603.0
Japan,2021-04-30,Pfizer/BioNTech,4065420.0
Japan,2021-05-01,Pfizer/BioNTech,4095053.0
Japan,2021-05-02,Pfizer/BioNTech,4117407.0
Japan,2021-05-03,Pfizer/BioNTech,4124485.0
Japan,2021-05-04,Pfizer/BioNTech,4132292.0
Japan,2021-05-05,Pfizer/BioNTech,4141950.0
Japan,2021-05-06,Pfizer/BioNTech,4516037.0
Japan,2021-05-07,Pfizer/BioNTech,4697865.0
Japan,2021-05-08,Pfizer/BioNTech,4756679.0
Japan,2021-05-09,Pfizer/BioNTech,4833079.0
Japan,2021-05-10,Pfizer/BioNTech,5162592.0
Japan,2021-05-11,Pfizer/BioNTech,5470092.0
Japan,2021-05-12,Pfizer/BioNTech,5825404.0
Japan,2021-05-13,Pfizer/BioNTech,6214040.0
Japan,2021-05-14,Pfizer/BioNTech,6597621.0
Japan,2021-05-15,Pfizer/BioNTech,6746470.0
Japan,2021-05-16,Pfizer/BioNTech,6946143.0
Japan,2021-05-17,Pfizer/BioNTech,7521503.0
Japan,2021-05-18,Pfizer/BioNTech,8045880.0
Japan,2021-05-19,Pfizer/BioNTech,8639803.0
Japan,2021-05-20,Pfizer/BioNTech,9143475.0
Japan,2021-05-21,Pfizer/BioNTech,9679630.0
Japan,2021-05-22,Pfizer/BioNTech,9979777.0
Japan,2021-05-23,Pfizer/BioNTech,10316680.0
Japan,2021-05-24,Pfizer/BioNTech,11064966.0
Japan,2021-05-24,Moderna,10092.0
Japan,2021-05-25,Pfizer/BioNTech,11686625.0
Japan,2021-05-25,Moderna,20350.0
Japan,2021-05-26,Moderna,31978.0
Japan,2021-05-26,Pfizer/BioNTech,12368619.0
Japan,2021-05-27,Pfizer/BioNTech,13058731.0
Japan,2021-05-27,Moderna,44401.0
Japan,2021-05-28,Pfizer/BioNTech,13738292.0
Japan,2021-05-28,Moderna,58816.0
Japan,2021-05-29,Pfizer/BioNTech,14225111.0
Japan,2021-05-29,Moderna,74337.0
Japan,2021-05-30,Pfizer/BioNTech,14719854.0
Japan,2021-05-30,Moderna,90258.0
Japan,2021-05-31,Pfizer/BioNTech,15562341.0
Japan,2021-05-31,Moderna,109147.0
Japan,2021-06-01,Moderna,128451.0
Japan,2021-06-01,Pfizer/BioNTech,16382570.0
Japan,2021-06-02,Pfizer/BioNTech,17250656.0
Japan,2021-06-02,Moderna,148371.0
Japan,2021-06-03,Pfizer/BioNTech,18107188.0
Japan,2021-06-03,Moderna,168462.0
Japan,2021-06-04,Pfizer/BioNTech,18938652.0
Japan,2021-06-04,Moderna,189583.0
Japan,2021-06-05,Pfizer/BioNTech,19613304.0
Japan,2021-06-05,Moderna,209945.0
Japan,2021-06-06,Moderna,232706.0
Japan,2021-06-06,Pfizer/BioNTech,20303865.0
Japan,2021-06-07,Moderna,263714.0
Japan,2021-06-07,Pfizer/BioNTech,21281155.0
Japan,2021-06-08,Pfizer/BioNTech,22263404.0
Japan,2021-06-08,Moderna,293775.0
Japan,2021-06-09,Pfizer/BioNTech,23288267.0
Japan,2021-06-09,Moderna,321739.0
Japan,2021-06-10,Pfizer/BioNTech,24279650.0
Japan,2021-06-10,Moderna,351919.0
Japan,2021-06-11,Pfizer/BioNTech,25245663.0
Japan,2021-06-11,Moderna,382128.0
Japan,2021-06-12,Pfizer/BioNTech,26068790.0
Japan,2021-06-12,Moderna,414845.0
Japan,2021-06-13,Moderna,448366.0
Japan,2021-06-13,Pfizer/BioNTech,26891238.0
Japan,2021-06-14,Pfizer/BioNTech,27963074.0
Japan,2021-06-14,Moderna,482015.0
Japan,2021-06-15,Pfizer/BioNTech,29027197.0
Japan,2021-06-15,Moderna,510743.0
Japan,2021-06-16,Pfizer/BioNTech,30130372.0
Japan,2021-06-16,Moderna,540008.0
Japan,2021-06-17,Pfizer/BioNTech,31234215.0
Japan,2021-06-17,Moderna,573250.0
Japan,2021-06-18,Pfizer/BioNTech,32278961.0
Japan,2021-06-18,Moderna,603753.0
Japan,2021-06-19,Moderna,639624.0
Japan,2021-06-19,Pfizer/BioNTech,33211473.0
Japan,2021-06-20,Pfizer/BioNTech,34155737.0
Japan,2021-06-20,Moderna,675566.0
Japan,2021-06-21,Pfizer/BioNTech,35264722.0
Japan,2021-06-21,Moderna,719926.0
Japan,2021-06-22,Pfizer/BioNTech,36358582.0
Japan,2021-06-22,Moderna,758614.0
Japan,2021-06-23,Pfizer/BioNTech,37487162.0
