location,date,vaccine,total_vaccinations
Latvia,2020-12-04,Moderna,1
Latvia,2020-12-16,Pfizer/BioNTech,1
Latvia,2020-12-20,Moderna,4
Latvia,2020-12-21,Pfizer/BioNTech,2
Latvia,2020-12-22,Pfizer/BioNTech,4
Latvia,2020-12-24,Pfizer/BioNTech,5
Latvia,2020-12-27,Pfizer/BioNTech,6
Latvia,2020-12-28,Pfizer/BioNTech,606
Latvia,2020-12-29,Moderna,5
Latvia,2020-12-29,Pfizer/BioNTech,1480
Latvia,2020-12-30,Pfizer/BioNTech,2276
Latvia,2020-12-31,Moderna,6
Latvia,2020-12-31,Pfizer/BioNTech,2278
Latvia,2021-01-02,Pfizer/BioNTech,2279
Latvia,2021-01-03,Pfizer/BioNTech,2280
Latvia,2021-01-04,Pfizer/BioNTech,2981
Latvia,2021-01-05,Pfizer/BioNTech,3872
Latvia,2021-01-06,Moderna,7
Latvia,2021-01-06,Pfizer/BioNTech,4649
Latvia,2021-01-07,Pfizer/BioNTech,5461
Latvia,2021-01-08,Pfizer/BioNTech,6371
Latvia,2021-01-09,Pfizer/BioNTech,6676
Latvia,2021-01-10,Pfizer/BioNTech,7012
Latvia,2021-01-11,Moderna,8
Latvia,2021-01-11,Pfizer/BioNTech,8379
Latvia,2021-01-12,Pfizer/BioNTech,10009
Latvia,2021-01-13,Johnson&Johnson,1
Latvia,2021-01-13,Moderna,139
Latvia,2021-01-13,Pfizer/BioNTech,11392
Latvia,2021-01-14,Moderna,563
Latvia,2021-01-14,Oxford/AstraZeneca,1
Latvia,2021-01-14,Pfizer/BioNTech,12797
Latvia,2021-01-15,Moderna,925
Latvia,2021-01-15,Pfizer/BioNTech,14311
Latvia,2021-01-16,Moderna,955
Latvia,2021-01-16,Pfizer/BioNTech,14952
Latvia,2021-01-17,Pfizer/BioNTech,15070
Latvia,2021-01-18,Moderna,1099
Latvia,2021-01-18,Pfizer/BioNTech,15778
Latvia,2021-01-19,Moderna,1161
Latvia,2021-01-19,Pfizer/BioNTech,16596
Latvia,2021-01-20,Moderna,1171
Latvia,2021-01-20,Pfizer/BioNTech,17366
Latvia,2021-01-21,Moderna,1172
Latvia,2021-01-21,Pfizer/BioNTech,17650
Latvia,2021-01-22,Moderna,1192
Latvia,2021-01-22,Pfizer/BioNTech,17850
Latvia,2021-01-23,Pfizer/BioNTech,17978
Latvia,2021-01-24,Pfizer/BioNTech,17979
Latvia,2021-01-25,Oxford/AstraZeneca,2
Latvia,2021-01-25,Pfizer/BioNTech,18649
Latvia,2021-01-26,Moderna,1205
Latvia,2021-01-26,Pfizer/BioNTech,19494
Latvia,2021-01-27,Moderna,1212
Latvia,2021-01-27,Pfizer/BioNTech,20319
Latvia,2021-01-28,Moderna,1213
Latvia,2021-01-28,Pfizer/BioNTech,21103
Latvia,2021-01-29,Moderna,1224
Latvia,2021-01-29,Pfizer/BioNTech,22059
Latvia,2021-01-30,Moderna,1225
Latvia,2021-01-30,Pfizer/BioNTech,22368
Latvia,2021-01-31,Pfizer/BioNTech,22707
Latvia,2021-02-01,Moderna,1226
Latvia,2021-02-01,Pfizer/BioNTech,23899
Latvia,2021-02-02,Moderna,1349
Latvia,2021-02-02,Oxford/AstraZeneca,3
Latvia,2021-02-02,Pfizer/BioNTech,25598
Latvia,2021-02-03,Moderna,1570
Latvia,2021-02-03,Pfizer/BioNTech,27004
Latvia,2021-02-04,Moderna,1681
Latvia,2021-02-04,Pfizer/BioNTech,28403
Latvia,2021-02-05,Moderna,1771
Latvia,2021-02-05,Oxford/AstraZeneca,4
Latvia,2021-02-05,Pfizer/BioNTech,29983
Latvia,2021-02-06,Oxford/AstraZeneca,5
Latvia,2021-02-06,Pfizer/BioNTech,30553
Latvia,2021-02-07,Oxford/AstraZeneca,6
Latvia,2021-02-07,Pfizer/BioNTech,30680
Latvia,2021-02-08,Moderna,1812
Latvia,2021-02-08,Oxford/AstraZeneca,7
Latvia,2021-02-08,Pfizer/BioNTech,31051
Latvia,2021-02-09,Moderna,1832
Latvia,2021-02-09,Oxford/AstraZeneca,28
Latvia,2021-02-09,Pfizer/BioNTech,31196
Latvia,2021-02-10,Moderna,1963
Latvia,2021-02-10,Oxford/AstraZeneca,445
Latvia,2021-02-10,Pfizer/BioNTech,31291
Latvia,2021-02-11,Moderna,2348
Latvia,2021-02-11,Oxford/AstraZeneca,1541
Latvia,2021-02-11,Pfizer/BioNTech,31603
Latvia,2021-02-12,Moderna,2692
Latvia,2021-02-12,Oxford/AstraZeneca,2713
Latvia,2021-02-12,Pfizer/BioNTech,31832
Latvia,2021-02-13,Moderna,2742
Latvia,2021-02-13,Oxford/AstraZeneca,2936
Latvia,2021-02-13,Pfizer/BioNTech,31961
Latvia,2021-02-14,Moderna,2762
Latvia,2021-02-14,Oxford/AstraZeneca,2937
Latvia,2021-02-14,Pfizer/BioNTech,31963
Latvia,2021-02-15,Moderna,2915
Latvia,2021-02-15,Oxford/AstraZeneca,3636
Latvia,2021-02-15,Pfizer/BioNTech,31991
Latvia,2021-02-16,Moderna,3135
Latvia,2021-02-16,Oxford/AstraZeneca,4786
Latvia,2021-02-16,Pfizer/BioNTech,32012
Latvia,2021-02-17,Moderna,3264
Latvia,2021-02-17,Oxford/AstraZeneca,6504
Latvia,2021-02-17,Pfizer/BioNTech,32173
Latvia,2021-02-18,Moderna,3502
Latvia,2021-02-18,Oxford/AstraZeneca,7760
Latvia,2021-02-18,Pfizer/BioNTech,32233
Latvia,2021-02-19,Moderna,3710
Latvia,2021-02-19,Oxford/AstraZeneca,8874
Latvia,2021-02-19,Pfizer/BioNTech,32290
Latvia,2021-02-20,Moderna,3730
Latvia,2021-02-20,Oxford/AstraZeneca,9599
Latvia,2021-02-20,Pfizer/BioNTech,32291
Latvia,2021-02-21,Moderna,3731
Latvia,2021-02-21,Oxford/AstraZeneca,10408
Latvia,2021-02-21,Pfizer/BioNTech,32294
Latvia,2021-02-22,Moderna,3975
Latvia,2021-02-22,Oxford/AstraZeneca,11919
Latvia,2021-02-22,Pfizer/BioNTech,32329
Latvia,2021-02-23,Moderna,4198
Latvia,2021-02-23,Oxford/AstraZeneca,14071
Latvia,2021-02-23,Pfizer/BioNTech,32360
Latvia,2021-02-24,Moderna,4352
