location,date,vaccine,total_vaccinations
Liechtenstein,2021-02-09,Moderna,368
Liechtenstein,2021-02-09,Pfizer/BioNTech,797
Liechtenstein,2021-02-16,Moderna,888
Liechtenstein,2021-02-16,Pfizer/BioNTech,917
Liechtenstein,2021-02-23,Moderna,1256
Liechtenstein,2021-02-23,Pfizer/BioNTech,1333
Liechtenstein,2021-03-02,Moderna,1256
Liechtenstein,2021-03-02,Pfizer/BioNTech,1862
Liechtenstein,2021-03-09,Moderna,1904
Liechtenstein,2021-03-09,Pfizer/BioNTech,1862
Liechtenstein,2021-03-16,Moderna,2423
Liechtenstein,2021-03-16,Pfizer/BioNTech,1912
Liechtenstein,2021-03-23,Moderna,2423
Liechtenstein,2021-03-23,Pfizer/BioNTech,3036
Liechtenstein,2021-03-30,Moderna,2912
Liechtenstein,2021-03-30,Pfizer/BioNTech,3561
Liechtenstein,2021-04-06,Moderna,3822
Liechtenstein,2021-04-06,Pfizer/BioNTech,3561
Liechtenstein,2021-04-13,Moderna,4361
Liechtenstein,2021-04-13,Pfizer/BioNTech,4468
Liechtenstein,2021-04-20,Moderna,5199
Liechtenstein,2021-04-20,Pfizer/BioNTech,6227
Liechtenstein,2021-04-27,Moderna,6198
Liechtenstein,2021-04-27,Pfizer/BioNTech,6769
Liechtenstein,2021-05-04,Moderna,7569
Liechtenstein,2021-05-04,Pfizer/BioNTech,6769
Liechtenstein,2021-05-11,Moderna,8669
Liechtenstein,2021-05-11,Pfizer/BioNTech,7633
Liechtenstein,2021-05-18,Moderna,8959
Liechtenstein,2021-05-18,Pfizer/BioNTech,7901
Liechtenstein,2021-05-25,Moderna,10327
Liechtenstein,2021-05-25,Pfizer/BioNTech,8736
Liechtenstein,2021-06-01,Moderna,13100
Liechtenstein,2021-06-01,Pfizer/BioNTech,8736
