location,date,vaccine,total_vaccinations
Malta,2020-12-29,Pfizer/BioNTech,57
Malta,2021-01-05,Pfizer/BioNTech,4805
Malta,2021-01-12,Pfizer/BioNTech,11613
Malta,2021-01-19,Pfizer/BioNTech,20351
Malta,2021-01-26,Pfizer/BioNTech,28117
Malta,2021-02-02,Moderna,49
Malta,2021-02-02,Pfizer/BioNTech,41225
Malta,2021-02-09,Moderna,440
Malta,2021-02-09,Oxford/AstraZeneca,162
Malta,2021-02-09,Pfizer/BioNTech,53413
Malta,2021-02-16,Moderna,795
Malta,2021-02-16,Oxford/AstraZeneca,1782
Malta,2021-02-16,Pfizer/BioNTech,63829
Malta,2021-02-23,Moderna,920
Malta,2021-02-23,Oxford/AstraZeneca,7868
Malta,2021-02-23,Pfizer/BioNTech,77205
Malta,2021-03-02,Moderna,969
Malta,2021-03-02,Oxford/AstraZeneca,13025
Malta,2021-03-02,Pfizer/BioNTech,84814
Malta,2021-03-09,Moderna,981
Malta,2021-03-09,Oxford/AstraZeneca,16201
Malta,2021-03-09,Pfizer/BioNTech,97164
Malta,2021-03-16,Moderna,2491
Malta,2021-03-16,Oxford/AstraZeneca,22541
Malta,2021-03-16,Pfizer/BioNTech,108748
Malta,2021-03-23,Moderna,7311
Malta,2021-03-23,Oxford/AstraZeneca,26031
Malta,2021-03-23,Pfizer/BioNTech,123890
Malta,2021-03-30,Moderna,8760
Malta,2021-03-30,Oxford/AstraZeneca,36533
Malta,2021-03-30,Pfizer/BioNTech,141796
Malta,2021-04-06,Moderna,9320
Malta,2021-04-06,Oxford/AstraZeneca,46635
Malta,2021-04-06,Pfizer/BioNTech,159846
Malta,2021-04-13,Moderna,12794
Malta,2021-04-13,Oxford/AstraZeneca,57394
Malta,2021-04-13,Pfizer/BioNTech,184137
Malta,2021-04-20,Moderna,18146
Malta,2021-04-20,Oxford/AstraZeneca,71998
Malta,2021-04-20,Pfizer/BioNTech,199313
Malta,2021-04-27,Moderna,19451
Malta,2021-04-27,Oxford/AstraZeneca,78057
Malta,2021-04-27,Pfizer/BioNTech,223256
Malta,2021-05-04,Moderna,21473
Malta,2021-05-04,Oxford/AstraZeneca,83875
Malta,2021-05-04,Pfizer/BioNTech,255616
Malta,2021-05-11,Moderna,24240
Malta,2021-05-11,Oxford/AstraZeneca,98030
Malta,2021-05-11,Pfizer/BioNTech,282313
Malta,2021-05-18,Moderna,27127
Malta,2021-05-18,Oxford/AstraZeneca,113753
Malta,2021-05-18,Pfizer/BioNTech,316755
Malta,2021-05-25,Moderna,30114
Malta,2021-05-25,Oxford/AstraZeneca,123235
Malta,2021-05-25,Pfizer/BioNTech,345558
Malta,2021-06-01,Johnson&Johnson,258
Malta,2021-06-01,Moderna,32096
Malta,2021-06-01,Oxford/AstraZeneca,129669
Malta,2021-06-01,Pfizer/BioNTech,368789
Malta,2021-06-08,Johnson&Johnson,1716
Malta,2021-06-08,Moderna,34186
Malta,2021-06-08,Oxford/AstraZeneca,137145
Malta,2021-06-08,Pfizer/BioNTech,382995
