location,date,vaccine,total_vaccinations
Poland,2021-01-01,Johnson&Johnson,0
Poland,2021-01-01,Moderna,0
Poland,2021-01-01,Oxford/AstraZeneca,0
Poland,2021-01-01,Pfizer/BioNTech,2216
Poland,2021-01-08,Johnson&Johnson,0
Poland,2021-01-08,Moderna,0
Poland,2021-01-08,Oxford/AstraZeneca,1
Poland,2021-01-08,Pfizer/BioNTech,213501
Poland,2021-01-15,Johnson&Johnson,0
Poland,2021-01-15,Moderna,2
Poland,2021-01-15,Oxford/AstraZeneca,4
Poland,2021-01-15,Pfizer/BioNTech,487277
Poland,2021-01-22,Johnson&Johnson,0
Poland,2021-01-22,Moderna,7
Poland,2021-01-22,Oxford/AstraZeneca,7
Poland,2021-01-22,Pfizer/BioNTech,731291
Poland,2021-01-29,Johnson&Johnson,0
Poland,2021-01-29,Moderna,4394
Poland,2021-01-29,Oxford/AstraZeneca,7
Poland,2021-01-29,Pfizer/BioNTech,1200800
Poland,2021-02-05,Johnson&Johnson,0
Poland,2021-02-05,Moderna,9202
Poland,2021-02-05,Oxford/AstraZeneca,8
Poland,2021-02-05,Pfizer/BioNTech,1692928
Poland,2021-02-12,Johnson&Johnson,0
Poland,2021-02-12,Moderna,22916
Poland,2021-02-12,Oxford/AstraZeneca,21515
Poland,2021-02-12,Pfizer/BioNTech,2134607
Poland,2021-02-19,Johnson&Johnson,0
Poland,2021-02-19,Moderna,71507
Poland,2021-02-19,Oxford/AstraZeneca,129291
Poland,2021-02-19,Pfizer/BioNTech,2574717
Poland,2021-02-26,Johnson&Johnson,0
Poland,2021-02-26,Moderna,130987
Poland,2021-02-26,Oxford/AstraZeneca,289230
Poland,2021-02-26,Pfizer/BioNTech,2973895
Poland,2021-03-05,Johnson&Johnson,0
Poland,2021-03-05,Moderna,202825
Poland,2021-03-05,Oxford/AstraZeneca,475379
Poland,2021-03-05,Pfizer/BioNTech,3353114
Poland,2021-03-12,Johnson&Johnson,0
Poland,2021-03-12,Moderna,247994
Poland,2021-03-12,Oxford/AstraZeneca,596226
Poland,2021-03-12,Pfizer/BioNTech,3729705
Poland,2021-03-19,Johnson&Johnson,3
Poland,2021-03-19,Moderna,294663
Poland,2021-03-19,Oxford/AstraZeneca,655772
Poland,2021-03-19,Pfizer/BioNTech,4117230
Poland,2021-03-26,Johnson&Johnson,3
Poland,2021-03-26,Moderna,376408
Poland,2021-03-26,Oxford/AstraZeneca,980589
Poland,2021-03-26,Pfizer/BioNTech,4580725
Poland,2021-04-02,Johnson&Johnson,12
Poland,2021-04-02,Moderna,442032
Poland,2021-04-02,Oxford/AstraZeneca,1278448
Poland,2021-04-02,Pfizer/BioNTech,5005897
Poland,2021-04-09,Johnson&Johnson,20
Poland,2021-04-09,Moderna,517169
Poland,2021-04-09,Oxford/AstraZeneca,1621469
Poland,2021-04-09,Pfizer/BioNTech,5618837
Poland,2021-04-16,Johnson&Johnson,23189
Poland,2021-04-16,Moderna,652458
Poland,2021-04-16,Oxford/AstraZeneca,1879621
Poland,2021-04-16,Pfizer/BioNTech,6401158
Poland,2021-04-23,Johnson&Johnson,76426
Poland,2021-04-23,Moderna,890615
Poland,2021-04-23,Oxford/AstraZeneca,2044544
Poland,2021-04-23,Pfizer/BioNTech,7369984
Poland,2021-04-30,Johnson&Johnson,125305
Poland,2021-04-30,Moderna,1067159
Poland,2021-04-30,Oxford/AstraZeneca,2173906
Poland,2021-04-30,Pfizer/BioNTech,8682282
Poland,2021-05-07,Johnson&Johnson,170111
Poland,2021-05-07,Moderna,1295256
Poland,2021-05-07,Oxford/AstraZeneca,2500433
Poland,2021-05-07,Pfizer/BioNTech,9908404
Poland,2021-05-14,Johnson&Johnson,275315
Poland,2021-05-14,Moderna,1520583
Poland,2021-05-14,Oxford/AstraZeneca,2844495
Poland,2021-05-14,Pfizer/BioNTech,11361940
Poland,2021-05-21,Johnson&Johnson,407936
Poland,2021-05-21,Moderna,1807641
Poland,2021-05-21,Oxford/AstraZeneca,3129851
Poland,2021-05-21,Pfizer/BioNTech,12695324
Poland,2021-05-28,Johnson&Johnson,596767
Poland,2021-05-28,Moderna,2085111
Poland,2021-05-28,Oxford/AstraZeneca,3347612
Poland,2021-05-28,Pfizer/BioNTech,13957401
Poland,2021-06-04,Johnson&Johnson,704819
Poland,2021-06-04,Moderna,2275475
Poland,2021-06-04,Oxford/AstraZeneca,3458646
Poland,2021-06-04,Pfizer/BioNTech,15776490
Poland,2021-06-11,Johnson&Johnson,787072
Poland,2021-06-11,Moderna,2501813
Poland,2021-06-11,Oxford/AstraZeneca,3828863
Poland,2021-06-11,Pfizer/BioNTech,17538480
Poland,2021-06-18,Johnson&Johnson,856157
Poland,2021-06-18,Moderna,2695057
Poland,2021-06-18,Oxford/AstraZeneca,4181727
Poland,2021-06-18,Pfizer/BioNTech,18960075
Poland,2021-06-25,Johnson&Johnson,921831
Poland,2021-06-25,Moderna,2873105
Poland,2021-06-25,Oxford/AstraZeneca,4597494
Poland,2021-06-25,Pfizer/BioNTech,20164674
Poland,2021-07-02,Johnson&Johnson,997449
Poland,2021-07-02,Moderna,2958230
Poland,2021-07-02,Oxford/AstraZeneca,4883043
Poland,2021-07-02,Pfizer/BioNTech,21272018
Poland,2021-07-06,Johnson&Johnson,1038983
Poland,2021-07-06,Moderna,2975938
Poland,2021-07-06,Oxford/AstraZeneca,4988272
Poland,2021-07-06,Pfizer/BioNTech,22044322
