location,date,vaccine,total_vaccinations
Portugal,2021-01-01,Pfizer/BioNTech,4987
Portugal,2021-01-08,Johnson&Johnson,3
Portugal,2021-01-08,Moderna,5
Portugal,2021-01-08,Oxford/AstraZeneca,2
Portugal,2021-01-08,Pfizer/BioNTech,83775
Portugal,2021-01-15,Moderna,1466
Portugal,2021-01-15,Oxford/AstraZeneca,13
Portugal,2021-01-15,Pfizer/BioNTech,132861
Portugal,2021-01-22,Moderna,2986
Portugal,2021-01-22,Oxford/AstraZeneca,33
Portugal,2021-01-22,Pfizer/BioNTech,285405
Portugal,2021-01-29,Moderna,3511
Portugal,2021-01-29,Oxford/AstraZeneca,71
Portugal,2021-01-29,Pfizer/BioNTech,371867
Portugal,2021-02-05,Johnson&Johnson,6
Portugal,2021-02-05,Moderna,10550
Portugal,2021-02-05,Oxford/AstraZeneca,131
Portugal,2021-02-05,Pfizer/BioNTech,425791
Portugal,2021-02-12,Moderna,13436
Portugal,2021-02-12,Oxford/AstraZeneca,9591
Portugal,2021-02-12,Pfizer/BioNTech,552985
Portugal,2021-02-19,Moderna,24934
Portugal,2021-02-19,Oxford/AstraZeneca,51416
Portugal,2021-02-19,Pfizer/BioNTech,652799
Portugal,2021-02-26,Moderna,28849
Portugal,2021-02-26,Oxford/AstraZeneca,112600
Portugal,2021-02-26,Pfizer/BioNTech,784664
Portugal,2021-03-05,Johnson&Johnson,18
Portugal,2021-03-05,Moderna,56730
Portugal,2021-03-05,Oxford/AstraZeneca,151964
Portugal,2021-03-05,Pfizer/BioNTech,889244
Portugal,2021-03-12,Johnson&Johnson,31
Portugal,2021-03-12,Moderna,61089
Portugal,2021-03-12,Oxford/AstraZeneca,203831
Portugal,2021-03-12,Pfizer/BioNTech,979530
Portugal,2021-03-19,Johnson&Johnson,40
Portugal,2021-03-19,Moderna,87445
Portugal,2021-03-19,Oxford/AstraZeneca,227111
Portugal,2021-03-19,Pfizer/BioNTech,1120752
Portugal,2021-03-26,Johnson&Johnson,52
Portugal,2021-03-26,Moderna,99226
Portugal,2021-03-26,Oxford/AstraZeneca,342444
Portugal,2021-03-26,Pfizer/BioNTech,1271191
Portugal,2021-04-02,Johnson&Johnson,77
Portugal,2021-04-02,Moderna,130431
Portugal,2021-04-02,Oxford/AstraZeneca,394833
Portugal,2021-04-02,Pfizer/BioNTech,1408976
Portugal,2021-04-09,Johnson&Johnson,131
Portugal,2021-04-09,Moderna,168411
Portugal,2021-04-09,Oxford/AstraZeneca,447329
Portugal,2021-04-09,Pfizer/BioNTech,1627440
Portugal,2021-04-16,Johnson&Johnson,137
Portugal,2021-04-16,Moderna,199115
Portugal,2021-04-16,Oxford/AstraZeneca,613689
Portugal,2021-04-16,Pfizer/BioNTech,1909353
Portugal,2021-04-23,Johnson&Johnson,140
Portugal,2021-04-23,Moderna,216412
Portugal,2021-04-23,Oxford/AstraZeneca,692064
Portugal,2021-04-23,Pfizer/BioNTech,2162529
Portugal,2021-04-30,Johnson&Johnson,1471
Portugal,2021-04-30,Moderna,245214
Portugal,2021-04-30,Oxford/AstraZeneca,798713
Portugal,2021-04-30,Pfizer/BioNTech,2460273
Portugal,2021-05-07,Johnson&Johnson,13855
Portugal,2021-05-07,Moderna,301563
Portugal,2021-05-07,Oxford/AstraZeneca,943221
Portugal,2021-05-07,Pfizer/BioNTech,2835149
Portugal,2021-05-14,Johnson&Johnson,31640
Portugal,2021-05-14,Moderna,375336
Portugal,2021-05-14,Oxford/AstraZeneca,1066841
Portugal,2021-05-14,Pfizer/BioNTech,3212296
Portugal,2021-05-21,Johnson&Johnson,55519
Portugal,2021-05-21,Moderna,435748
Portugal,2021-05-21,Oxford/AstraZeneca,1185291
Portugal,2021-05-21,Pfizer/BioNTech,3532637
Portugal,2021-05-28,Johnson&Johnson,104841
Portugal,2021-05-28,Moderna,512022
Portugal,2021-05-28,Oxford/AstraZeneca,1236240
Portugal,2021-05-28,Pfizer/BioNTech,3914301
Portugal,2021-06-04,Johnson&Johnson,161194
Portugal,2021-06-04,Moderna,582693
Portugal,2021-06-04,Oxford/AstraZeneca,1281408
Portugal,2021-06-04,Pfizer/BioNTech,4307858
Portugal,2021-06-11,Johnson&Johnson,189168
Portugal,2021-06-11,Moderna,683516
Portugal,2021-06-11,Oxford/AstraZeneca,1305296
Portugal,2021-06-11,Pfizer/BioNTech,4761749
Portugal,2021-06-18,Johnson&Johnson,224371
Portugal,2021-06-18,Moderna,757781
Portugal,2021-06-18,Oxford/AstraZeneca,1387655
Portugal,2021-06-18,Pfizer/BioNTech,5296926
Portugal,2021-06-25,Johnson&Johnson,267403
Portugal,2021-06-25,Moderna,832802
Portugal,2021-06-25,Oxford/AstraZeneca,1480247
Portugal,2021-06-25,Pfizer/BioNTech,5800860
Portugal,2021-07-02,Johnson&Johnson,290233
Portugal,2021-07-02,Moderna,901551
Portugal,2021-07-02,Oxford/AstraZeneca,1664412
Portugal,2021-07-02,Pfizer/BioNTech,6336154
Portugal,2021-07-09,Johnson&Johnson,327679
Portugal,2021-07-09,Moderna,990145
Portugal,2021-07-09,Oxford/AstraZeneca,1914441
Portugal,2021-07-09,Pfizer/BioNTech,7004138
Portugal,2021-07-16,Johnson&Johnson,441882
Portugal,2021-07-16,Moderna,1140615
Portugal,2021-07-16,Oxford/AstraZeneca,2000139
Portugal,2021-07-16,Pfizer/BioNTech,7410373
