location,date,vaccine,total_vaccinations
Slovakia,2021-01-01,Pfizer/BioNTech,0
Slovakia,2021-01-08,Pfizer/BioNTech,28667
Slovakia,2021-01-15,Moderna,0
Slovakia,2021-01-15,Pfizer/BioNTech,61195
Slovakia,2021-01-22,Moderna,0
Slovakia,2021-01-22,Pfizer/BioNTech,99011
Slovakia,2021-01-29,Moderna,69
Slovakia,2021-01-29,Pfizer/BioNTech,145095
Slovakia,2021-02-05,Moderna,1654
Slovakia,2021-02-05,Oxford/AstraZeneca,0
Slovakia,2021-02-05,Pfizer/BioNTech,210820
Slovakia,2021-02-12,Moderna,6466
Slovakia,2021-02-12,Oxford/AstraZeneca,12782
Slovakia,2021-02-12,Pfizer/BioNTech,274559
Slovakia,2021-02-19,Moderna,18242
Slovakia,2021-02-19,Oxford/AstraZeneca,27067
Slovakia,2021-02-19,Pfizer/BioNTech,320319
Slovakia,2021-02-26,Moderna,22507
Slovakia,2021-02-26,Oxford/AstraZeneca,47886
Slovakia,2021-02-26,Pfizer/BioNTech,371532
Slovakia,2021-03-05,Moderna,24601
Slovakia,2021-03-05,Oxford/AstraZeneca,89598
Slovakia,2021-03-05,Pfizer/BioNTech,424184
Slovakia,2021-03-05,Sputnik V,0
Slovakia,2021-03-12,Moderna,29518
Slovakia,2021-03-12,Oxford/AstraZeneca,132438
Slovakia,2021-03-12,Pfizer/BioNTech,481156
Slovakia,2021-03-12,Sputnik V,0
Slovakia,2021-03-19,Moderna,41477
Slovakia,2021-03-19,Oxford/AstraZeneca,178946
Slovakia,2021-03-19,Pfizer/BioNTech,554269
Slovakia,2021-03-19,Sputnik V,0
Slovakia,2021-03-26,Moderna,55879
Slovakia,2021-03-26,Oxford/AstraZeneca,216307
Slovakia,2021-03-26,Pfizer/BioNTech,632761
Slovakia,2021-03-26,Sputnik V,0
Slovakia,2021-04-02,Moderna,66938
Slovakia,2021-04-02,Oxford/AstraZeneca,244349
Slovakia,2021-04-02,Pfizer/BioNTech,698602
Slovakia,2021-04-02,Sputnik V,0
Slovakia,2021-04-09,Moderna,79142
Slovakia,2021-04-09,Oxford/AstraZeneca,294277
Slovakia,2021-04-09,Pfizer/BioNTech,770971
Slovakia,2021-04-09,Sputnik V,0
Slovakia,2021-04-16,Johnson&Johnson,0
Slovakia,2021-04-16,Moderna,97953
Slovakia,2021-04-16,Oxford/AstraZeneca,346299
Slovakia,2021-04-16,Pfizer/BioNTech,853971
Slovakia,2021-04-16,Sputnik V,0
Slovakia,2021-04-23,Johnson&Johnson,0
Slovakia,2021-04-23,Moderna,119621
Slovakia,2021-04-23,Oxford/AstraZeneca,390865
Slovakia,2021-04-23,Pfizer/BioNTech,938640
Slovakia,2021-04-23,Sputnik V,0
Slovakia,2021-04-30,Johnson&Johnson,0
Slovakia,2021-04-30,Moderna,141480
Slovakia,2021-04-30,Oxford/AstraZeneca,425833
Slovakia,2021-04-30,Pfizer/BioNTech,1049365
Slovakia,2021-04-30,Sputnik V,0
Slovakia,2021-05-07,Johnson&Johnson,0
Slovakia,2021-05-07,Moderna,169090
Slovakia,2021-05-07,Oxford/AstraZeneca,460347
Slovakia,2021-05-07,Pfizer/BioNTech,1185217
Slovakia,2021-05-07,Sputnik V,0
Slovakia,2021-05-14,Johnson&Johnson,0
Slovakia,2021-05-14,Moderna,199124
Slovakia,2021-05-14,Oxford/AstraZeneca,500309
Slovakia,2021-05-14,Pfizer/BioNTech,1348982
Slovakia,2021-05-14,Sputnik V,0
Slovakia,2021-05-21,Johnson&Johnson,0
Slovakia,2021-05-21,Moderna,231744
Slovakia,2021-05-21,Oxford/AstraZeneca,547100
Slovakia,2021-05-21,Pfizer/BioNTech,1516829
Slovakia,2021-05-21,Sputnik V,0
Slovakia,2021-05-28,Johnson&Johnson,0
Slovakia,2021-05-28,Moderna,260617
Slovakia,2021-05-28,Oxford/AstraZeneca,587851
Slovakia,2021-05-28,Pfizer/BioNTech,1698841
Slovakia,2021-05-28,Sputnik V,0
Slovakia,2021-06-04,Johnson&Johnson,0
Slovakia,2021-06-04,Moderna,288640
Slovakia,2021-06-04,Oxford/AstraZeneca,629188
Slovakia,2021-06-04,Pfizer/BioNTech,1868743
Slovakia,2021-06-04,Sputnik V,0
Slovakia,2021-06-11,Johnson&Johnson,0
Slovakia,2021-06-11,Moderna,315668
Slovakia,2021-06-11,Oxford/AstraZeneca,661032
Slovakia,2021-06-11,Pfizer/BioNTech,2045081
Slovakia,2021-06-11,Sputnik V,4314
Slovakia,2021-06-18,Johnson&Johnson,0
Slovakia,2021-06-18,Moderna,327461
Slovakia,2021-06-18,Oxford/AstraZeneca,662751
Slovakia,2021-06-18,Pfizer/BioNTech,2112124
Slovakia,2021-06-18,Sputnik V,5619
