location,date,vaccine,total_vaccinations
Slovenia,2020-12-29,Pfizer/BioNTech,6105
Slovenia,2021-01-05,Pfizer/BioNTech,30138
Slovenia,2021-01-12,Pfizer/BioNTech,49103
Slovenia,2021-01-19,Moderna,510
Slovenia,2021-01-19,Pfizer/BioNTech,63563
Slovenia,2021-01-26,Pfizer/BioNTech,81276
Slovenia,2021-02-02,Moderna,929
Slovenia,2021-02-02,Pfizer/BioNTech,100426
Slovenia,2021-02-09,Moderna,3783
Slovenia,2021-02-09,Oxford/AstraZeneca,2130
Slovenia,2021-02-09,Pfizer/BioNTech,117337
Slovenia,2021-02-16,Moderna,4510
Slovenia,2021-02-16,Oxford/AstraZeneca,6072
Slovenia,2021-02-16,Pfizer/BioNTech,137587
Slovenia,2021-02-23,Moderna,4825
Slovenia,2021-02-23,Oxford/AstraZeneca,13740
Slovenia,2021-02-23,Pfizer/BioNTech,158140
Slovenia,2021-03-02,Moderna,8999
Slovenia,2021-03-02,Oxford/AstraZeneca,24388
Slovenia,2021-03-02,Pfizer/BioNTech,177434
Slovenia,2021-03-09,Moderna,11852
Slovenia,2021-03-09,Oxford/AstraZeneca,51962
Slovenia,2021-03-09,Pfizer/BioNTech,198741
Slovenia,2021-03-16,Moderna,17733
Slovenia,2021-03-16,Oxford/AstraZeneca,55232
Slovenia,2021-03-16,Pfizer/BioNTech,220091
Slovenia,2021-03-23,Moderna,20714
Slovenia,2021-03-23,Oxford/AstraZeneca,77340
Slovenia,2021-03-23,Pfizer/BioNTech,249096
Slovenia,2021-03-30,Moderna,38202
Slovenia,2021-03-30,Oxford/AstraZeneca,89456
Slovenia,2021-03-30,Pfizer/BioNTech,278818
Slovenia,2021-04-06,Moderna,41313
Slovenia,2021-04-06,Oxford/AstraZeneca,100936
Slovenia,2021-04-06,Pfizer/BioNTech,319451
Slovenia,2021-04-13,Moderna,52478
Slovenia,2021-04-13,Oxford/AstraZeneca,106648
Slovenia,2021-04-13,Pfizer/BioNTech,360644
Slovenia,2021-04-20,Moderna,59085
Slovenia,2021-04-20,Oxford/AstraZeneca,126082
Slovenia,2021-04-20,Pfizer/BioNTech,401526
Slovenia,2021-04-27,Johnson&Johnson,70
Slovenia,2021-04-27,Moderna,68077
Slovenia,2021-04-27,Oxford/AstraZeneca,129639
Slovenia,2021-04-27,Pfizer/BioNTech,447946
Slovenia,2021-05-04,Johnson&Johnson,1598
Slovenia,2021-05-04,Moderna,77354
Slovenia,2021-05-04,Oxford/AstraZeneca,140887
Slovenia,2021-05-04,Pfizer/BioNTech,522146
Slovenia,2021-05-11,Johnson&Johnson,9702
Slovenia,2021-05-11,Moderna,85429
Slovenia,2021-05-11,Oxford/AstraZeneca,161970
Slovenia,2021-05-11,Pfizer/BioNTech,581261
Slovenia,2021-05-18,Johnson&Johnson,15632
Slovenia,2021-05-18,Moderna,104496
Slovenia,2021-05-18,Oxford/AstraZeneca,191045
Slovenia,2021-05-18,Pfizer/BioNTech,637570
Slovenia,2021-05-25,Johnson&Johnson,20374
Slovenia,2021-05-25,Moderna,115083
Slovenia,2021-05-25,Oxford/AstraZeneca,214854
Slovenia,2021-05-25,Pfizer/BioNTech,694653
Slovenia,2021-06-01,Johnson&Johnson,31166
Slovenia,2021-06-01,Moderna,122512
Slovenia,2021-06-01,Oxford/AstraZeneca,241839
Slovenia,2021-06-01,Pfizer/BioNTech,776458
Slovenia,2021-06-08,Johnson&Johnson,36007
Slovenia,2021-06-08,Moderna,129809
Slovenia,2021-06-08,Oxford/AstraZeneca,264619
Slovenia,2021-06-08,Pfizer/BioNTech,850230
Slovenia,2021-06-15,Johnson&Johnson,41023
Slovenia,2021-06-15,Moderna,143885
Slovenia,2021-06-15,Oxford/AstraZeneca,277887
Slovenia,2021-06-15,Pfizer/BioNTech,882255
