location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-01-08,Moderna,0
Spain,2021-01-08,Oxford/AstraZeneca,0
Spain,2021-01-08,Pfizer/BioNTech,419262
Spain,2021-01-15,Johnson&Johnson,0
Spain,2021-01-15,Moderna,7240
Spain,2021-01-15,Oxford/AstraZeneca,0
Spain,2021-01-15,Pfizer/BioNTech,919557
Spain,2021-01-22,Johnson&Johnson,0
Spain,2021-01-22,Moderna,25636
Spain,2021-01-22,Oxford/AstraZeneca,0
Spain,2021-01-22,Pfizer/BioNTech,1241630
Spain,2021-01-29,Johnson&Johnson,0
Spain,2021-01-29,Moderna,29517
Spain,2021-01-29,Oxford/AstraZeneca,0
Spain,2021-01-29,Pfizer/BioNTech,1612327
Spain,2021-02-05,Johnson&Johnson,0
Spain,2021-02-05,Moderna,49735
Spain,2021-02-05,Oxford/AstraZeneca,0
Spain,2021-02-05,Pfizer/BioNTech,2109842
Spain,2021-02-12,Johnson&Johnson,0
Spain,2021-02-12,Moderna,98818
Spain,2021-02-12,Oxford/AstraZeneca,34573
Spain,2021-02-12,Pfizer/BioNTech,2503757
Spain,2021-02-19,Johnson&Johnson,0
Spain,2021-02-19,Moderna,138600
Spain,2021-02-19,Oxford/AstraZeneca,132174
Spain,2021-02-19,Pfizer/BioNTech,2888445
Spain,2021-02-26,Johnson&Johnson,0
Spain,2021-02-26,Moderna,152523
Spain,2021-02-26,Oxford/AstraZeneca,375200
Spain,2021-02-26,Pfizer/BioNTech,3394313
Spain,2021-03-05,Johnson&Johnson,0
Spain,2021-03-05,Moderna,199726
Spain,2021-03-05,Oxford/AstraZeneca,667846
Spain,2021-03-05,Pfizer/BioNTech,3956900
Spain,2021-03-12,Johnson&Johnson,0
Spain,2021-03-12,Moderna,257409
Spain,2021-03-12,Oxford/AstraZeneca,969417
Spain,2021-03-12,Pfizer/BioNTech,4523139
Spain,2021-03-19,Johnson&Johnson,0
Spain,2021-03-19,Moderna,344530
Spain,2021-03-19,Oxford/AstraZeneca,1006528
Spain,2021-03-19,Pfizer/BioNTech,5090210
Spain,2021-03-26,Johnson&Johnson,0
Spain,2021-03-26,Moderna,445505
Spain,2021-03-26,Oxford/AstraZeneca,1430415
Spain,2021-03-26,Pfizer/BioNTech,5786466
Spain,2021-04-02,Johnson&Johnson,0
Spain,2021-04-02,Moderna,547742
Spain,2021-04-02,Oxford/AstraZeneca,1943864
Spain,2021-04-02,Pfizer/BioNTech,6458640
Spain,2021-04-09,Johnson&Johnson,0
Spain,2021-04-09,Moderna,617173
Spain,2021-04-09,Oxford/AstraZeneca,2641481
Spain,2021-04-09,Pfizer/BioNTech,7690532
Spain,2021-04-16,Johnson&Johnson,0
Spain,2021-04-16,Moderna,790909
Spain,2021-04-16,Oxford/AstraZeneca,3175665
Spain,2021-04-16,Pfizer/BioNTech,8976751
Spain,2021-04-23,Johnson&Johnson,33934
Spain,2021-04-23,Moderna,961802
Spain,2021-04-23,Oxford/AstraZeneca,3572038
Spain,2021-04-23,Pfizer/BioNTech,10256306
Spain,2021-04-30,Johnson&Johnson,132017
Spain,2021-04-30,Moderna,1124371
Spain,2021-04-30,Oxford/AstraZeneca,3963570
Spain,2021-04-30,Pfizer/BioNTech,12025760
Spain,2021-05-07,Johnson&Johnson,192908
Spain,2021-05-07,Moderna,1336464
Spain,2021-05-07,Oxford/AstraZeneca,4599109
Spain,2021-05-07,Pfizer/BioNTech,13790163
Spain,2021-05-14,Johnson&Johnson,227269
Spain,2021-05-14,Moderna,1778451
Spain,2021-05-14,Oxford/AstraZeneca,4835802
Spain,2021-05-14,Pfizer/BioNTech,15555530
Spain,2021-05-21,Johnson&Johnson,324528
Spain,2021-05-21,Moderna,2145172
Spain,2021-05-21,Oxford/AstraZeneca,4946209
Spain,2021-05-21,Pfizer/BioNTech,17314890
Spain,2021-05-28,Johnson&Johnson,438893
Spain,2021-05-28,Moderna,2482751
Spain,2021-05-28,Oxford/AstraZeneca,5122647
Spain,2021-05-28,Pfizer/BioNTech,18952934
Spain,2021-06-04,Johnson&Johnson,625318
Spain,2021-06-04,Moderna,2750430
Spain,2021-06-04,Oxford/AstraZeneca,5493586
Spain,2021-06-04,Pfizer/BioNTech,21073110
Spain,2021-06-11,Johnson&Johnson,854397
Spain,2021-06-11,Moderna,3135865
Spain,2021-06-11,Oxford/AstraZeneca,5804889
Spain,2021-06-11,Pfizer/BioNTech,23481811
Spain,2021-06-18,Johnson&Johnson,1040470
Spain,2021-06-18,Moderna,3483687
Spain,2021-06-18,Oxford/AstraZeneca,6160685
Spain,2021-06-18,Pfizer/BioNTech,25794748
Spain,2021-06-25,Johnson&Johnson,1201479
Spain,2021-06-25,Moderna,3754218
Spain,2021-06-25,Oxford/AstraZeneca,6878055
Spain,2021-06-25,Pfizer/BioNTech,28254832
Spain,2021-07-02,Johnson&Johnson,1331391
Spain,2021-07-02,Moderna,4015194
Spain,2021-07-02,Oxford/AstraZeneca,7669518
Spain,2021-07-02,Pfizer/BioNTech,31001117
Spain,2021-07-09,Johnson&Johnson,1464233
Spain,2021-07-09,Moderna,4385724
Spain,2021-07-09,Oxford/AstraZeneca,8489430
Spain,2021-07-09,Pfizer/BioNTech,33342582
Spain,2021-07-13,Johnson&Johnson,1506881
Spain,2021-07-13,Moderna,4553795
Spain,2021-07-13,Oxford/AstraZeneca,8672575
Spain,2021-07-13,Pfizer/BioNTech,34068689
