location,date,vaccine,total_vaccinations
Sweden,2021-01-01,Pfizer/BioNTech,2323
Sweden,2021-01-08,Pfizer/BioNTech,51340
Sweden,2021-01-15,Moderna,93
Sweden,2021-01-15,Pfizer/BioNTech,128790
Sweden,2021-01-22,Moderna,5336
Sweden,2021-01-22,Pfizer/BioNTech,236520
Sweden,2021-01-29,Moderna,8082
Sweden,2021-01-29,Pfizer/BioNTech,322855
Sweden,2021-02-05,Moderna,12374
Sweden,2021-02-05,Oxford/AstraZeneca,0
Sweden,2021-02-05,Pfizer/BioNTech,417851
Sweden,2021-02-12,Moderna,23088
Sweden,2021-02-12,Oxford/AstraZeneca,8725
Sweden,2021-02-12,Pfizer/BioNTech,513756
Sweden,2021-02-19,Moderna,38794
Sweden,2021-02-19,Oxford/AstraZeneca,35935
Sweden,2021-02-19,Pfizer/BioNTech,621397
Sweden,2021-02-26,Moderna,48246
Sweden,2021-02-26,Oxford/AstraZeneca,74369
Sweden,2021-02-26,Pfizer/BioNTech,726244
Sweden,2021-03-05,Moderna,61336
Sweden,2021-03-05,Oxford/AstraZeneca,141235
Sweden,2021-03-05,Pfizer/BioNTech,832244
Sweden,2021-03-12,Moderna,84425
Sweden,2021-03-12,Oxford/AstraZeneca,211470
Sweden,2021-03-12,Pfizer/BioNTech,956950
Sweden,2021-03-19,Moderna,112269
Sweden,2021-03-19,Oxford/AstraZeneca,222280
Sweden,2021-03-19,Pfizer/BioNTech,1090841
Sweden,2021-03-26,Moderna,147928
Sweden,2021-03-26,Oxford/AstraZeneca,228971
Sweden,2021-03-26,Pfizer/BioNTech,1245882
Sweden,2021-04-02,Moderna,167213
Sweden,2021-04-02,Oxford/AstraZeneca,301963
Sweden,2021-04-02,Pfizer/BioNTech,1417677
Sweden,2021-04-09,Moderna,205700
Sweden,2021-04-09,Oxford/AstraZeneca,410791
Sweden,2021-04-09,Pfizer/BioNTech,1614984
Sweden,2021-04-16,Moderna,234329
Sweden,2021-04-16,Oxford/AstraZeneca,572656
Sweden,2021-04-16,Pfizer/BioNTech,1897905
Sweden,2021-04-23,Moderna,273225
Sweden,2021-04-23,Oxford/AstraZeneca,667559
Sweden,2021-04-23,Pfizer/BioNTech,2203484
Sweden,2021-04-30,Moderna,303875
Sweden,2021-04-30,Oxford/AstraZeneca,702813
Sweden,2021-04-30,Pfizer/BioNTech,2533696
Sweden,2021-05-07,Moderna,352546
Sweden,2021-05-07,Oxford/AstraZeneca,721239
Sweden,2021-05-07,Pfizer/BioNTech,2921765
Sweden,2021-05-14,Moderna,389821
Sweden,2021-05-14,Oxford/AstraZeneca,750801
Sweden,2021-05-14,Pfizer/BioNTech,3272552
Sweden,2021-05-21,Moderna,453189
Sweden,2021-05-21,Oxford/AstraZeneca,792701
Sweden,2021-05-21,Pfizer/BioNTech,3613280
Sweden,2021-05-28,Moderna,506842
Sweden,2021-05-28,Oxford/AstraZeneca,815454
Sweden,2021-05-28,Pfizer/BioNTech,3988043
Sweden,2021-06-04,Moderna,573962
Sweden,2021-06-04,Oxford/AstraZeneca,864891
Sweden,2021-06-04,Pfizer/BioNTech,4444369
Sweden,2021-06-11,Moderna,635546
Sweden,2021-06-11,Oxford/AstraZeneca,928302
Sweden,2021-06-11,Pfizer/BioNTech,4939653
Sweden,2021-06-18,Moderna,693719
Sweden,2021-06-18,Oxford/AstraZeneca,1049063
Sweden,2021-06-18,Pfizer/BioNTech,5442484
Sweden,2021-06-25,Moderna,737132
Sweden,2021-06-25,Oxford/AstraZeneca,1149463
Sweden,2021-06-25,Pfizer/BioNTech,5849651
Sweden,2021-07-02,Moderna,748840
Sweden,2021-07-02,Oxford/AstraZeneca,1184649
Sweden,2021-07-02,Pfizer/BioNTech,5910598
