date,vaccine,total_vaccinations,location
2021-02-14,Moderna,226504,Switzerland
2021-02-15,Moderna,235877,Switzerland
2021-02-16,Moderna,249274,Switzerland
2021-02-17,Moderna,262232,Switzerland
2021-02-18,Moderna,277286,Switzerland
2021-02-19,Moderna,289329,Switzerland
2021-02-20,Moderna,293993,Switzerland
2021-02-21,Moderna,294765,Switzerland
2021-02-22,Moderna,305766,Switzerland
2021-02-23,Moderna,321838,Switzerland
2021-02-24,Moderna,338968,Switzerland
2021-02-25,Moderna,356718,Switzerland
2021-02-26,Moderna,372421,Switzerland
2021-02-27,Moderna,376460,Switzerland
2021-02-28,Moderna,377519,Switzerland
2021-03-01,Moderna,390637,Switzerland
2021-03-02,Moderna,405640,Switzerland
2021-03-03,Moderna,423416,Switzerland
2021-03-04,Moderna,442368,Switzerland
2021-03-05,Moderna,458168,Switzerland
2021-03-06,Moderna,461773,Switzerland
2021-03-07,Moderna,462804,Switzerland
2021-03-08,Moderna,474456,Switzerland
2021-03-09,Moderna,490532,Switzerland
2021-03-10,Moderna,506154,Switzerland
2021-03-11,Moderna,522871,Switzerland
2021-03-12,Moderna,536663,Switzerland
2021-03-13,Moderna,540821,Switzerland
2021-03-14,Moderna,541392,Switzerland
2021-03-15,Moderna,551453,Switzerland
2021-03-16,Moderna,564508,Switzerland
2021-03-17,Moderna,578557,Switzerland
2021-03-18,Moderna,593054,Switzerland
2021-03-19,Moderna,604882,Switzerland
2021-03-20,Moderna,608110,Switzerland
2021-03-21,Moderna,608249,Switzerland
2021-03-22,Moderna,619381,Switzerland
2021-03-23,Moderna,635877,Switzerland
2021-03-24,Moderna,655106,Switzerland
2021-03-25,Moderna,679789,Switzerland
2021-03-26,Moderna,700825,Switzerland
2021-03-27,Moderna,707457,Switzerland
2021-03-28,Moderna,709487,Switzerland
2021-03-29,Moderna,729890,Switzerland
2021-03-30,Moderna,755479,Switzerland
2021-03-31,Moderna,778038,Switzerland
2021-04-01,Moderna,801522,Switzerland
2021-04-02,Moderna,806828,Switzerland
2021-04-03,Moderna,809151,Switzerland
2021-04-04,Moderna,809746,Switzerland
2021-04-05,Moderna,811835,Switzerland
2021-04-06,Moderna,829318,Switzerland
2021-04-07,Moderna,850807,Switzerland
2021-04-08,Moderna,876517,Switzerland
2021-04-09,Moderna,902110,Switzerland
2021-04-10,Moderna,911139,Switzerland
2021-04-11,Moderna,913927,Switzerland
2021-04-12,Moderna,931851,Switzerland
2021-04-13,Moderna,955584,Switzerland
2021-04-14,Moderna,981105,Switzerland
2021-04-15,Moderna,1009227,Switzerland
2021-04-16,Moderna,1036464,Switzerland
2021-04-17,Moderna,1047550,Switzerland
2021-04-18,Moderna,1049510,Switzerland
2021-04-19,Moderna,1071020,Switzerland
2021-04-20,Moderna,1101166,Switzerland
2021-04-21,Moderna,1135304,Switzerland
2021-04-22,Moderna,1177595,Switzerland
2021-04-23,Moderna,1212116,Switzerland
2021-04-24,Moderna,1229928,Switzerland
2021-04-25,Moderna,1235554,Switzerland
2021-04-26,Moderna,1265316,Switzerland
2021-04-27,Moderna,1306134,Switzerland
2021-04-28,Moderna,1345816,Switzerland
2021-04-29,Moderna,1386432,Switzerland
2021-04-30,Moderna,1422428,Switzerland
2021-05-01,Moderna,1439830,Switzerland
2021-05-02,Moderna,1446101,Switzerland
2021-05-03,Moderna,1474581,Switzerland
2021-05-04,Moderna,1513964,Switzerland
2021-05-05,Moderna,1559271,Switzerland
2021-05-06,Moderna,1614057,Switzerland
2021-05-07,Moderna,1670245,Switzerland
2021-05-08,Moderna,1695976,Switzerland
2021-05-09,Moderna,1707929,Switzerland
2021-05-10,Moderna,1756399,Switzerland
2021-05-11,Moderna,1814842,Switzerland
2021-05-12,Moderna,1875387,Switzerland
2021-05-13,Moderna,1904001,Switzerland
2021-05-14,Moderna,1956210,Switzerland
2021-05-15,Moderna,1985632,Switzerland
2021-05-16,Moderna,1997648,Switzerland
2021-05-17,Moderna,2048942,Switzerland
2021-05-18,Moderna,2111914,Switzerland
2021-05-19,Moderna,2182042,Switzerland
2021-05-20,Moderna,2257000,Switzerland
2021-05-21,Moderna,2325136,Switzerland
2021-05-22,Moderna,2358924,Switzerland
2021-05-23,Moderna,2372876,Switzerland
2021-05-24,Moderna,2407112,Switzerland
2021-05-25,Moderna,2473182,Switzerland
2021-05-26,Moderna,2544659,Switzerland
2021-05-27,Moderna,2620160,Switzerland
2021-05-28,Moderna,2692278,Switzerland
2021-05-29,Moderna,2730774,Switzerland
2021-05-30,Moderna,2746342,Switzerland
2021-05-31,Moderna,2806004,Switzerland
2021-06-01,Moderna,2879142,Switzerland
2021-06-02,Moderna,2962454,Switzerland
2021-06-03,Moderna,3041351,Switzerland
2021-06-04,Moderna,3127362,Switzerland
2021-06-05,Moderna,3182903,Switzerland
2021-06-06,Moderna,3203508,Switzerland
2021-06-07,Moderna,3281964,Switzerland
2021-06-08,Moderna,3369443,Switzerland
2021-06-09,Moderna,3458206,Switzerland
2021-06-10,Moderna,3541962,Switzerland
2021-06-11,Moderna,3624692,Switzerland
2021-06-12,Moderna,3678184,Switzerland
2021-06-13,Moderna,3697870,Switzerland
2021-06-14,Moderna,3773945,Switzerland
2021-06-15,Moderna,3857419,Switzerland
2021-06-16,Moderna,3942737,Switzerland
2021-06-17,Moderna,4030844,Switzerland
2021-06-18,Moderna,4113589,Switzerland
2021-06-19,Moderna,4161120,Switzerland
2021-06-20,Moderna,4178232,Switzerland
2021-06-21,Moderna,4248980,Switzerland
2021-06-22,Moderna,4324970,Switzerland
2021-06-23,Moderna,4400288,Switzerland
2021-06-24,Moderna,4472895,Switzerland
2021-06-25,Moderna,4542989,Switzerland
2021-06-26,Moderna,4583470,Switzerland
2021-06-27,Moderna,4597135,Switzerland
2021-06-28,Moderna,4659087,Switzerland
2021-06-29,Moderna,4723597,Switzerland
2021-06-30,Moderna,4793404,Switzerland
2021-02-14,Pfizer/BioNTech,312739,Switzerland
2021-02-15,Pfizer/BioNTech,322027,Switzerland
2021-02-16,Pfizer/BioNTech,333465,Switzerland
2021-02-17,Pfizer/BioNTech,344972,Switzerland
2021-02-18,Pfizer/BioNTech,358368,Switzerland
2021-02-19,Pfizer/BioNTech,370577,Switzerland
2021-02-20,Pfizer/BioNTech,373120,Switzerland
2021-02-21,Pfizer/BioNTech,374150,Switzerland
2021-02-22,Pfizer/BioNTech,383072,Switzerland
2021-02-23,Pfizer/BioNTech,393652,Switzerland
2021-02-24,Pfizer/BioNTech,404976,Switzerland
2021-02-25,Pfizer/BioNTech,416484,Switzerland
2021-02-26,Pfizer/BioNTech,425557,Switzerland
2021-02-27,Pfizer/BioNTech,427946,Switzerland
2021-02-28,Pfizer/BioNTech,428872,Switzerland
2021-03-01,Pfizer/BioNTech,437883,Switzerland
2021-03-02,Pfizer/BioNTech,448715,Switzerland
2021-03-03,Pfizer/BioNTech,463118,Switzerland
2021-03-04,Pfizer/BioNTech,477113,Switzerland
2021-03-05,Pfizer/BioNTech,490431,Switzerland
2021-03-06,Pfizer/BioNTech,493093,Switzerland
2021-03-07,Pfizer/BioNTech,494227,Switzerland
2021-03-08,Pfizer/BioNTech,505838,Switzerland
2021-03-09,Pfizer/BioNTech,520209,Switzerland
2021-03-10,Pfizer/BioNTech,534932,Switzerland
2021-03-11,Pfizer/BioNTech,550205,Switzerland
2021-03-12,Pfizer/BioNTech,563586,Switzerland
2021-03-13,Pfizer/BioNTech,565428,Switzerland
2021-03-14,Pfizer/BioNTech,566295,Switzerland
2021-03-15,Pfizer/BioNTech,577268,Switzerland
2021-03-16,Pfizer/BioNTech,593239,Switzerland
2021-03-17,Pfizer/BioNTech,611273,Switzerland
2021-03-18,Pfizer/BioNTech,629385,Switzerland
2021-03-19,Pfizer/BioNTech,644748,Switzerland
2021-03-20,Pfizer/BioNTech,647613,Switzerland
2021-03-21,Pfizer/BioNTech,648822,Switzerland
2021-03-22,Pfizer/BioNTech,662623,Switzerland
2021-03-23,Pfizer/BioNTech,678423,Switzerland
2021-03-24,Pfizer/BioNTech,694775,Switzerland
2021-03-25,Pfizer/BioNTech,708896,Switzerland
