Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-07-25,US,USA,United States,331996199.0,Report,394948975.0,341818968,118962.0,102959.0,137826515.0,190468171.0,13228307.0,295975.0,188472188.0,56.8,45.2,178091486.0,69.0,323371522.0,125212.0,152927.0,48953751.0,89.5,91901960.0,168021.0,722073.0,149975208.0,142079923.0,55.0,163093700.0,210351525.0,21484400.0,19350.0,63005829.0,86880949.0,13055693.0,83255.0,62636159.0,79258193.0,12967828.0,82192.0,20798894.0,20718911.0,2087725.0,36287.0,163025726,49.1,154944372.0,60.0,43641817.0,79.8,91901960.0,283545812.0,341469506.0,120428.0,139289.0,188249431.0,66.4,149849719.0,52.8,162896382.0,57.4,63002154.0,86758019.0,13052989.0,83219.0,341469506.0,24.0,,,,
2021-07-25,AK,AKA,Alaska,731545.0,Report,848165.0,691722,115942.0,94556.0,287777.0,375931.0,27837.0,177.0,372940.0,51.0,41.7,349233.0,63.3,649475.0,117752.0,153775.0,75556.0,82.5,142617.0,155716.0,926066.0,305093.0,286663.0,52.0,364080.0,424785.0,59300.0,0.0,133391.0,171658.0,25833.0,44.0,133023.0,153599.0,25709.0,41.0,40067.0,28536.0,2584.0,22.0,330926,45.2,312372.0,56.6,71209.0,77.7,136243.0,608877.0,689649.0,113266.0,139300.0,371661.0,61.0,304303.0,50.0,330134.0,54.2,133387.0,170872.0,25831.0,44.0,647155.0,,,,,
2021-07-25,AL,ALA,Alabama,4903185.0,Report,5001210.0,3516558,101999.0,71720.0,1619029.0,1779020.0,118505.0,4.0,2058672.0,42.0,31.6,1994331.0,52.3,3416521.0,89558.0,131097.0,681713.0,80.2,1214726.0,142936.0,588490.0,1547523.0,1509984.0,39.6,2299720.0,2420190.0,281300.0,0.0,738877.0,808467.0,121295.0,179.0,738608.0,771197.0,121233.0,179.0,310853.0,245780.0,31747.0,113.0,1668818,34.0,1631217.0,42.8,588493.0,69.2,1170044.0,4186880.0,3516236.0,83982.0,119450.0,2058347.0,49.2,1547491.0,37.0,1668780.0,39.9,738866.0,808446.0,121289.0,179.0,3381614.0,,,,,
2021-07-25,AR,ARA,Arkansas,3017804.0,Report,2955730.0,2390909,97943.0,79227.0,1099813.0,1206922.0,83517.0,657.0,1372629.0,45.5,33.2,1307515.0,56.4,2286371.0,98650.0,127531.0,416954.0,79.6,758292.0,144745.0,564198.0,1003356.0,964082.0,41.6,1348260.0,1428570.0,178900.0,0.0,488902.0,514276.0,81670.0,178.0,487916.0,476001.0,81216.0,165.0,202381.0,135187.0,12670.0,99.0,1085026,36.0,1045298.0,45.1,350337.0,66.9,722729.0,2557248.0,2385899.0,93299.0,115582.0,1368992.0,53.5,1002038.0,39.2,1083595.0,42.4,488896.0,512965.0,81557.0,177.0,2306745.0,,,,,
2021-07-25,AS,ASA,American Samoa,55689.0,Report,54930.0,50319,98637.0,90357.0,12370.0,37413.0,536.0,0.0,27980.0,50.2,40.3,25155.0,58.0,45960.0,105960.0,126640.0,2711.0,28.7,5076.0,53794.0,582132.0,22451.0,20923.0,48.2,15600.0,38730.0,600.0,0.0,5654.0,16797.0,542.0,0.0,5641.0,15282.0,541.0,0.0,1001.0,1438.0,24.0,0.0,22993,41.3,21464.0,49.5,2463.0,26.1,5076.0,47557.0,50311.0,105791.0,115504.0,27974.0,58.8,22449.0,47.2,22991.0,48.3,5653.0,16796.0,542.0,0.0,50311.0,,,,,
2021-07-25,AZ,AZA,Arizona,7278717.0,Report,8426880.0,7026434,115774.0,96534.0,2961394.0,3804185.0,252496.0,8359.0,3813660.0,52.4,41.6,3605526.0,63.9,6650107.0,117941.0,149453.0,1121135.0,85.7,2140790.0,163590.0,643945.0,3025673.0,2866455.0,50.8,3504280.0,4491600.0,431000.0,0.0,1315858.0,1707085.0,243592.0,2730.0,1315431.0,1548316.0,243240.0,2708.0,480384.0,447621.0,41938.0,1496.0,3269265,44.9,3109695.0,55.2,971439.0,74.2,2009032.0,6206060.0,7025588.0,113205.0,135785.0,3812896.0,61.4,3025569.0,48.8,3268931.0,52.7,1315837.0,1707002.0,243362.0,2730.0,6576915.0,,,,,
2021-07-25,BP2,BP2,Bureau of Prisons,0.0,Report,206710.0,199158,0.0,0.0,82147.0,108072.0,8939.0,0.0,107756.0,0.0,0.0,107755.0,0.0,199157.0,0.0,0.0,3368.0,0.0,6447.0,0.0,0.0,90317.0,90317.0,0.0,86940.0,109170.0,10600.0,0.0,39211.0,51106.0,8887.0,0.0,39211.0,51106.0,8887.0,0.0,1534.0,1504.0,117.0,0.0,99204,0.0,99204.0,0.0,3155.0,0.0,6447.0,0.0,199157.0,0.0,0.0,107755.0,0.0,90317.0,0.0,99204.0,0.0,39211.0,51106.0,8887.0,0.0,199157.0,,,,,
2021-07-25,CA,CAA,California,39512223.0,Report,50532255.0,44661671,127890.0,113033.0,17863001.0,25144332.0,1646049.0,8289.0,25310119.0,64.1,48.2,23680009.0,77.3,41765132.0,136409.0,165043.0,5566946.0,95.4,9978386.0,170918.0,865558.0,19049297.0,17786919.0,58.1,20539760.0,27376695.0,2615800.0,0.0,7904871.0,11141878.0,1630850.0,2548.0,7880139.0,9904405.0,1623667.0,2375.0,2285836.0,2026145.0,164575.0,896.0,20680147,52.3,19410586.0,63.4,4477452.0,76.7,9715561.0,33646265.0,44534476.0,132361.0,150187.0,25231497.0,75.0,19001297.0,56.5,20631833.0,61.3,7904455.0,11094299.0,1630536.0,2543.0,43690914.0,,,,,
2021-07-25,CO,COA,Colorado,5758736.0,Report,7194975.0,6417546,124940.0,111440.0,2641727.0,3540941.0,231113.0,3765.0,3440056.0,59.7,50.1,3215507.0,71.5,6006244.0,133495.0,159916.0,743753.0,88.3,1431029.0,169873.0,854092.0,2883103.0,2697763.0,60.0,2956700.0,3897975.0,340300.0,0.0,1238146.0,1643784.0,227300.0,1173.0,1234600.0,1462019.0,226199.0,1144.0,334563.0,321790.0,20930.0,382.0,3110403,54.0,2923962.0,65.0,677665.0,80.4,1388322.0,4936061.0,6397810.0,129614.0,145763.0,3428375.0,69.5,2875201.0,58.2,3102480.0,62.9,1238133.0,1635895.0,227279.0,1173.0,6206408.0,,,,,
2021-07-25,CT,CTA,Connecticut,3565287.0,Report,4879135.0,4556014,136851.0,127788.0,1742779.0,2629242.0,183372.0,621.0,2467738.0,69.2,57.7,2306300.0,81.3,4256733.0,149999.0,171931.0,604705.0,95.9,1167655.0,185270.0,774166.0,2058799.0,1925730.0,67.9,1990980.0,2638155.0,250000.0,0.0,827053.0,1231537.0,182642.0,209.0,826685.0,1098874.0,182494.0,171.0,224025.0,323978.0,18652.0,50.0,2241441,62.9,2108224.0,74.3,566705.0,89.9,1138040.0,3105947.0,4554388.0,146634.0,157090.0,2466482.0,79.4,2058430.0,66.3,2240996.0,72.2,826850.0,1231371.0,182566.0,209.0,4476147.0,,,,,
2021-07-25,DC,DCA,District of Columbia,705749.0,Report,1086665.0,895177,153973.0,126841.0,351023.0,514948.0,28810.0,396.0,447604.0,63.4,49.8,431309.0,74.7,870376.0,150693.0,188141.0,75692.0,86.7,172396.0,197378.0,1244140.0,351731.0,341069.0,59.1,432100.0,600165.0,54400.0,0.0,145321.0,206190.0,32185.0,220.0,145270.0,195591.0,32166.0,208.0,38158.0,27361.0,2293.0,26.0,383916,54.4,373235.0,64.6,67838.0,77.7,150689.0,609754.0,895098.0,146797.0,178214.0,447510.0,73.4,351692.0,57.7,383875.0,63.0,145315.0,206157.0,32183.0,220.0,806050.0,,,,,
2021-07-25,DD2,DD2,Dept of Defense,0.0,Report,4397510.0,4395189,0.0,0.0,1762071.0,2464650.0,167567.0,901.0,2503888.0,0.0,0.0,2399875.0,0.0,4215659.0,0.0,0.0,187004.0,0.0,339233.0,0.0,0.0,1768299.0,1695799.0,0.0,1843400.0,2367810.0,186300.0,0.0,725604.0,1042694.0,165944.0,1.0,725509.0,970289.0,165817.0,1.0,50563.0,83157.0,6387.0,0.0,1934243,0.0,1861616.0,0.0,140107.0,0.0,339233.0,0.0,4395026.0,0.0,0.0,2503757.0,0.0,1768270.0,0.0,1934197.0,0.0,725591.0,1042678.0,165927.0,1.0,4395026.0,,,,,
2021-07-25,DE,DEA,Delaware,973764.0,Report,1319705.0,1080207,135526.0,110931.0,428633.0,604076.0,46788.0,710.0,585291.0,60.1,47.6,554500.0,72.0,1020804.0,132539.0,171348.0,178103.0,94.3,337290.0,178549.0,698604.0,463462.0,438794.0,57.0,544960.0,708945.0,65800.0,0.0,192173.0,270976.0,45908.0,313.0,192074.0,246407.0,45872.0,313.0,65747.0,84476.0,8780.0,173.0,509370,52.3,484666.0,62.9,159176.0,84.3,321374.0,839807.0,1080015.0,128603.0,157144.0,585131.0,69.7,463429.0,55.2,509329.0,60.6,192169.0,270947.0,45900.0,313.0,1046252.0,,,,,
2021-07-25,FL,FLA,Florida,21477737.0,Report,25779615.0,22247219,120029.0,103583.0,8742789.0,12349074.0,1093579.0,61777.0,12177959.0,56.7,43.4,11667069.0,67.6,21365118.0,123871.0,149466.0,4101655.0,91.2,7995374.0,177780.0,573220.0,9332071.0,8976380.0,52.0,10472600.0,13612515.0,1694500.0,0.0,3872806.0,5439467.0,1075472.0,19798.0,3871683.0,5084953.0,1074203.0,19744.0,1766587.0,1629294.0,183987.0,12952.0,10407543,48.5,10050583.0,58.3,3592820.0,79.9,7688223.0,18696028.0,22238883.0,118950.0,137888.0,12170362.0,65.1,9331322.0,49.9,10406059.0,55.7,3872208.0,5439316.0,1074737.0,19798.0,21531334.0,,,,,
